Transmittance,Coating Stack Number,Coating Brownian Noise [m/sqrt(Hz)],Grating Brownian Noise [m/sqrt(Hz)]
0.000001,21,1.37E-021,1.15E-022
2.20E-006,20,1.336E-021,1.15E-022
4.30E-006,19,1.302E-021,1.15E-022
8.90E-006,18,1.268E-021,1.15E-022
1.70E-005,17,1.234E-021,1.15E-022
3.80E-005,16,1.2E-021,1.15E-022
8.00E-005,15,1.17E-021,1.15E-022
0.0001164345,14,1.12E-021,1.15E-022
0.0002297397,13,1.09E-021,1.15E-022
0.000453305,12,1.06E-021,1.15E-022
0.0008944272,11,1.02E-021,1.15E-022
0.0017648163,10,9.75E-022,1.15E-022
0.0034822023,9,9.2E-022,1.15E-022
0.0068708187,8,8.9E-022,1.15E-022
0.0135569811,7,8.25E-022,1.15E-022
0.0267496122,6,7.9E-022,1.15E-022
0.0527803164,5,7.1E-022,1.15E-022
0.104142138,4,6.6E-022,1.15E-022
0.205485409,3,6.05E-022,1.15E-022
0.405448304,2,5.2E-022,1.15E-022
0.8,1,4.5E-022,1.15E-022
