Offset [m],ETM Rotation [m/rad],ETM Phase [degrees],Total 1 [m/rad],Total 2 [m/rad],Total 3 [m/rad],Total 1 Phase [degrees],Total 2 Phase [degrees],Total 3 Phase [degrees]
-0.05,0.000000005,0,9.6593E-009,5.4388E-009,0.000000005,15,2.6346,0.28402
-0.04999,0.000000005,0,9.6583E-009,5.4378E-009,0.000000005,15.002,2.6351,0.28407
-0.04998,0.000000005,0,9.6573E-009,5.4368E-009,0.000000005,15.003,2.6356,0.28413
-0.04997,0.000000005,0,9.6564E-009,5.4358E-009,0.000000005,15.005,2.6361,0.28419
-0.04996,0.000000005,0,9.6554E-009,5.4348E-009,0.000000005,15.006,2.6365,0.28424
-0.04995,0.000000005,0,9.6544E-009,5.4338E-009,0.000000005,15.008,2.637,0.2843
-0.04994,0.000000005,0,9.6535E-009,5.4328E-009,0.000000005,15.009,2.6375,0.28436
-0.04993,0.000000005,0,9.6525E-009,5.4318E-009,0.000000005,15.011,2.638,0.28441
-0.04992,0.000000005,0,9.6515E-009,5.4308E-009,0.000000005,15.012,2.6385,0.28447
-0.04991,0.000000005,0,9.6506E-009,5.4298E-009,0.000000005,15.014,2.639,0.28452
-0.0499,0.000000005,0,9.6496E-009,5.4288E-009,0.000000005,15.015,2.6395,0.28458
-0.04989,0.000000005,0,9.6486E-009,5.4278E-009,0.000000005,15.017,2.6399,0.28464
-0.04988,0.000000005,0,9.6477E-009,5.4268E-009,0.000000005,15.018,2.6404,0.28469
-0.04987,0.000000005,0,9.6467E-009,5.4258E-009,0.000000005,15.02,2.6409,0.28475
-0.04986,0.000000005,0,9.6457E-009,5.4248E-009,0.000000005,15.022,2.6414,0.28481
-0.04985,0.000000005,0,9.6448E-009,5.4238E-009,0.000000005,15.023,2.6419,0.28486
-0.04984,0.000000005,0,9.6438E-009,5.4228E-009,0.000000005,15.025,2.6424,0.28492
-0.04983,0.000000005,0,9.6428E-009,5.4218E-009,0.000000005,15.026,2.6429,0.28498
-0.04982,0.000000005,0,9.6419E-009,5.4208E-009,0.000000005,15.028,2.6434,0.28503
-0.04981,0.000000005,0,9.6409E-009,5.4198E-009,0.000000005,15.029,2.6438,0.28509
-0.0498,0.000000005,0,9.6399E-009,5.4188E-009,0.000000005,15.031,2.6443,0.28515
-0.04979,0.000000005,0,9.639E-009,5.4178E-009,0.000000005,15.032,2.6448,0.2852
-0.04978,0.000000005,0,9.638E-009,5.4168E-009,0.000000005,15.034,2.6453,0.28526
-0.04977,0.000000005,0,9.637E-009,5.4158E-009,0.000000005,15.035,2.6458,0.28532
