Frequency [Hz],Magnitude,Phase [degrees]
0.1,1480.9,0.0028698
0.10139,1480.9,0.0029098
0.1028,1480.9,0.0029503
0.10424,1480.9,0.0029914
0.10569,1480.9,0.0030331
0.10716,1480.9,0.0030753
0.10865,1480.9,0.0031181
0.11016,1480.9,0.0031615
0.1117,1480.9,0.0032056
0.11325,1480.9,0.0032502
0.11483,1480.9,0.0032955
0.11643,1480.9,0.0033414
0.11805,1480.9,0.0033879
0.1197,1480.9,0.0034351
0.12136,1480.9,0.0034829
0.12305,1480.9,0.0035314
0.12477,1480.9,0.0035806
0.1265,1480.9,0.0036304
0.12826,1480.9,0.003681
0.13005,1480.9,0.0037323
0.13186,1480.9,0.0037842
0.1337,1480.9,0.0038369
0.13556,1480.9,0.0038904
0.13745,1480.9,0.0039445
0.13936,1480.9,0.0039995
0.1413,1480.9,0.0040552
0.14327,1480.9,0.0041116
0.14527,1480.9,0.0041689
0.14729,1480.9,0.0042269
0.14934,1480.9,0.0042858
0.15142,1480.9,0.0043455
0.15353,1480.9,0.004406
0.15567,1480.9,0.0044673
0.15783,1480.9,0.0045296
0.16003,1480.9,0.0045926
0.16226,1480.9,0.0046566
0.16452,1480.9,0.0047214
0.16681,1480.9,0.0047872
0.16913,1480.9,0.0048538
0.17149,1480.9,0.0049214
0.17388,1480.9,0.00499
0.1763,1480.9,0.0050595
0.17875,1480.9,0.0051299
0.18124,1480.9,0.0052013
0.18377,1480.9,0.0052738
0.18632,1480.9,0.0053472
0.18892,1480.9,0.0054217
0.19155,1480.9,0.0054972
0.19422,1480.9,0.0055737
0.19692,1480.9,0.0056513
0.19966,1480.9,0.00573
0.20244,1480.9,0.0058098
0.20526,1480.9,0.0058907
0.20812,1480.9,0.0059728
0.21102,1480.9,0.0060559
0.21396,1480.9,0.0061403
0.21694,1480.9,0.0062258
0.21996,1480.9,0.0063125
0.22302,1480.9,0.0064004
0.22613,1480.9,0.0064895
0.22928,1480.9,0.0065799
0.23247,1480.9,0.0066715
0.23571,1480.9,0.0067644
0.23899,1480.9,0.0068586
0.24232,1480.9,0.0069541
0.24569,1480.9,0.007051
0.24911,1480.9,0.0071492
0.25258,1480.9,0.0072487
0.2561,1480.9,0.0073496
0.25967,1480.9,0.007452
0.26328,1480.9,0.0075558
0.26695,1480.9,0.007661
0.27067,1480.9,0.0077677
0.27443,1480.9,0.0078758
0.27826,1480.9,0.0079855
0.28213,1480.9,0.0080967
0.28606,1480.9,0.0082095
0.29004,1480.9,0.0083238
0.29408,1480.9,0.0084397
0.29818,1480.9,0.0085572
0.30233,1480.9,0.0086764
0.30654,1480.9,0.0087972
0.31081,1480.9,0.0089197
0.31514,1480.9,0.0090439
0.31952,1480.9,0.0091699
0.32397,1480.9,0.0092976
0.32849,1480.9,0.009427
0.33306,1480.9,0.0095583
0.3377,1480.9,0.0096914
0.3424,1480.9,0.0098264
0.34717,1480.9,0.0099632
0.352,1480.9,0.010102
0.3569,1480.9,0.010243
0.36187,1480.9,0.010385
0.36691,1480.9,0.01053
0.37202,1480.9,0.010677
0.3772,1480.9,0.010825
0.38246,1480.9,0.010976
0.38778,1480.9,0.011129
0.39318,1480.9,0.011284
0.39866,1480.9,0.011441
0.40421,1480.9,0.0116
0.40984,1480.9,0.011762
0.41555,1480.9,0.011926
0.42133,1480.9,0.012092
0.4272,1480.9,0.01226
0.43315,1480.9,0.012431
0.43918,1480.9,0.012604
0.4453,1480.9,0.012779
0.4515,1480.9,0.012957
0.45778,1480.9,0.013138
0.46416,1480.9,0.013321
0.47062,1480.9,0.013506
0.47718,1480.9,0.013694
0.48382,1480.9,0.013885
0.49056,1480.9,0.014078
0.49739,1480.9,0.014274
0.50432,1480.9,0.014473
0.51134,1480.9,0.014675
0.51846,1480.9,0.014879
0.52568,1480.9,0.015086
0.533,1480.9,0.015296
0.54042,1480.9,0.015509
0.54795,1480.9,0.015725
0.55558,1480.9,0.015944
0.56331,1480.9,0.016166
0.57116,1480.9,0.016392
0.57911,1480.9,0.01662
0.58718,1480.9,0.016851
0.59535,1480.9,0.017086
0.60364,1480.9,0.017324
0.61205,1480.9,0.017565
0.62057,1480.9,0.01781
0.62921,1480.9,0.018058
0.63798,1480.9,0.018309
0.64686,1480.9,0.018564
0.65587,1480.9,0.018823
0.665,1480.9,0.019085
0.67426,1480.9,0.019351
0.68365,1480.9,0.01962
0.69317,1480.9,0.019893
0.70282,1480.9,0.02017
0.71261,1480.9,0.020451
0.72253,1480.9,0.020736
0.7326,1480.9,0.021025
0.7428,1480.9,0.021318
0.75314,1480.9,0.021614
0.76363,1480.9,0.021915
0.77426,1480.9,0.022221
0.78505,1480.9,0.02253
0.79598,1480.9,0.022844
0.80706,1480.9,0.023162
0.8183,1480.9,0.023485
0.8297,1480.9,0.023812
0.84125,1480.9,0.024143
0.85296,1480.9,0.024479
0.86484,1480.9,0.02482
0.87689,1480.9,0.025166
0.8891,1480.9,0.025516
0.90148,1480.9,0.025872
0.91403,1480.9,0.026232
0.92676,1480.9,0.026597
0.93966,1480.9,0.026968
0.95275,1480.9,0.027343
0.96602,1480.9,0.027724
0.97947,1480.9,0.02811
0.99311,1480.9,0.028502
1.0069,1480.9,0.028899
1.021,1480.9,0.029301
1.0352,1480.9,0.029709
1.0496,1480.9,0.030123
1.0642,1480.9,0.030542
1.079,1480.9,0.030968
1.0941,1480.9,0.031399
1.1093,1480.9,0.031836
1.1247,1480.9,0.03228
1.1404,1480.9,0.032729
1.1563,1480.9,0.033185
1.1724,1480.9,0.033647
1.1887,1480.9,0.034116
1.2053,1480.9,0.034591
1.222,1480.9,0.035073
1.2391,1480.9,0.035561
1.2563,1480.9,0.036056
1.2738,1480.9,0.036559
1.2915,1480.9,0.037068
1.3095,1480.9,0.037584
1.3278,1480.9,0.038107
1.3463,1480.9,0.038638
1.365,1480.9,0.039176
1.384,1480.9,0.039722
1.4033,1480.9,0.040275
1.4228,1480.9,0.040836
1.4426,1480.9,0.041405
1.4627,1480.9,0.041982
1.4831,1480.9,0.042566
1.5038,1480.9,0.043159
1.5247,1480.9,0.04376
1.5459,1480.9,0.04437
1.5675,1480.9,0.044988
1.5893,1480.9,0.045614
1.6114,1480.9,0.04625
1.6339,1480.9,0.046894
1.6566,1480.9,0.047547
1.6797,1480.9,0.048209
1.7031,1480.9,0.048881
1.7268,1480.9,0.049562
1.7508,1480.9,0.050252
1.7752,1480.9,0.050952
1.7999,1480.9,0.051662
1.825,1480.9,0.052381
1.8504,1480.9,0.053111
1.8762,1480.9,0.053851
1.9023,1480.9,0.054601
1.9288,1480.9,0.055361
1.9557,1480.9,0.056132
1.9829,1480.9,0.056914
2.0105,1480.9,0.057707
2.0385,1480.9,0.058511
2.0669,1480.9,0.059326
2.0957,1480.9,0.060152
2.1248,1480.9,0.06099
2.1544,1480.9,0.06184
2.1844,1480.9,0.062701
2.2149,1480.9,0.063575
2.2457,1480.9,0.064461
2.277,1480.9,0.065359
2.3087,1480.9,0.066269
2.3408,1480.9,0.067192
2.3734,1480.9,0.068128
2.4065,1480.9,0.069078
2.44,1480.9,0.07004
2.474,1480.9,0.071016
2.5084,1480.9,0.072005
2.5433,1480.9,0.073008
2.5788,1480.9,0.074026
2.6147,1480.9,0.075057
2.6511,1480.9,0.076103
2.688,1480.9,0.077163
2.7254,1480.9,0.078238
2.7634,1481,0.079328
2.8019,1481,0.080434
2.8409,1481,0.081555
2.8804,1481,0.082691
2.9206,1481,0.083843
2.9612,1481,0.085012
3.0025,1481,0.086196
3.0443,1481,0.087397
3.0867,1481,0.088615
3.1296,1481,0.08985
3.1732,1481,0.091102
3.2174,1481,0.092372
3.2622,1481,0.09366
3.3076,1481,0.094965
3.3537,1481,0.096288
3.4004,1481,0.097631
3.4478,1481,0.098991
3.4958,1481,0.10037
3.5445,1481,0.10177
3.5938,1481,0.10319
3.6439,1481,0.10463
3.6946,1481,0.10609
3.7461,1481,0.10756
3.7982,1481,0.10906
3.8511,1481,0.11058
3.9047,1481,0.11213
3.9591,1481,0.11369
4.0142,1481,0.11528
4.0701,1481,0.11688
4.1268,1481,0.11851
4.1843,1481.1,0.12016
4.2426,1481.1,0.12184
4.3016,1481.1,0.12354
4.3615,1481.1,0.12526
4.4223,1481.1,0.12701
4.4839,1481.1,0.12878
4.5463,1481.1,0.13058
4.6096,1481.1,0.1324
4.6738,1481.1,0.13425
4.7389,1481.1,0.13612
4.8049,1481.1,0.13802
4.8718,1481.1,0.13994
4.9396,1481.1,0.14189
5.0084,1481.1,0.14387
5.0782,1481.1,0.14588
5.1489,1481.1,0.14792
5.2206,1481.2,0.14998
5.2933,1481.2,0.15208
5.367,1481.2,0.1542
5.4417,1481.2,0.15635
5.5175,1481.2,0.15853
5.5943,1481.2,0.16075
5.6722,1481.2,0.16299
5.7512,1481.2,0.16526
5.8313,1481.2,0.16757
5.9125,1481.2,0.16991
5.9948,1481.2,0.17228
6.0783,1481.3,0.17469
6.163,1481.3,0.17713
6.2488,1481.3,0.1796
6.3358,1481.3,0.18211
6.424,1481.3,0.18466
6.5135,1481.3,0.18724
6.6042,1481.3,0.18985
6.6962,1481.3,0.19251
6.7894,1481.4,0.1952
6.884,1481.4,0.19793
6.9798,1481.4,0.20069
7.077,1481.4,0.2035
7.1756,1481.4,0.20634
7.2755,1481.4,0.20923
7.3768,1481.4,0.21215
7.4795,1481.5,0.21512
7.5837,1481.5,0.21813
7.6893,1481.5,0.22118
7.7964,1481.5,0.22428
7.9049,1481.5,0.22741
8.015,1481.5,0.2306
8.1266,1481.6,0.23383
8.2398,1481.6,0.2371
8.3545,1481.6,0.24042
8.4709,1481.6,0.24378
8.5888,1481.6,0.2472
8.7084,1481.7,0.25066
8.8297,1481.7,0.25417
8.9527,1481.7,0.25773
9.0773,1481.7,0.26135
9.2037,1481.8,0.26501
9.3319,1481.8,0.26873
9.4618,1481.8,0.27249
9.5936,1481.8,0.27632
9.7272,1481.9,0.28019
9.8627,1481.9,0.28412
10,1481.9,0.28811
10.139,1482,0.29215
10.28,1482,0.29626
10.424,1482,0.30042
10.569,1482,0.30464
10.716,1482.1,0.30892
10.865,1482.1,0.31326
11.016,1482.1,0.31766
11.17,1482.2,0.32213
11.325,1482.2,0.32666
11.483,1482.3,0.33125
11.643,1482.3,0.33591
11.805,1482.3,0.34064
11.97,1482.4,0.34544
12.136,1482.4,0.3503
12.305,1482.5,0.35524
12.477,1482.5,0.36024
12.65,1482.6,0.36532
12.826,1482.6,0.37047
13.005,1482.7,0.3757
13.186,1482.7,0.381
13.37,1482.8,0.38638
13.556,1482.8,0.39184
13.745,1482.9,0.39737
13.936,1482.9,0.40299
14.13,1483,0.40869
14.327,1483,0.41447
14.527,1483.1,0.42034
14.729,1483.2,0.42629
14.934,1483.2,0.43233
15.142,1483.3,0.43845
15.353,1483.4,0.44467
