Frequency,Response,
1.000000e-02,-0.4579953608868422-145012.1278977077454329j,
1.016265e-02,0.8232768364872849-147370.7657308765919879j,
1.032795e-02,-0.4751889000328933-149767.7617386236670427j,
1.049593e-02,-0.5138234916274546-152203.7477626543259248j,
1.066665e-02,0.0774796388184201-154679.3565875948988833j,
1.084014e-02,-0.5835041299022036-157195.2288479882990941j,
1.101646e-02,-0.3233380578766787-159752.0238667206431273j,
1.119564e-02,-0.7854595351629367-162350.4037877426017076j,
1.137774e-02,0.3421083603423559-164991.0501079414971173j,
1.156280e-02,-0.2548185659575559-167674.6429261202574708j,
1.175087e-02,-0.4578706448777402-170401.8856316650053486j,
1.194200e-02,0.1803293820569037-173173.4891179813130293j,
1.213624e-02,-1.5409897940105100-175990.1672164436895400j,
1.233363e-02,-1.3406928237684206-178852.6635484717262443j,
1.253424e-02,-1.6251770267258889-181761.7174888207810000j,
1.273811e-02,-0.7555690620696391-184718.0903145615593530j,
1.294530e-02,-0.4371153394259761-187722.5473606877203565j,
1.315586e-02,-0.8349991679270117-190775.8705287060001865j,
1.336984e-02,0.8572453167880038-193878.8616398346784990j,
1.358730e-02,-0.9347840536762703-197032.3140234316233546j,
1.380830e-02,-1.1150024906647145-200237.0616226209094748j,
1.403289e-02,-0.3441003983877978-203493.9375794651859906j,
1.426114e-02,-1.7525523958788738-206803.7806502636813093j,
1.449310e-02,-0.1419451319055367-210167.4672788450261578j,
1.472883e-02,-0.6630488850072969-213585.8584285146207549j,
1.496839e-02,-0.0758469732389844-217059.8534780778572895j,
1.521186e-02,-0.0365826430457088-220590.3515132232569158j,
1.545928e-02,-1.1132052337163112-224178.2700950843864121j,
1.571072e-02,-2.0578680249952122-227824.5468964853789657j,
1.596626e-02,-0.6148182541999306-231530.1379339916165918j,
1.622595e-02,-2.1403417505046054-235295.9916732723650057j,
1.648987e-02,-0.8688509444355788-239123.1062888804008253j,
1.675808e-02,-2.1242749356310195-243012.4609240911668167j,
1.703065e-02,-1.3650062273273040-246965.0830217192706186j,
1.730766e-02,-1.4205648730802076-250981.9921281923016068j,
1.758917e-02,-1.4242331514692612-255064.2366356604907196j,
1.787526e-02,-0.9980180604314454-259212.8809812137333211j,
1.816600e-02,-0.9874903509833569-263429.0019107126863673j,
1.846147e-02,-0.5867134114162306-267713.6997984170448035j,
1.876175e-02,-2.8704840378766985-272068.0786112576024607j,
1.906691e-02,0.7439640371157086-276493.3040059105260298j,
1.937703e-02,-1.7332451716953892-280990.4828628671821207j,
1.969220e-02,-0.4069696982767342-285560.8236476799938828j,
2.001250e-02,-1.8660415626911582-290205.4902928324881941j,
2.033800e-02,-4.5475841599566280-294925.6978935740771703j,
2.066880e-02,-0.3760036846930915-299722.7082322642672807j,
2.100498e-02,-1.0001947474102828-304597.7224472101079300j,
2.134663e-02,-2.4052522816521225-309552.0259029350709170j,
2.169384e-02,0.5696650089308513-314586.9301905082538724j,
2.204669e-02,-2.6056518480346624-319703.7009713547886349j,
2.240528e-02,-2.3534495528833421-324903.7116692358977161j,
2.276970e-02,-2.1176588600857209-330188.3010839921189472j,
2.314005e-02,-0.8928584575226413-335558.8491771491244435j,
2.351643e-02,-3.1737187130341433-341016.7333905043778941j,
2.389893e-02,-3.1294209693954729-346563.4017033613054082j,
2.428764e-02,0.3947639722297516-352200.3032969741616398j,
2.468268e-02,-1.4455033625846487-357928.8641364236827940j,
2.508415e-02,0.2645635626528617-363750.6180796602275223j,
2.549215e-02,-0.9892614001686846-369667.0483834523474798j,
2.590678e-02,-0.2854433649689843-375679.7199656838783994j,
2.632815e-02,-4.7570735287187222-381790.1613158971304074j,
2.675638e-02,-1.8311720599492820-388000.0281880772672594j,
2.719158e-02,-5.4094917679574541-394310.8644622145220637j,
2.763385e-02,-1.6093514999872029-400724.3873983522644266j,
2.808332e-02,-5.6945962407246906-407242.1828287043608725j,
2.854010e-02,-2.1734317793286761-413866.0342553923837841j,
2.900430e-02,-7.7068335674889967-420597.5708232481847517j,
