Frequency,ESD,Coil,
1.000000e-01,0.000107624399590993647074-0.000095845140350316805514j,0.990774512836481213717832+0.012475981504110385950090j,
1.013925e-01,0.000110710742322086682309-0.000097684641992744713590j,0.990494963309527021166900+0.012652961243260683193990j,
1.028045e-01,0.000113877251710225370243-0.000099570271128147748506j,0.990208173952391579319965+0.012832521171093246720174j,
1.042361e-01,0.000117125829562471342926-0.000101503478997374947342j,0.989913974721077560836591+0.013014700595612591071948j,
1.056876e-01,0.000120458411517614992037-0.000103485767177181824214j,0.989612192530898493458835+0.013199539458467263869368j,
1.071593e-01,0.000123876968974724138923-0.000105518689257367396530j,0.989302651392079068770613+0.013387078259959966919368j,
1.086516e-01,0.000127383507007637896162-0.000107603852635291017759j,0.988985172299338355372811+0.013577358117828447828246j,
1.101646e-01,0.000130980067629772736282-0.000109742921484410607333j,0.988659573300113447835713+0.013770420757878702733290j,
1.116987e-01,0.000134668724759013795677-0.000111937616634378184514j,0.988325669552515106985879+0.013966308486099941743586j,
1.132541e-01,0.000138451589832643494858-0.000114189718042485185132j,0.987983273299178010873334+0.014165064210335566452503j,
1.148312e-01,0.000142330807147716747411-0.000116501068183615574727j,0.987632193960417792411022+0.014366731455797211378100j,
1.164303e-01,0.000146308555143914340805-0.000118873572264596575384j,0.987272238123679257704168+0.014571354336413494187652j,
1.180517e-01,0.000150387046177967112102-0.000121309202211863993346j,0.986903209621135868445663+0.014778977582616646332947j,
1.196956e-01,0.000154568527205684329209-0.000123809995839295011689j,0.986524909621367740442111+0.014989646492101174612976j,
1.213624e-01,0.000158855276397455551229-0.000126378061940185526524j,0.986137136659055224541248+0.015203406983627579598939j,
1.230524e-01,0.000163249605285773510648-0.000129015581629264970915j,0.985739686707783779873182+0.015420305534791529239458j,
1.247660e-01,0.000167753857884674572026-0.000131724810389872071161j,0.985332353268301042170663+0.015640389241924360086422j,
1.265034e-01,0.000172370407457525488207-0.000134508080642243026039j,0.984914927534801143416132+0.015863705714600648266632j,
1.282650e-01,0.000177101658705417966790-0.000137367803009262303077j,0.984487198404751628899589+0.016090303190238589015060j,
1.300511e-01,0.000181950045915462408925-0.000140306471204818878533j,0.984048952614231309254933+0.016320230402249946699555j,
1.318621e-01,0.000186918030501595418833-0.000143326662233903771426j,0.983599974948151767328852+0.016553536652178187094098j,
1.336984e-01,0.000192008102695894155828-0.000146431040814746203389j,0.983140048294100621362190+0.016790271764341533483611j,
1.355602e-01,0.000197222777797117501068-0.000149622359579781584417j,0.982668953847322002026488+0.017030486011013781094681j,
1.374479e-01,0.000202564595589586839055-0.000152903465796314628512j,0.982186471273006178606124+0.017274230224653967097348j,
1.393619e-01,0.000208036119379129504949-0.000156277299432803498062j,0.981692378844623791955826+0.017521555654860104800363j,
1.413026e-01,0.000213639934749573350307-0.000159746898770685776285j,0.981186453732432073415737+0.017772514007741862379630j,
1.432703e-01,0.000219378646146484054770-0.000163315403217715920860j,0.980668472165869831158602+0.018027157358375033024966j,
1.452654e-01,0.000225254876856227203435-0.000166986054500994256580j,0.980138209690415429520272+0.018285538179345774828510j,
1.472883e-01,0.000231271265059234179800-0.000170762202989472157508j,0.979595441340393890961025+0.018547709315112292927097j,
1.493393e-01,0.000237430464620928517944-0.000174647305049198598619j,0.979039942075952573929953+0.018813723853472904407047j,
1.514189e-01,0.000243735139153357399005-0.000178644933421018259866j,0.978471486882955154840147+0.019083635179436869711012j,
1.535275e-01,0.000250187962049637404715-0.000182758773807230437457j,0.977889851240531848830528+0.019357496894061770875695j,
1.556654e-01,0.000256791613802975380795-0.000186992630902487209704j,0.977294811436642762991767+0.019635362754580797106652j,
1.578331e-01,0.000263548777097370452542-0.000191350432812881606414j,0.976686144802159317279688+0.019917286599443848049695j,
1.600310e-01,0.000270462135428263343844-0.000195836231341385054059j,0.976063630263580006563018+0.020203322337510012246531j,
1.622595e-01,0.000277534370083913509240-0.000200454207730782040919j,0.975427048610684521712244+0.020493523882010873660153j,
1.645191e-01,0.000284768155627311949155-0.000205208673546308561835j,0.974776183046170530133168+0.020787945030802595230979j,
1.668101e-01,0.000292166156598352077731-0.000210104078130206507356j,0.974110819581265108269008+0.021086639405998839486012j,
1.691330e-01,0.000299731024129379179655-0.000215145006460569466426j,0.973430747581044752969603+0.021389660396060376779115j,
1.714882e-01,0.000307465391309923142486-0.000220336186971137153179j,0.972735760248800818139614+0.021697061032448689693597j,
1.738762e-01,0.000315371869566428465748-0.000225682491886633907613j,0.972025655199471594336558+0.022008893918292554703342j,
1.762975e-01,0.000323453041644824600565-0.000231188944934547746220j,0.971300235033901726566796+0.022325211155918414651644j,
1.787526e-01,0.000331711461076513120048-0.000236860718590041534554j,0.970559308063674297528678+0.022646064068452910478246j,
1.812418e-01,0.000340149643232091219731-0.000242703143407081874377j,0.969802688796185807795780+0.022971503339885401828724j,
1.837656e-01,0.000348770061353109533074-0.000248721707930621167143j,0.969030198854995750146202+0.023301578639111527463390j,
1.863246e-01,0.000357575142015856381646-0.000254922063158405246344j,0.968241667536186789710939+0.023636338618215058798855j,
1.889193e-01,0.000366567256900880982396-0.000261310026501041490783j,0.967436932706230989786889+0.023975830730232169929472j,
1.915501e-01,0.000375748718010126799352-0.000267891586086759718021j,0.966615841622529337051617+0.024320101029550067472940j,
1.942175e-01,0.000385121772386678095593-0.000274672898900122633079j,0.965778251747877236610407+0.024669194044359403494848j,
1.969220e-01,0.000394688592006362903679-0.000281660303048209882150j,0.964924031750906574522730+0.025023152564272090753184j,
1.996642e-01,0.000404451270130433220527-0.000288860314635646145930j,0.964053062413025907417818+0.025382017442940510432159j,
2.024447e-01,0.000414411811647563232790-0.000296279631196635147728j,0.963165237729231016317044+0.025745827393572100899588j,
2.052638e-01,0.000424572126741847824700-0.000303925138251853895442j,0.962260465904194561836960+0.026114618717162016436895j,
2.081222e-01,0.000434934021140541188146-0.000311803912792111301375j,0.961338670559701458095958+0.026488425129438938204762j,
2.110203e-01,0.000445499189576611107685-0.000319923221655411154415j,0.960399791878540298739608+0.026867277435160884929699j,
2.139589e-01,0.000456269206344633740467-0.000328290529854154491691j,0.959443787874922682235024+0.027251203272351795514616j,
2.169384e-01,0.000467245515231062922418-0.000336913502614349274263j,0.958470635700974793458329+0.027640226849538099967996j,
2.199593e-01,0.000478429422721997810088-0.000345800006046392501870j,0.957480333051196175198072+0.028034368493234214370080j,
2.230223e-01,0.000489822084813380060828-0.000354958113350470176334j,0.956472899582027635823067+0.028433644540787159082917j,
2.261280e-01,0.000501424499861483682212-0.000364396105746717384639j,0.955448378458710556593303+0.028838066717053151971628j,
2.292769e-01,0.000513237496392981887121-0.000374122477436717826120j,0.954406837870940161216993+0.029247641946387542555286j,
2.324697e-01,0.000525261721749010015471-0.000384145937051417324642j,0.953348372872694582724762+0.029662371836637849153995j,
2.357069e-01,0.000537497634790507872009-0.000394475408971187407447j,0.952273106867356999849505+0.030082252293763638711921j,
2.389893e-01,0.000549945489338534028965-0.000405120040832065671840j,0.951181193692063553513094+0.030507273002854648491500j,
2.423173e-01,0.000562605323857037851326-0.000416089201651075686530j,0.950072819326745254819855+0.030937416998833802694868j,
2.456916e-01,0.000575476952254580314226-0.000427392487163976331384j,0.948948204009507745304575+0.031372660098750587698291j,
2.491130e-01,0.000588559946517472581777-0.000439039721204305757613j,0.947807604328341990473916+0.031812970292198469723921j,
2.525820e-01,0.000601853627825816575245-0.000451040958088452315425j,0.946651315283052685600751+0.032258307257210579177542j,
2.560993e-01,0.000615357049779091409142-0.000463406488037189086097j,0.945479672700299200727159+0.032708621605781411367797j,
2.596656e-01,0.000629068987195446796372-0.000476146835162673601194j,0.944293055571053807639714+0.033163854284348960599349j,
2.632815e-01,0.000642987920292910917000-0.000489272764699734755145j,0.943091888480835360830667+0.033623935792064713057314j,
2.669478e-01,0.000657112022635495643570-0.000502795281088269088374j,0.941876644303235033284238+0.034088785464789113366368j,
2.706652e-01,0.000671439141828122617109-0.000516725634747173113819j,0.940647846841268675532888+0.034558310607174805295649j,
2.744343e-01,0.000685966788710424646251-0.000531075323010238341606j,0.939406073715381428890225+0.035032405638740826692157j,
2.782559e-01,0.000700692121283767147162-0.000545856089232605733337j,0.938151959222857101394766+0.035510951131657329804536j,
2.821308e-01,0.000715611924972720816161-0.000561079933913491489365j,0.936886197590833358361806+0.035993812879201274312901j,
2.860596e-01,0.000730722600256635576414-0.000576759109498637301434j,0.935609546022516003205283+0.036480840728331700995035j,
2.900430e-01,0.000746020144186352327301-0.000592906126794379173019j,0.934322828174911190757257+0.036971867533999072663597j,
2.940820e-01,0.000761500134182672917989-0.000609533759000075022957j,0.933026937624508723168049+0.037466707917067999800143j,
2.981772e-01,0.000777157708670028367012-0.000626655044339957537428j,0.931722841583174199442396+0.037965156897319829454318j,
3.023295e-01,0.000792987549142427808162-0.000644283291390781564373j,0.930411584640839617321717+0.038466988596962188584616j,
3.065395e-01,0.000808983864798741287953-0.000662432079073703439231j,0.929094292903831941998760+0.038971954670971802048296j,
3.108082e-01,0.000825140369498522413712-0.000681115265761601134699j,0.927772178028781646652590+0.039479782744127292493097j,
3.151363e-01,0.000841450264304465563731-0.000700346993363719968334j,0.926446541736705153624598+0.039990174705978959179831j,
3.195248e-01,0.000857906216624907866884-0.000720141691659362910213j,0.925118780296456777456626+0.040502804768324421336168j,
3.239743e-01,0.000874500341040562712523-0.000740514085027012942085j,0.923790389355958474482122+0.041017317576808480505957j,
3.284857e-01,0.000891224175944188502958-0.000761479199801168033651j,0.922462968935528815350722+0.041533325986720479039427j,
3.330600e-01,0.000908068661096318144495-0.000783052374120499455716j,0.921138228741167353064156+0.042050408841168229745477j,
3.376980e-01,0.000925024117607360792624-0.000805249261720279631976j,0.919817993557723312392227+0.042568108335507642836504j,
3.424006e-01,0.000942080221235802876996-0.000828085846326630410641j,0.918504209157610107538972+0.043085927425506452548287j,
3.471687e-01,0.000959225978834275534030-0.000851578451261950628882j,0.917198948278792780541835+0.043603326828516836277672j,
3.520031e-01,0.000976449701588410416513-0.000875743751407632845841j,0.915904417030248718667451+0.044119721880613152475981j,
3.569049e-01,0.000993738978640092227718-0.000900598787071597742075j,0.914622961558617331156995+0.044634479070290174196334j,
3.618750e-01,0.001011080648082559761344-0.000926160978949726060999j,0.913357075156388420467124+0.045146912272784743558329j,
3.669142e-01,0.001028460767563168327607-0.000952448145859568075060j,0.912109405653258042967479+0.045656278656182318342882j,
3.720237e-01,0.001045864577019343846093-0.000979478525040557027395j,0.910882763241766646444830+0.046161774212864888078389j,
3.772042e-01,0.001063276474327181416596-0.001007270788197385611579j,0.909680128783716401841275+0.046662528902969735433715j,
3.824570e-01,0.001080679969497104963780-0.001035844073103392003893j,0.908504662496456560916158+0.047157601275205830726467j,
3.877828e-01,0.001098057647736555304113-0.001065218001621723309391j,0.907359713180520666142570+0.047645972633150471264862j,
3.931829e-01,0.001115391131201009123491-0.001095412712232800116208j,0.906248828065813305521203+0.048126540611432830352179j,
3.986581e-01,0.001132661026646141757754-0.001126448893464500680683j,0.905175763128677979274528+0.048598112071959499724816j,
4.042096e-01,0.001149846879203898645030-0.001158347814838466124585j,0.904144494051154379299362+0.049059395356721560710334j,
4.098384e-01,0.001166927120490857203855-0.001191131366913503490321j,0.903159227966659705622021+0.049508991691984922944858j,
4.155455e-01,0.001183879001176969423745-0.001224822105196163172028j,0.902224415799505075064246+0.049945385692744641292773j,
4.213322e-01,0.001200678532722295908594-0.001259443294038258432527j,0.901344765552440696509962+0.050366934910344891840328j,
4.271994e-01,0.001217300412424448261342-0.001295018957262967238334j,0.900525256243936866873412+0.050771858159085657413723j,
4.331483e-01,0.001233717943597184606500-0.001331573935200380202210j,0.899771153024035097445221+0.051158222669086983458442j,
4.391801e-01,0.001249902944741846386525-0.001369133940746776727931j,0.899088023087592058679718+0.051523929738535222122575j,
4.452959e-01,0.001265825657422429148871-0.001407725629108525118582j,0.898481752749200945906694+0.051866698817882785077504j,
4.514968e-01,0.001281454631631337741024-0.001447376664515323844637j,0.897958565695698207598241+0.052184049681102732953786j,
4.577841e-01,0.001296756603692282181980-0.001488115796941426836886j,0.897525042442622433824795+0.052473282742225207941900j,
4.641589e-01,0.001311696362324669832070-0.001529972946297572088808j,0.897188141192148735925116+0.052731456739825426083268j,
4.706225e-01,0.001326236595404591250141-0.001572979284804186484933j,0.896955220087220395086547+0.052955364063706676647225j,
4.771761e-01,0.001340337713572545925642-0.001617167338728739802226j,0.896834061004752491896852+0.053141502928790343429633j,
4.838210e-01,0.001353957664947872188699-0.001662571082667341562655j,0.896832895050987954910227+0.053286046280359856963660j,
4.905584e-01,0.001367051713405739200857-0.001709226046623730371765j,0.896960429772431289130452+0.053384806636316263495079j,
4.973896e-01,0.001379572193012934327658-0.001757169432091241524641j,0.897225878172139612587443+0.053433196820796440007495j,
5.043159e-01,0.001391468237657632377527-0.001806440226257638578464j,0.897638989797787001378992+0.053426185463197280178793j,
5.113388e-01,0.001402685466418749195630-0.001857079327211762437636j,0.898210083679236492848474+0.053358246926716479396902j,
5.184594e-01,0.001413165633176364935700-0.001909129670197097982873j,0.898950083516540821015894+0.053223304720916790599983j,
5.256791e-01,0.001422846229701097081968-0.001962636360861838482478j,0.899870554987596271701022+0.053014667478741610284754j,
5.329994e-01,0.001431660039676904087186-0.002017646804240011935982j,0.900983745092785004437985+0.052724956380591034288408j,
