Frequency,Sum,Coating Thermal,Electronic,Quantum Vacuum,HDa_DC Quantum,HDb_DC Quantum,INTERa_I Quantum,INTERa_Q Quantum,INTERb_I Quantum,INTERb_Q Quantum,REFL_I Quantum,REFL_Q Quantum,Seismic,mdlSagnacSpeedmeter/Actuation/M2a Seismic Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Seismic Noise{1},Suspension Thermal,mdlSagnacSpeedmeter/Actuation/M1a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Suspension Thermal Noise{1},Brownian,mdlSagnacSpeedmeter/Actuation/M1a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Coating Brownian Noise{1},Thermooptic,mdlSagnacSpeedmeter/Actuation/M1a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Coating Thermooptic Noise{1},ADC,mdlSagnacSpeedmeter/Sensing/HDa_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/HDb_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_Q ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_Q ADC Noise{1},DAC,mdlSagnacSpeedmeter/Control/M2a Coil DAC Noise{1},mdlSagnacSpeedmeter/Control/M2a ESD DAC Noise{1},mdlSagnacSpeedmeter/Control/M2b Coil DAC Noise{1},mdlSagnacSpeedmeter/Control/M2b ESD DAC Noise{1},Op-amp,Current,mdlSagnacSpeedmeter/Sensing/HDb_DC Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Current Noise{1},Voltage,mdlSagnacSpeedmeter/Sensing/HDb_DC Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Voltage Noise{1},
9.99999999999999912396e-06,2.03737420779068397913e-20,1.80026609796251098835e-25,2.03707778404014528220e-20,3.98495154611980230013e-23,0.00000000000000000000e+00,1.13570160467101531908e-26,2.18832111510353144392e-23,0.00000000000000000000e+00,3.33032854720018652072e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,7.52216077986207896854e-33,4.13076381794917838893e-33,6.28646904696246949682e-33,3.45236756138040113049e-22,1.87016203996916326979e-22,2.84613323287847091583e-22,2.19953794669027428546e-23,3.34740371405502619253e-23,2.19953963207632525662e-23,3.34739913762961957774e-23,1.80026609796251075876e-25,5.91995058120276934904e-26,9.00936267877474466771e-26,5.59861426837571518666e-26,8.52034502233631938909e-26,5.59861855828869706780e-26,8.52033337368955910432e-26,1.64314521680500892434e-33,4.50739171036929083477e-34,6.85963946776210848835e-34,5.52733009254795849572e-34,8.41186000379947639923e-34,5.52733432783976172928e-34,8.41184850346873561710e-34,3.50363634814414946862e-27,0.00000000000000000000e+00,3.50355527518373381728e-27,7.28275034797902789712e-30,0.00000000000000000000e+00,2.26948301705658952939e-29,0.00000000000000000000e+00,2.03707771346908396130e-20,1.11865388521772414913e-20,2.44031969104682237154e-24,1.70243910267653197122e-20,3.71383958968467094979e-24,5.36206447481243218926e-24,6.55836910960367852635e-26,6.55752613563004380466e-26,8.71002333998763712759e-28,5.89059222348081802647e-28,5.36166338103276916284e-24,5.36069025208051673223e-24,9.08004256642684896561e-26,4.67922585035278224604e-26,
1.01392540755881432717e-05,2.02719013079668148950e-20,1.77892879609137753862e-25,2.02689918487213463859e-20,3.96504795323705969056e-23,0.00000000000000000000e+00,1.26102422851821679122e-26,3.25622490939419363051e-23,0.00000000000000000000e+00,2.26243298701377355902e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,7.91027274213497009298e-33,6.49616959607591361426e-33,4.51355684953478698499e-33,3.41144960744329431499e-22,2.76362261324237071094e-22,1.92017655714163510867e-22,3.25035945802889931422e-23,2.25836208199404107313e-23,3.25035977868522655010e-23,2.25835602147450883667e-23,1.77892879609137753862e-25,8.74817740164382861196e-26,6.07827026883554707726e-26,8.27333252714132965197e-26,5.74834282555150942321e-26,8.27333334332688074285e-26,5.74832739935203105480e-26,1.62929339902611177140e-33,6.68384397288190928284e-34,4.64396276352030724378e-34,8.19628094667421622349e-34,5.69480709514027503865e-34,8.19628175525843009970e-34,5.69479181260878517281e-34,3.85502038400863760110e-27,0.00000000000000000000e+00,3.85495071316055892914e-27,1.08392663700682031319e-29,0.00000000000000000000e+00,2.04858616992668456257e-29,0.00000000000000000000e+00,2.02689910358506790313e-20,1.66455324312533136061e-20,3.63119281185345384989e-24,1.15653892342884701384e-20,2.52296105784649885445e-24,5.74039392466844561478e-24,6.85143323399401680269e-26,6.85004526751480496694e-26,1.28697355782001352867e-27,4.95397162937244228366e-28,5.73998503453052648634e-24,5.73843051684156362404e-24,1.33254596831774553833e-25,9.30658041784368541628e-27,
1.02804473209330986846e-05,1.99806544548758162194e-20,1.74129040330704405620e-25,1.99778256538921838899e-20,3.90809795433646031152e-23,0.00000000000000000000e+00,1.16146414263128669499e-26,2.90991411831616323917e-23,0.00000000000000000000e+00,2.60875987697490820713e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,8.24008228472131689152e-33,6.13545863236541064102e-33,5.50046392857101085448e-33,3.33926989854359902548e-22,2.45267982359730369304e-22,2.19884103936739640456e-22,2.88465119391321959319e-23,2.58610473417530686781e-23,2.88465338665665661461e-23,2.58610649729663145703e-23,1.74129040330704382661e-25,7.76389587472029650964e-26,6.96037563095848174967e-26,7.34247361259020097724e-26,6.58256561838166724532e-26,7.34247919391000104388e-26,6.58257010615884836813e-26,1.60034440126729763457e-33,5.95237008743425349844e-34,5.33633273443613455608e-34,7.29928384490230350315e-34,6.54384576798128474426e-34,7.29928939339176401409e-34,6.54385022936054252454e-34,3.70014402753758999977e-27,0.00000000000000000000e+00,3.70006015684538679763e-27,9.68395407537476328445e-30,0.00000000000000000000e+00,2.29538946772870334015e-29,0.00000000000000000000e+00,1.99778249629985471984e-20,1.48752261984080126478e-20,3.24499695143456682561e-24,1.33357083353379950828e-20,2.90915714032546735970e-24,5.25405473204763395854e-24,6.52466336048521351435e-26,6.52271619233685985647e-26,1.14221125145014251723e-27,1.11170933500403493109e-27,5.25364958901479931498e-24,5.25212478591266398372e-24,1.17449752356232668859e-25,4.71677117177292479027e-26,
1.04236067397640114559e-05,2.08159633868499646879e-20,1.80159191197713635614e-25,2.08130562345696652273e-20,4.07148091044152145785e-23,0.00000000000000000000e+00,1.33349730043250503010e-26,3.58065750058266429012e-23,0.00000000000000000000e+00,1.93800074545800434245e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,9.07284793546482366460e-33,7.97910279310526123011e-33,4.31862110830854558437e-33,3.45491202755202773553e-22,2.99724099518762992045e-22,1.62222983256221296703e-22,3.52511656896283706764e-23,1.90794235732177169907e-23,3.52511851582579677523e-23,1.90794106546657515244e-23,1.80159191197713612655e-25,9.48769047397358115292e-26,5.13512745678722437716e-26,8.97268808217571883769e-26,4.85639873635616682077e-26,8.97269303764136966632e-26,4.85639544812058631507e-26,1.66149916830615741323e-33,7.29914905933314156518e-34,3.95059902603106629543e-34,8.95080158167976525938e-34,4.84455283550924587800e-34,8.95080652505786895713e-34,4.84454955529444570494e-34,4.01554770634056986014e-27,0.00000000000000000000e+00,4.01548152050949901090e-27,1.19181593181841219368e-29,0.00000000000000000000e+00,1.97356991818716468122e-29,0.00000000000000000000e+00,2.08130553967583615747e-20,1.83040067470782742328e-20,3.99298816144054205258e-24,9.90689615050261257871e-21,2.16116807491258765023e-24,5.90548987713206383594e-24,7.30767453764279022635e-26,7.30580113881841957129e-26,1.39582152815982866133e-27,8.88464448782407374468e-28,5.90503772030242564838e-24,5.90313702649296424960e-24,1.42536700904115997065e-25,4.61195569974445188394e-26,
1.05687597118480515045e-05,2.07598362635535305573e-20,1.78435722132537558109e-25,2.07569762174233953698e-20,4.06051391883779176119e-23,0.00000000000000000000e+00,1.24117886655966518571e-26,3.55303677451666411726e-23,0.00000000000000000000e+00,1.96563003219901027257e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,9.56303037684169035346e-33,8.36786803242481763223e-33,4.62929093710038185862e-33,3.42185899335283179638e-22,2.95363066663921548091e-22,1.63400407487073414200e-22,3.47382506017403877679e-23,1.92179523036289207375e-23,3.47382991940426502057e-23,1.92179658478742946708e-23,1.78435722132537535150e-25,9.34964308324483228396e-26,5.17239852266036732674e-26,8.84213276558092114631e-26,4.89165927494274139943e-26,8.84214513406754821086e-26,4.89166272243977224599e-26,1.65130408705649753491e-33,7.21785675102771122514e-34,3.99305420146937660405e-34,8.85111314480542954810e-34,4.89662741515174946668e-34,8.85112552585392296356e-34,4.89663086615017887046e-34,3.89535465074676912498e-27,0.00000000000000000000e+00,3.89528773683256098803e-27,1.18259386576114272335e-29,0.00000000000000000000e+00,1.95307335042683156767e-29,0.00000000000000000000e+00,2.07569754439740313328e-20,1.81628363375605864077e-20,3.96219155547490711568e-24,1.00480538042468862366e-20,2.19196885712200024424e-24,5.66647371406299938715e-24,6.73702239256991770834e-26,6.73545089579820127614e-26,1.37545176000487683192e-27,4.74686511152955703674e-28,5.66607320858944831543e-24,5.66434750606249755312e-24,1.39491854976270945047e-25,9.74464232129556602983e-27,
1.07159339982267109629e-05,2.02690923417419535251e-20,1.73017356729422756155e-25,2.02663377216362719149e-20,3.96452362195209524091e-23,0.00000000000000000000e+00,1.28068306708597535394e-26,3.25414557397536366964e-23,0.00000000000000000000e+00,2.26450491106634490339e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,9.86804958462168153936e-33,8.09986082859258844250e-33,5.63654656345386104659e-33,3.31795020991977665933e-22,2.68652250154658209755e-22,1.86949933905447710225e-22,3.15968314233632918218e-23,2.19875974558972350149e-23,3.15967826300904982959e-23,2.19876279803523691045e-23,1.73017356729422733196e-25,8.50411895036106364676e-26,5.91785281820205035941e-26,8.04252872775426392460e-26,5.59663346694296241283e-26,8.04251630811341616275e-26,5.59664123651339970101e-26,1.60670611903772315550e-33,6.58785533879145558815e-34,4.58436182632642856463e-34,8.07857912862177799353e-34,5.62172021351504232083e-34,8.07856665331025299393e-34,5.62172801791235269997e-34,3.81678792278581380533e-27,0.00000000000000000000e+00,3.81672298761634837356e-27,1.08313160993933275702e-29,0.00000000000000000000e+00,1.94516301665869623149e-29,0.00000000000000000000e+00,2.02663369887398424917e-20,1.66349602831031042411e-20,3.62887863766885905375e-24,1.15759445305769123484e-20,2.52527092360064362192e-24,5.45034292532257992765e-24,6.67983226266575309534e-26,6.67860423445512617708e-26,1.25116650754529562143e-27,2.73927102036527108728e-28,5.44993357644918131352e-24,5.44822334198542356093e-24,1.26000413714794709375e-25,5.25575807761783263157e-26,
1.08651577465253726087e-05,2.07549724669310660050e-20,1.75944215947828046898e-25,2.07521899972224017699e-20,4.05957789281191072089e-23,0.00000000000000000000e+00,1.32207480064455355139e-26,3.55063703725523755937e-23,0.00000000000000000000e+00,1.96803138938299463985e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.06793211468106220589e-32,9.34047959384113645367e-33,5.17719432837457525792e-33,3.37408319437886231040e-22,2.91108778429757153188e-22,1.61354623661818246592e-22,3.42378953675899186852e-23,1.89772043932813125709e-23,3.42378927799681798116e-23,1.89772891158675719356e-23,1.75944215947828046898e-25,9.21497466644145233883e-26,5.10763975369305056476e-26,8.71477438296031233096e-26,4.83038028275893780469e-26,8.71477372431762162088e-26,4.83040184770083786671e-26,1.63954433153557425415e-33,7.16325439531362937964e-34,3.97042034728124722627e-34,8.78415543442886156192e-34,4.86883645480465791558e-34,8.78415477054250815901e-34,4.86885819143182346373e-34,3.97912175992359131708e-27,0.00000000000000000000e+00,3.97906922003029029856e-27,1.18180223838269260439e-29,0.00000000000000000000e+00,1.66870264545057206433e-29,0.00000000000000000000e+00,2.07521891860474073978e-20,1.81505379142651977393e-20,3.95950154061756313609e-24,1.00603831409208226804e-20,2.19466356386229850852e-24,5.80235286276451898214e-24,6.90194445917806344277e-26,6.90014530008943644735e-26,1.35566677869449696203e-27,8.03357397667529458577e-28,5.80194235237647349877e-24,5.80034334101430403233e-24,1.35587386367976909750e-25,1.29710180313951819747e-26,
1.10164594963365701627e-05,1.99531428994619643291e-20,1.67981672434937086772e-25,1.99505041339048780965e-20,3.90274867919354783168e-23,0.00000000000000000000e+00,1.20636856677583378939e-26,2.80182176204535727121e-23,0.00000000000000000000e+00,2.71684386952046049114e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.08506807540977828367e-32,7.78982197705844319592e-33,7.55353866694844626598e-33,3.22138474030313192027e-22,2.28132234644504835611e-22,2.21213154639756399449e-22,2.68311469271401056849e-23,2.60173028926928527661e-23,2.68311329331390145077e-23,2.60173017682250836533e-23,1.67981672434937086772e-25,7.22146811987043369921e-26,7.00244639437432068793e-26,6.82949081405465778593e-26,6.62233826957253572864e-26,6.82948725207863705485e-26,6.62233798335509081471e-26,1.57076635069647570346e-33,5.63304511058516021665e-34,5.46219906661758746908e-34,6.90770353999920168446e-34,6.69817864219947202197e-34,6.90769993723070368528e-34,6.69817835270420619888e-34,3.64715848388319482146e-27,0.00000000000000000000e+00,3.64708991415959846582e-27,9.32483687582416302009e-30,0.00000000000000000000e+00,2.03276170206026536745e-29,0.00000000000000000000e+00,1.99505035091902206914e-20,1.43226915768611689815e-20,3.12446415177076876479e-24,1.38882352126906563798e-20,3.02969049007137537155e-24,4.99266773416776392201e-24,6.43652040907257634324e-26,6.43533270507174977065e-26,1.06234876716983299258e-27,6.32621720355772582705e-28,4.99225282055128257284e-24,4.99106881307085277011e-24,1.05524089722159510950e-25,2.61723896894821003444e-26,
1.11698681846782262494e-05,2.00916220195404648880e-20,1.67982422335520147731e-25,2.00890008956625205040e-20,3.92985082624330059595e-23,0.00000000000000000000e+00,1.20636037601968520852e-26,2.43083391425638186044e-23,0.00000000000000000000e+00,3.08784270041736305566e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.15474614467983570992e-32,7.14274663511294739279e-33,9.07331451961614035994e-33,3.22139704451307134623e-22,1.96560538131882931704e-22,2.49688399426129760388e-22,2.31179338145007918348e-23,2.93663696470560177654e-23,2.31179252244320161608e-23,2.93664132729207086888e-23,1.67982422335520147731e-25,6.22207406136135377384e-26,7.90382305755479469333e-26,5.88434467801155200397e-26,7.47479607527830162262e-26,5.88434249153044589220e-26,7.47480717962814336317e-26,1.57621363156902116395e-33,4.87028536427111241784e-34,6.18666273968706748393e-34,5.97234614513986051187e-34,7.58658303833086300773e-34,5.97234392595952423581e-34,7.58659430874831877045e-34,3.58627074583240954845e-27,0.00000000000000000000e+00,3.58618674474916272362e-27,8.09094960604481550527e-30,0.00000000000000000000e+00,2.31739235613273744772e-29,0.00000000000000000000e+00,2.00890002948770702033e-20,1.24261402028904900666e-20,2.71074059035669615295e-24,1.57847696625719350289e-20,3.44341601692547225414e-24,4.91307904035908897994e-24,6.19970847964668011943e-26,6.19897812198190549249e-26,9.15322777753393913835e-28,2.60253322339594158907e-28,4.91268786086522344193e-24,4.91185723436810194810e-24,9.02927246759796805412e-26,2.78412443253659631124e-27,
1.13254131515281267109e-05,1.99641095107347942643e-20,1.65766213062462366028e-25,1.99615402680976172157e-20,3.90489099746955469564e-23,0.00000000000000000000e+00,1.27895343504160199008e-26,2.86048907343046917677e-23,0.00000000000000000000e+00,2.65815242737917188421e-23,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.21267857303232108617e-32,8.88338109015000526732e-33,8.25496653877748717338e-33,3.17889661486653233155e-22,2.29711713463130486061e-22,2.13461813058591481269e-22,2.70168856291730229156e-23,2.51057507870121969415e-23,2.70169012907946879555e-23,2.51056996842279435327e-23,1.65766213062462343070e-25,7.27146612189660198649e-26,6.75707963940334257767e-26,6.87676798643412079971e-26,6.39031551072244452754e-26,6.87677197287948479847e-26,6.39030250322796220356e-26,1.56080541172048747730e-33,5.71140186339845112768e-34,5.30737496354504195233e-34,7.00378394508140564888e-34,6.50834654685078476923e-34,7.00378800515760463060e-34,6.50833329910399530307e-34,3.70057200997952081326e-27,0.00000000000000000000e+00,3.70051040699952665064e-27,9.52093122457679232676e-30,0.00000000000000000000e+00,1.91123154192774270605e-29,0.00000000000000000000e+00,1.99615395886866697607e-20,1.46226697230898740062e-20,3.18990215756094538092e-24,1.35882513208244112052e-20,2.96424925679421584874e-24,5.20808638716091278448e-24,6.47062161366435295889e-26,6.46969189039860782523e-26,1.06970885932562654647e-27,2.42515998146926695323e-28,5.20768441072652695316e-24,5.20617576859751597339e-24,1.04800547485694262595e-25,6.87577882051424813745e-26,
