Frequency,Sum,Coating Thermal,Electronic,Quantum Vacuum,HDa_DC Quantum,HDb_DC Quantum,INTERa_I Quantum,INTERa_Q Quantum,INTERb_I Quantum,INTERb_Q Quantum,REFL_I Quantum,REFL_Q Quantum,Seismic,mdlSagnacSpeedmeter/Actuation/M2a Seismic Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Seismic Noise{1},Suspension Thermal,mdlSagnacSpeedmeter/Actuation/M1a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Suspension Thermal Noise{1},Brownian,mdlSagnacSpeedmeter/Actuation/M1a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Coating Brownian Noise{1},Thermooptic,mdlSagnacSpeedmeter/Actuation/M1a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Coating Thermooptic Noise{1},ADC,mdlSagnacSpeedmeter/Sensing/HDa_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/HDb_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_Q ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_Q ADC Noise{1},DAC,mdlSagnacSpeedmeter/Control/M2a Coil DAC Noise{1},mdlSagnacSpeedmeter/Control/M2a ESD DAC Noise{1},mdlSagnacSpeedmeter/Control/M2b Coil DAC Noise{1},mdlSagnacSpeedmeter/Control/M2b ESD DAC Noise{1},Op-amp,Current,mdlSagnacSpeedmeter/Sensing/HDb_DC Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Current Noise{1},Voltage,mdlSagnacSpeedmeter/Sensing/HDb_DC Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Voltage Noise{1},
9.99999999999999912396e-06,5.89814907358266384049e-15,1.31819690351568808692e-20,5.89807996790804559154e-15,1.32775496423960264277e-17,0.00000000000000000000e+00,1.32775496423960264277e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,5.50831671169160988868e-28,3.89496161564842938355e-28,3.89497458386142116533e-28,2.52763301843424855023e-17,1.76307333517698199166e-17,1.76307952312531240866e-17,2.07397787482759741153e-18,2.07398478161838597204e-18,2.07392640994087415801e-18,2.07393363606630077461e-18,1.31819690351568793645e-20,5.58096399788768124159e-21,5.58098358568142811135e-21,5.27901877745616271663e-21,5.27903635772001594744e-21,5.27888778083045579366e-21,5.27890617391568460949e-21,1.20317222618484351931e-28,4.24929068492958127235e-29,4.24930559888164045799e-29,5.21180384092162664388e-29,5.21182119734533711716e-29,5.21167451220623734682e-29,5.21169267110210135957e-29,5.13545269171468354737e-18,0.00000000000000000000e+00,5.13545269171468354737e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.49170776614761171519e-15,1.05479489555554388748e-15,2.30101343024829069661e-19,1.05479840822853078805e-15,2.30102144088431955359e-19,5.70632358663428091548e-15,5.47305920907176835427e-17,5.47305920907176835427e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,5.70606111408457668622e-15,5.70606111408457668622e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.01392540755881432717e-05,5.66874291154917230194e-15,1.29113393088915877340e-20,5.66867413534406396748e-15,1.29157095764997359626e-17,0.00000000000000000000e+00,1.29157095764997359626e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,5.74165291638060291925e-28,4.05995492438461580254e-28,4.05996850038851723038e-28,2.47573988869661818293e-17,1.72687690367995198337e-17,1.72688288248408884083e-17,2.03139847338990338828e-18,2.03140526762577763579e-18,2.03134818851487378991e-18,2.03135522210217070448e-18,1.29113393088915877340e-20,5.46638511054502396282e-21,5.46640403629812258371e-21,5.17063890394257416407e-21,5.17065619771373448773e-21,5.17051091087055378715e-21,5.17052881387707220437e-21,1.18255217011690913327e-28,4.17646596509375457728e-29,4.17648042488063128429e-29,5.12248347222669418563e-29,5.12250060493671121117e-29,5.12235667118563138210e-29,5.12237440745704647640e-29,4.99535937451671716264e-18,0.00000000000000000000e+00,4.99535937451671716264e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.47122047243706131020e-15,1.04030820822745426087e-15,2.26941101879106606479e-19,1.04031168762425528467e-15,2.26941895182054747684e-19,5.47442707692645732562e-15,5.28707107039914879951e-17,5.28707107039914879951e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,5.47417176461747586793e-15,5.47417176461747586793e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.02804473209330986846e-05,5.44878306209616080555e-15,1.26462653777158700093e-20,5.44871461816162523314e-15,1.25637400373118567772e-17,0.00000000000000000000e+00,1.25637400373118567772e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,5.98487325662850290151e-28,4.23193740520196656431e-28,4.23195152339432099492e-28,2.42491215134826121775e-17,1.69142364822637694830e-17,1.69142933679884434277e-17,1.98969321176483840748e-18,1.98969985104049178907e-18,1.98964404643974410313e-18,1.98965078685130174968e-18,1.26462653777158700093e-20,5.35415872814927421705e-21,5.35417673518137322576e-21,5.06448403029093296862e-21,5.06450092963266007048e-21,5.06435888687570135296e-21,5.06437604364463889958e-21,1.16228546740723109866e-28,4.10488944868273581559e-29,4.10490325418978543138e-29,5.03469381240682991066e-29,5.03471061234354961209e-29,5.03456940510796999179e-29,5.03458646095766644326e-29,4.85908755207870623019e-18,0.00000000000000000000e+00,4.85908755207870623019e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.45101451691747164025e-15,1.02602046826918589602e-15,2.23824260721514798534e-19,1.02602389192599950745e-15,2.23825041424617238996e-19,5.25195432683216543052e-15,5.10740305919829835236e-17,5.10740305919829835236e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,5.25170597944422168654e-15,5.25170597944422168654e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.04236067397640114559e-05,5.23788622914395130710e-15,1.23866329519092856483e-20,5.23781812056722957035e-15,1.22213713125183338590e-17,0.00000000000000000000e+00,1.22213713125183338590e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,6.23839643893981333688e-28,4.41120492786624199621e-28,4.41121992352971794293e-28,2.37512787703653641717e-17,1.65669813616060086691e-17,1.65670372548950718629e-17,1.94884406017754317562e-18,1.94885068659609885674e-18,1.94879581964725718563e-18,1.94880247088214858689e-18,1.23866329519092841437e-20,5.24423599901973996802e-21,5.24425369189885820581e-21,4.96050826424694307294e-21,4.96052513086273817672e-21,4.96038547476673458501e-21,4.96040240454901976141e-21,1.14236604212524638980e-28,4.03453931851703474506e-29,4.03455293015016393756e-29,4.94840841572983015439e-29,4.94842524120397505978e-29,4.94828592576209838173e-29,4.94830281424865554017e-29,4.72653310368817812862e-18,0.00000000000000000000e+00,4.72653310368817812862e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.43108604132268906692e-15,1.01192889984410674584e-15,2.20750213945014184815e-19,1.01193234055804398117e-15,2.20750997922954806388e-19,5.03852250827150716728e-15,4.93384053867188765523e-17,4.93384053867188765523e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,5.03828093580662617716e-15,5.03828093580662617716e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.05687597118480515045e-05,5.03568493218208758928e-15,1.21323319796370659902e-20,5.03561716232641400468e-15,1.18883446063455905831e-17,0.00000000000000000000e+00,1.18883446063455905831e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,6.50265934353691002029e-28,4.59806669050392776958e-28,4.59808234460477382570e-28,2.32636584551103077007e-17,1.62268561194612723399e-17,1.62269119375707511156e-17,1.90883370457162967482e-18,1.90884020458596774633e-18,1.90878660471057954808e-18,1.90879302806155132039e-18,1.21323319796370644856e-20,5.13657021487927622684e-21,5.13658788396048913890e-21,4.85866753531694066552e-21,4.85868408018859153206e-21,4.85854764924972997642e-21,4.85856399898557056623e-21,1.12278810619845940665e-28,3.96539500732761655240e-29,3.96540864773035497941e-29,4.86360216796154426151e-29,4.86361872963674443981e-29,4.86348216013385062297e-29,4.86349852647505529035e-29,4.59759503536765600514e-18,0.00000000000000000000e+00,4.59759503536765600514e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.41143133465981743805e-15,9.98030944924287295541e-16,2.17718403585739267553e-19,9.98034343412181336979e-16,2.17719177887647996340e-19,4.83376464623347457715e-15,4.76617645999183668915e-17,4.76617645999183668915e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,4.83352966385558088144e-15,4.83352966385558088144e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.07159339982267109629e-05,4.84182569395199593620e-15,1.18832517637482176780e-20,4.84175826647033449805e-15,1.15644069496271832106e-17,0.00000000000000000000e+00,1.15644069496271832106e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,6.77811664720481662404e-28,4.79284425369425477462e-28,4.79286023611632484446e-28,2.27860490343782819652e-17,1.58937147767518838996e-17,1.58937683418001963495e-17,1.86964485321208849052e-18,1.86965108917306648760e-18,1.86959861044497448664e-18,1.86960505267122875342e-18,1.18832517637482176780e-20,5.03111516642049571599e-21,5.03113212230090033466e-21,4.75891782982319136118e-21,4.75893370258417736586e-21,4.75880012536796160814e-21,4.75881652314817773210e-21,1.10354568653049291349e-28,3.89743594870232810383e-29,3.89744908385341183535e-29,4.78024954044159925886e-29,4.78026548435177399274e-29,4.78013130837957555450e-29,4.78014777966236475934e-29,4.47217431081352352427e-18,0.00000000000000000000e+00,4.47217431081352352427e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.39204657521146011628e-15,9.84323908109338325224e-16,2.14728241633814059702e-19,9.84327191164379478291e-16,2.14728990281348866080e-19,4.63732783432795475648e-15,4.60420998053158548718e-17,4.60420998053158548718e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,4.63709926226281170118e-15,4.63709926226281170118e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.08651577465253726087e-05,4.65596962209710139352e-15,1.16392848022409388161e-20,4.65590254095617999917e-15,1.12493037167780967370e-17,0.00000000000000000000e+00,1.12493037167780967370e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,7.06524233718081508728e-28,4.99587230989658673648e-28,4.99588922478278815608e-28,2.23182445371841939090e-17,1.55674123703273218666e-17,1.55674641026494363993e-17,1.83126040114129340146e-18,1.83126660270524116972e-18,1.83121516850308013227e-18,1.83122137004937790815e-18,1.16392848022409388161e-20,4.92782496592516843986e-21,4.92784134166073677359e-21,4.66121560950350047440e-21,4.66123139471168863774e-21,4.66110047618921707336e-21,4.66111626135247915916e-21,1.08463300183769866277e-28,3.83064144224405361523e-29,3.83065417191114815719e-29,4.69832500854213820357e-29,4.69834091942131695761e-29,4.69820895861543853342e-29,4.69822486944933460784e-29,4.35017487915832301699e-18,0.00000000000000000000e+00,4.35017487915832301699e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.37292801286225732179e-15,9.70805041076153000287e-16,2.11779128518729267717e-19,9.70808328673543795253e-16,2.11779877718501254119e-19,4.44887381461407914133e-15,4.44774738106613229699e-17,4.44774738106613229699e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,4.44865147799670345733e-15,4.44865147799670345733e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.10164594963365701627e-05,4.47779184419355163589e-15,1.14003265303913891386e-20,4.47772511367062696712e-15,1.09427920582100994492e-17,0.00000000000000000000e+00,1.09427920582100994492e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,7.36453086807435884389e-28,5.20750083854483038632e-28,5.20751859558609311918e-28,2.18600434963900911802e-17,1.52478075386030887169e-17,1.52478594676982360396e-17,1.79366401903049298387e-18,1.79367013654458307062e-18,1.79361974002816319867e-18,1.79362583595233863797e-18,1.14003265303913876340e-20,4.82665486574168412910e-21,4.82667130376525742703e-21,4.56551931034980829249e-21,4.56553488162091199646e-21,4.56540660438144766125e-21,4.56542212069846205049e-21,1.06604444761050859598e-28,3.76499129271737143913e-29,3.76500411505858770220e-29,4.61780457148231677362e-29,4.61782032107880270819e-29,4.61769057478214966422e-29,4.61770626879520098864e-29,4.23150362768977854727e-18,0.00000000000000000000e+00,4.23150362768977854727e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.35407202731764983318e-15,9.57471857169478144126e-16,2.08870521793079487513e-19,9.57475122725629819283e-16,2.08871265768476262121e-19,4.26807840049940340115e-15,4.29660185041951640693e-17,4.29660185041951640693e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,4.26786212922388659823e-15,4.26786212922388659823e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.11698681846782262494e-05,4.30698005759421525079e-15,1.11662737546509216342e-20,4.30691368224532191126e-15,1.06446466426112258467e-17,0.00000000000000000000e+00,1.06446466426112258467e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,7.67649732065714501402e-28,5.42809419195554756579e-28,5.42811243042319333752e-28,2.14112488070994157662e-17,1.49347645774034523198e-17,1.49348152185715233992e-17,1.75683953454588471799e-18,1.75684543883367589231e-18,1.75679602961809564273e-18,1.75680208003056432906e-18,1.11662737546509201296e-20,4.72756190905683687278e-21,4.72757793939035570416e-21,4.47178776796260283449e-21,4.47180279649617295680e-21,4.47167703229203784476e-21,4.47169243276540803730e-21,1.04777442822586105767e-28,3.70046633121037944475e-29,3.70047887884288102309e-29,4.53866418425032420534e-29,4.53867943753840367332e-29,4.53855179250724681949e-29,4.53856742329755603604e-29,4.11606944031544899438e-18,0.00000000000000000000e+00,4.11606944031544899438e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.33547498701987053294e-15,9.44321810158108037378e-16,2.06001865992694366578e-19,9.44324983753793059491e-16,2.06002589466073195117e-19,4.09463003009168065623e-15,4.15059237299234922214e-17,4.15059237299234922214e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,4.09441965870914670952e-15,4.09441965870914670952e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.13254131515281267109e-05,4.14323522829076553396e-15,1.09370264228389835849e-20,4.14316921300330861691e-15,1.03546303964531100353e-17,0.00000000000000000000e+00,1.03546303964531100353e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,8.00167905038313437281e-28,5.65803211321989910237e-28,5.65805092157296739520e-28,2.09716685295963862346e-17,1.46281486408826245798e-17,1.46281984317252985775e-17,1.72077109265677969395e-18,1.72077681407215527454e-18,1.72072846114331660152e-18,1.72073428030498362648e-18,1.09370264228389835849e-20,4.63050341075960213534e-21,4.63051917192476976244e-21,4.37998062559278755182e-21,4.37999518865036261382e-21,4.37987211307545990796e-21,4.37988692493246219291e-21,1.02981754718053099285e-28,3.63704724265252380676e-29,3.63705962232212530467e-29,4.46088017595040788587e-29,4.46089500799200640133e-29,4.46076965917447465873e-29,4.46078474461090088928e-29,4.00378436650972884380e-18,0.00000000000000000000e+00,4.00378436650972884380e-18,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.31713338934344659708e-15,9.31352380849397107954e-16,2.03172611619991383194e-19,9.31355477490204751050e-16,2.03173317853152719573e-19,3.92823048355946765441e-15,4.00954477230488563062e-17,4.00954477230488563062e-17,0.00000000000000000000e+00,0.00000000000000000000e+00,3.92802585111627526618e-15,3.92802585111627526618e-15,0.00000000000000000000e+00,0.00000000000000000000e+00,
