Frequency,R = 0.990000,R = 0.999000,R = 0.999900,
1.000000e-02,0.0013496228184169-0.0000003811398212j,0.0012385025511605+0.0000039537523141j,0.0012245796555775+0.0000050284007338j,
1.016265e-02,0.0013314433083608-0.0000001687706896j,0.0012190650326442-0.0000043040663126j,0.0012050925256451+0.0000022836704217j,
1.032795e-02,0.0013135305086140-0.0000050038684475j,0.0011999889336879-0.0000020312188130j,0.0011858763255171+0.0000028570584162j,
1.049593e-02,0.0012958614127464+0.0000017921349169j,0.0011812015288467+0.0000009751597371j,0.0011669311920141+0.0000052063540344j,
1.066665e-02,0.0012784842942174-0.0000016426209442j,0.0011626775353791+0.0000145831140297j,0.0011483481243048-0.0000051213236086j,
1.084014e-02,0.0012614238305759+0.0000065154813262j,0.0011445034536980+0.0000007233435782j,0.0011300229148244-0.0000027668902610j,
1.101646e-02,0.0012446042665660+0.0000017956148153j,0.0011265524175833+0.0000078937222683j,0.0011119887956503+0.0000019658485582j,
1.119564e-02,0.0012281596428964+0.0000233684525579j,0.0011089038896066+0.0000128023390870j,0.0010942905952496+0.0000014004863662j,
1.137774e-02,0.0012118095570533-0.0000010127776108j,0.0010916162379620+0.0000141977184272j,0.0010768312358919-0.0000115712843485j,
1.156280e-02,0.0011957975073199+0.0000022805019208j,0.0010745276898372+0.0000079962057282j,0.0010596733338714-0.0000000946849933j,
1.175087e-02,0.0011800673254781+0.0000067170043499j,0.0010577308536502+0.0000026651975565j,0.0010427595457628-0.0000089842503582j,
1.194200e-02,0.0011645313608820+0.0000030677046274j,0.0010412206684936+0.0000073043941764j,0.0010261406426749-0.0000001192285569j,
1.213624e-02,0.0011493324071991+0.0000131115660299j,0.0010249654750370+0.0000009746448196j,0.0010097735373528+0.0000017469548866j,
1.233363e-02,0.0011342819278183-0.0000073728727853j,0.0010089601297206-0.0000026331276974j,0.0009936729946315-0.0000010690321359j,
1.253424e-02,0.0011195109483047-0.0000036066462798j,0.0009932396054737+0.0000076219737480j,0.0009778020323110+0.0000038448745669j,
1.273811e-02,0.0011049322592440+0.0000002512102043j,0.0009776854878423+0.0000005735329210j,0.0009622041398408-0.0000028677429005j,
1.294530e-02,0.0010906817798919+0.0000060743606757j,0.0009624388772302+0.0000156026562479j,0.0009469138933694+0.0000005084548866j,
1.315586e-02,0.0010765465045801+0.0000023557367883j,0.0009474562246770-0.0000059380994480j,0.0009317860588113+0.0000027415580078j,
1.336984e-02,0.0010626686911674-0.0000042462449615j,0.0009326490726632-0.0000030850802618j,0.0009169207967026-0.0000007389486073j,
1.358730e-02,0.0010490338271147+0.0000003370119451j,0.0009181447941140-0.0000023427705899j,0.0009022925193505+0.0000001797567122j,
1.380830e-02,0.0010355814110871+0.0000015074979683j,0.0009038923572350+0.0000051640002206j,0.0008879099939400+0.0000053954142999j,
1.403289e-02,0.0010224203428014-0.0000026070120358j,0.0008897705741101+0.0000021116595773j,0.0008737465090621+0.0000085697073161j,
1.426114e-02,0.0010093822868922+0.0000036839636708j,0.0008759471200666-0.0000005929635608j,0.0008598204302214+0.0000015824614309j,
1.449310e-02,0.0009966453586500+0.0000027829155668j,0.0008623212463139-0.0000044691133022j,0.0008461091131902-0.0000013792418440j,
1.472883e-02,0.0009840732685331+0.0000021997291144j,0.0008489090655383-0.0000141202596972j,0.0008326109420422+0.0000142449192909j,
1.496839e-02,0.0009716959163836+0.0000049123945969j,0.0008357055849349+0.0000069253793211j,0.0008193375077018+0.0000035160449488j,
1.521186e-02,0.0009595219037690+0.0000007968203215j,0.0008226859287805+0.0000013759578700j,0.0008062766060502+0.0000126344850509j,
1.545928e-02,0.0009475188332428+0.0000022607964656j,0.0008099289483754-0.0000093128578773j,0.0007933858507757-0.0000064113830343j,
1.571072e-02,0.0009357024956399+0.0000034425197178j,0.0007973517725065-0.0000049022770162j,0.0007807588064867+0.0000012729461728j,
1.596626e-02,0.0009240984932562+0.0000017103246643j,0.0007849681038586+0.0000059783172132j,0.0007683100414127-0.0000016272769698j,
1.622595e-02,0.0009127039696415-0.0000044953129613j,0.0007727859735996+0.0000020754352404j,0.0007560603958113+0.0000019890294825j,
1.648987e-02,0.0009014266679598-0.0000049484009324j,0.0007608108560018-0.0000044421958743j,0.0007440036760105-0.0000017063646773j,
1.675808e-02,0.0008903662107884-0.0000003548574421j,0.0007490278035444-0.0000013813219679j,0.0007321550594100+0.0000011308746362j,
1.703065e-02,0.0008795030423210+0.0000054360412453j,0.0007374089581746-0.0000015693762539j,0.0007204637934950+0.0000019353348073j,
1.730766e-02,0.0008687596455868+0.0000038666768509j,0.0007260119806030+0.0000071751289690j,0.0007089841498213-0.0000013812479622j,
1.758917e-02,0.0008582252213424-0.0000003294899460j,0.0007147603839369-0.0000007033897517j,0.0006976841881536-0.0000003663224122j,
1.787526e-02,0.0008478604726442-0.0000002953018610j,0.0007036964991945+0.0000002532383264j,0.0006865495619443-0.0000024796420133j,
1.816600e-02,0.0008376377564267-0.0000039088758502j,0.0006928198126035+0.0000034222327419j,0.0006755845194702-0.0000018150758263j,
1.846147e-02,0.0008276421626129-0.0000092781072525j,0.0006821152410812+0.0000004508952452j,0.0006648377634269+0.0000023057594077j,
1.876175e-02,0.0008177307065308+0.0000054290842878j,0.0006716038196488+0.0000139365760539j,0.0006542029611485+0.0000072976737274j,
1.906691e-02,0.0008079527436737-0.0000016485922594j,0.0006612166158796-0.0000014509046854j,0.0006438012153900+0.0000018028474584j,
1.937703e-02,0.0007983938314806-0.0000015141368987j,0.0006510268312845+0.0000061576043031j,0.0006335214025592-0.0000019440823265j,
1.969220e-02,0.0007890275598876-0.0000065074423058j,0.0006409798572581+0.0000036076427503j,0.0006234384599669-0.0000045487387645j,
2.001250e-02,0.0007797308254099-0.0000008400267555j,0.0006310703752298+0.0000021287778588j,0.0006134966371875-0.0000004638568755j,
2.033800e-02,0.0007705679367055+0.0000015026581833j,0.0006213722320069+0.0000028025994081j,0.0006037154959980+0.0000012986802567j,
2.066880e-02,0.0007616890887209+0.0000087106747010j,0.0006118014462187+0.0000027700407056j,0.0005940849230148+0.0000003224260121j,
2.100498e-02,0.0007528007598901+0.0000022706944955j,0.0006023981100660+0.0000034997910067j,0.0005846454981501-0.0000039953212339j,
2.134663e-02,0.0007441220017643+0.0000024013067862j,0.0005931416691885+0.0000104674997860j,0.0005753016274408+0.0000090668684711j,
2.169384e-02,0.0007355804425120-0.0000043430608080j,0.0005840188893342+0.0000002288140289j,0.0005661281939434+0.0000057401511751j,
2.204669e-02,0.0007271321921077-0.0000002598847905j,0.0005750513374654+0.0000005001469519j,0.0005570978243639+0.0000046123443401j,
2.240528e-02,0.0007188671848851+0.0000020696056227j,0.0005662227697611+0.0000012791387885j,0.0005482255078396-0.0000006491165691j,
2.276970e-02,0.0007107205171246+0.0000017091213056j,0.0005575377179748+0.0000009004809070j,0.0005394844879849+0.0000021921062275j,
2.314005e-02,0.0007027100474959+0.0000039938422399j,0.0005489898289801+0.0000010547730897j,0.0005308754087344+0.0000011127564945j,
2.351643e-02,0.0006948307346407-0.0000006357798656j,0.0005405939300122+0.0000036971507230j,0.0005224299748917+0.0000000379995444j,
2.389893e-02,0.0006870872078341+0.0000043193284534j,0.0005323049680369+0.0000003109295045j,0.0005140902399463+0.0000024608789213j,
2.428764e-02,0.0006793977298931+0.0000047788313377j,0.0005241476504963+0.0000066993214404j,0.0005059061344757+0.0000003041510906j,
2.468268e-02,0.0006718778667367-0.0000006339269486j,0.0005161494475308+0.0000027142462694j,0.0004978451529305-0.0000030169033989j,
2.508415e-02,0.0006645045554155-0.0000005546532875j,0.0005082610215993+0.0000009371986663j,0.0004899002178759+0.0000019793062655j,
2.549215e-02,0.0006572033221230+0.0000012473376862j,0.0005004958049814-0.0000006905707435j,0.0004821002650694+0.0000021184944477j,
2.590678e-02,0.0006500447695588+0.0000004452376789j,0.0004928701083297-0.0000029828610094j,0.0004744220537074-0.0000064016345025j,
2.632815e-02,0.0006429927579741+0.0000012097104491j,0.0004853308594094+0.0000009543099950j,0.0004668551504872+0.0000028376858282j,
2.675638e-02,0.0006360415797678-0.0000005674889883j,0.0004779555705294+0.0000046618452873j,0.0004594175889771+0.0000018161296829j,
2.719158e-02,0.0006292394389397-0.0000007456636896j,0.0004706923593834-0.0000017386709028j,0.0004520989651863+0.0000022851369365j,
2.763385e-02,0.0006225302707989+0.0000012904017466j,0.0004635197181774+0.0000015562169844j,0.0004448952903857+0.0000015049698594j,
2.808332e-02,0.0006159021202032+0.0000017058713424j,0.0004564703416920+0.0000047129021159j,0.0004378154075577-0.0000037401550039j,
2.854010e-02,0.0006094027481734-0.0000022969331490j,0.0004495400414940-0.0000008779939631j,0.0004308281192096+0.0000013017323944j,
2.900430e-02,0.0006029953354000+0.0000010143789374j,0.0004427123252181-0.0000010719770633j,0.0004239676657595+0.0000001843577787j,
2.947606e-02,0.0005966948692679+0.0000020792699976j,0.0004360095951451+0.0000042154727843j,0.0004172102982400-0.0000014526423439j,
2.995549e-02,0.0005905009716054+0.0000013962359080j,0.0004294022950260-0.0000035088793096j,0.0004105614747511+0.0000024411702803j,
3.044272e-02,0.0005843999327033+0.0000018504602801j,0.0004229091485235+0.0000031917406710j,0.0004040214946075+0.0000011420122368j,
3.093788e-02,0.0005783965832988+0.0000004777083424j,0.0004164985388748+0.0000019488309282j,0.0003975705300073+0.0000054017165905j,
3.144108e-02,0.0005725034746735-0.0000006678471263j,0.0004101919041058+0.0000041200664898j,0.0003912529349693-0.0000009564902293j,
3.195248e-02,0.0005666754521143+0.0000004176177380j,0.0004039961687530+0.0000011383397887j,0.0003850274019392-0.0000007438611879j,
3.247218e-02,0.0005609807428356+0.0000029204323739j,0.0003979121653342+0.0000056869282880j,0.0003788944252657-0.0000012224774765j,
3.300035e-02,0.0005553397437070-0.0000000174619382j,0.0003919126872859+0.0000012667112401j,0.0003728481320669+0.0000011021895689j,
3.353710e-02,0.0005497974538804+0.0000004097739268j,0.0003860116379914+0.0000014920696835j,0.0003669083156138+0.0000006785990110j,
3.408259e-02,0.0005443444987757+0.0000015788454581j,0.0003802018479038+0.0000013970454727j,0.0003610654249404-0.0000013355477920j,
3.463694e-02,0.0005389841658004+0.0000030333981685j,0.0003744783560754+0.0000021022438878j,0.0003553092196813+0.0000008513507265j,
3.520031e-02,0.0005337068651307+0.0000003025377319j,0.0003688639481361+0.0000045865688175j,0.0003496540784950+0.0000048795827625j,
3.577285e-02,0.0005285148254963+0.0000021345935230j,0.0003633236584129+0.0000000173983650j,0.0003440831261139+0.0000026391595888j,
3.635470e-02,0.0005234031862574+0.0000018559079753j,0.0003578855009617-0.0000028947112853j,0.0003386071745977-0.0000009078514209j,
3.694601e-02,0.0005183729736159+0.0000014045292898j,0.0003525192509698+0.0000002747469534j,0.0003332158846139-0.0000026003580515j,
3.754694e-02,0.0005134339878607+0.0000017154972648j,0.0003472435240784-0.0000005805961030j,0.0003279048973993+0.0000005637610372j,
3.815765e-02,0.0005085621444334-0.0000002560662512j,0.0003420473045475+0.0000015030266524j,0.0003227006079695-0.0000007030314826j,
3.877828e-02,0.0005037623968324+0.0000013133626381j,0.0003369451934100+0.0000010051898412j,0.0003175389026627+0.0000030353305018j,
3.940902e-02,0.0004990489347861+0.0000015039743304j,0.0003319160686439-0.0000002387227305j,0.0003124817206467+0.0000023564684486j,
4.005001e-02,0.0004944033619100+0.0000004014177349j,0.0003269736111036+0.0000016033787078j,0.0003075025578469+0.0000013877076540j,
