Frequency,Response,
1.000000e-02,45113.2878961237147450-0.0722133217184036j,
1.016265e-02,45113.3247001646086574+17.9845341860504888j,
1.032795e-02,45113.2878923863172531-0.0748887857377438j,
1.049593e-02,45113.2879333924502134-0.0762825421699267j,
1.066665e-02,45113.2875360688194633-0.2408854528830453j,
1.084014e-02,45113.2878846628591418-0.1013083726867938j,
1.101646e-02,45113.2458897782489657-19.2127672137172425j,
1.119564e-02,45113.3416073108091950+24.3715278067274141j,
1.137774e-02,45113.2440355215221643-19.4022266709549527j,
1.156280e-02,45113.2499949177727103-16.6485710649142185j,
1.175087e-02,45113.3310004556551576+18.3456596120011461j,
1.194200e-02,45113.3313312400132418+18.1344965615701987j,
1.213624e-02,45113.2439384795725346-18.3083919161799216j,
1.233363e-02,45113.3748639589175582+35.6095795974361309j,
1.253424e-02,45113.3011255878955126+5.2971453102618113j,
1.273811e-02,45113.2878983439877629-0.0689485517536923j,
1.294530e-02,45113.2386203892529011-19.1581686591264315j,
1.315586e-02,45113.2877980628982186-0.0261297644907490j,
1.336984e-02,45113.3361446680501103+18.0063045733530629j,
1.358730e-02,45113.2878326866775751-0.0751985747368540j,
1.380830e-02,45113.2373714996501803-18.5535154920945828j,
1.403289e-02,45113.3812252208590508+33.8732191677991423j,
1.426114e-02,45113.2882346324622631+0.0830528387798033j,
1.449310e-02,45113.2873437497764826-0.2445033907469885j,
1.472883e-02,45113.2878301562741399+0.1030793704233055j,
1.496839e-02,45113.4149944866076112+42.5727659192913137j,
1.521186e-02,45113.2637227848172188-7.9522488667421989j,
1.545928e-02,45113.2877022838220000-0.0890061977334806j,
1.571072e-02,45113.2882496090605855+0.0721797807499520j,
1.596626e-02,45113.3479810776188970+18.8550155517474956j,
1.622595e-02,45113.2882106695324183+0.0686032711942808j,
1.648987e-02,45113.2251852350309491-19.2065101386068733j,
1.675808e-02,45113.2273557614535093-18.3882866904653639j,
1.703065e-02,45113.2876212550327182-0.0998682599022214j,
1.730766e-02,45113.2876118095591664-0.1022816972649352j,
1.758917e-02,45113.2877921778708696-0.0806624235505762j,
1.787526e-02,45113.2289487682282925-16.6947186649701926j,
1.816600e-02,45113.3561060084030032+18.8159560568335600j,
1.846147e-02,45113.2870726063847542-0.2730448084136299j,
1.876175e-02,45113.1828238992020488-28.3929607049669528j,
1.906691e-02,45113.3566353758797050+17.9892208967018377j,
1.937703e-02,45113.2876484105363488-0.1629466965766611j,
1.969220e-02,45113.3592774849385023+18.1253890656983572j,
2.001250e-02,45113.2877198327332735-0.1679821993654684j,
2.033800e-02,45113.2148670190945268-18.2045093936651341j,
2.066880e-02,45113.2079790402203798-19.4466914223101028j,
2.100498e-02,45113.1387293599545956-35.8048628208104844j,
2.134663e-02,45113.2538107223808765-8.0880422444695874j,
2.169384e-02,45113.3659481452777982+17.9699431706503461j,
2.204669e-02,45113.2071468504145741-18.5434293939062371j,
2.240528e-02,45113.2874713866040111-0.1615605421173463j,
2.276970e-02,45113.3707190463319421+18.2663844953652266j,
2.314005e-02,45113.2627202887088060-5.5320785938748624j,
2.351643e-02,45113.3767078099772334+18.9406117453943814j,
2.389893e-02,45113.1722837304696441-24.5646261749112469j,
2.428764e-02,45113.3752576494589448+17.9057400062615812j,
2.468268e-02,45113.2865859484300017-0.3417283366258772j,
2.508415e-02,45113.3788943234831095+17.8779768988194903j,
2.549215e-02,45113.1895779240876436-19.5050429358971016j,
2.590678e-02,45113.1348352078348398-29.8876936186917632j,
2.632815e-02,45113.2881758576259017-0.0273789002750924j,
2.675638e-02,45113.2866171346977353-0.3563066210451282j,
2.719158e-02,45113.1889326460659504-18.4400794071554621j,
2.763385e-02,45113.3878052458167076+18.0676547227780020j,
2.808332e-02,45113.1856467733159661-18.4695545427148566j,
2.854010e-02,45113.6918953917920589+70.8467524518731580j,
2.900430e-02,45113.1835113903507590-18.3360921415596358j,
2.947606e-02,45113.2871067635715008-0.1896177917533670j,
2.995549e-02,45113.4011429222300649+18.9407311530700575j,
3.044272e-02,45113.4029574990272522+18.9144708100759651j,
3.093788e-02,45113.4826281853020191+31.4963785735760595j,
3.144108e-02,45113.2861794782802463-0.3674489822791926j,
3.195248e-02,45113.2883036676794291-0.0444187598003687j,
3.247218e-02,45113.1694142948836088-18.5019511928336442j,
3.300035e-02,45113.2882695877924562-0.0751343422576092j,
3.353710e-02,45113.4085071133449674+17.9079345096896532j,
3.408259e-02,45113.2871671877801418-0.2228006039985715j,
3.463694e-02,45113.2872262271121144-0.2276334825294413j,
3.520031e-02,45113.2881601769477129-0.0911937628188078j,
3.577285e-02,45113.1506660766899586-19.4158517358208762j,
3.635470e-02,45113.2874989286065102-0.2629136083806891j,
3.694601e-02,45113.4084717854857445+16.2520096031307055j,
3.754694e-02,45113.2879454577341676-0.0851568071309217j,
3.815765e-02,45113.1482313079759479-18.5666235146709084j,
3.877828e-02,45113.1444613132625818-18.7344425597002200j,
3.940902e-02,45113.1566616361960769-16.8734405632338067j,
4.005001e-02,45113.4328716723248363+18.0241165324977146j,
4.070142e-02,45113.1322272298857570-19.4510956394645227j,
4.136344e-02,45113.2878368627279997-0.1352242016499616j,
4.203622e-02,45113.1268100123852491-19.4613328808273423j,
4.271994e-02,45113.4490145202726126+18.8716432160194216j,
4.341478e-02,45112.9780311025679111-36.0144632823992907j,
4.412093e-02,45113.1183985453099012-19.4304897494764219j,
4.483856e-02,45113.2879107883200049-0.0912991982330560j,
4.556786e-02,45113.4583598226308823+18.6187635391114590j,
4.630903e-02,45112.9589611385017633-35.9183648611186896j,
4.706225e-02,45113.1137024257332087-18.7704530735786328j,
4.782772e-02,45113.2862577792257071-0.3229698291915213j,
4.860564e-02,45113.2863794993609190-0.3972572157730525j,
4.939622e-02,45113.4660275075584650+17.9338292183231829j,
5.019965e-02,45113.1202172059565783-16.9057018404312416j,
5.101615e-02,45113.2841801801696420-0.5785285272037513j,
5.184594e-02,45113.2863181438297033-0.3057154048276445j,
5.268921e-02,45113.2857201863080263-0.4042490511560430j,
5.354621e-02,45113.2858382500708103-0.3639365210893359j,
5.441714e-02,45113.2839859342202544-0.5575252933719312j,
5.530224e-02,45113.4967353045940399+18.8038158779974580j,
5.620174e-02,45113.2870916659012437-0.2197295600670515j,
5.711586e-02,45113.0674920771270990-19.5935323889593249j,
5.804486e-02,45113.4973146403208375+17.9168072838952526j,
5.898896e-02,45113.2874802015721798-0.2625384927072361j,
5.994843e-02,45113.0685679316520691-18.5137533636210279j,
6.092349e-02,45113.5075249243527651+17.8957773751086933j,
6.191442e-02,45113.0482962746173143-19.6291036905844507j,
6.292146e-02,45113.2852122057229280-0.4086956851840853j,
6.394488e-02,45113.2873844383284450-0.2983387755753668j,
6.498495e-02,45113.2846509143710136-0.5157755696785458j,
6.604194e-02,45113.2849224200472236-0.3848428983279959j,
6.711612e-02,45113.2837111018598080-0.4619185452652417j,
6.820777e-02,45113.2822797317057848-0.7264723501393462j,
6.931717e-02,45113.0609951931983232-16.6916912253678298j,
7.044462e-02,45113.0483709536492825-17.2860427780775581j,
7.159041e-02,45113.2818280411884189-0.6817477981414299j,
7.275484e-02,45113.5507808569818735+17.8567546721520785j,
7.393820e-02,45113.0089448625221848-19.1555976326367983j,
7.514081e-02,45113.2869667373597622-0.3789653273214597j,
7.636298e-02,45113.5606412738561630+17.6431983146788696j,
7.760503e-02,45113.4066722076386213+7.3754633764371107j,
7.886729e-02,45113.1665816754102707-7.8995996298361533j,
8.015007e-02,45113.8295086650177836+33.6059802062533350j,
8.145372e-02,45113.5965476715937257+18.6397972912181444j,
8.277857e-02,45112.9612357383593917-19.9910182327786430j,
8.412497e-02,45113.2834466705098748-0.6307244490272339j,
8.549327e-02,45113.2857320634648204-0.4765614166255716j,
8.688383e-02,45113.6172532672062516+18.6475354866226581j,
8.829700e-02,45113.2785721458494663-0.8487111448108209j,
8.973316e-02,45113.2849607719108462-0.4151223223969680j,
9.119268e-02,45113.2810911806300282-0.6599761392339047j,
9.267593e-02,45113.6389597160741687+18.6050766962915048j,
9.418332e-02,45113.2837716061621904-0.4937815120272049j,
9.571522e-02,45113.2808320727199316-0.6917290449491702j,
9.727203e-02,45113.4240022944286466+6.6267301841276591j,
9.885417e-02,45112.9167996738106012-19.0746931260144379j,
1.004620e-01,45112.9053243119269609-19.3429138271350212j,
1.020961e-01,45112.8992365309968591-19.3546613072011695j,
1.037567e-01,45113.2838078830391169-0.5846386590013708j,
1.054443e-01,45113.2797422762960196-0.7157875722420215j,
1.071593e-01,45113.2794685289263725-0.7974142160546194j,
1.089023e-01,45113.2795582516118884-0.7867970867307292j,
1.106736e-01,45113.2823697868734598-0.6110718143676195j,
1.124737e-01,45113.7162519339472055+18.5341457236748681j,
1.143031e-01,45113.2779156900942326-0.8488930465944549j,
1.161623e-01,45112.2451716233044863-44.9904019338367931j,
1.180517e-01,45112.8132413057610393-20.4344354895733034j,
1.199718e-01,45112.1847924292087555-46.0879908632572253j,
1.219231e-01,45113.7311123088002205+17.6168078131387205j,
1.239062e-01,45112.7876580012962222-20.5004150929403437j,
1.259216e-01,45113.7417857814580202+17.4223805123284023j,
1.279697e-01,45113.2754268813878298-0.9709206805856638j,
1.300511e-01,45112.7649852065369487-20.3340005013026541j,
1.321664e-01,45113.2797849569469690-0.7884280822102738j,
1.343161e-01,45113.2749308934435248-0.9698673073065436j,
1.365008e-01,45112.7568306960165501-19.7196110578178576j,
1.387210e-01,45113.2689649220556021-1.1452038759118182j,
1.409773e-01,45112.7889816258102655-17.9366007888892085j,
1.432703e-01,45113.8124172529205680+17.5323257637491139j,
1.456006e-01,45113.2743321117013693-1.0513481742395783j,
1.479688e-01,45113.2666187491267920-1.2819727761540491j,
1.503755e-01,45113.8461256911978126+17.6944516977933120j,
1.528214e-01,45113.2760792374610901-0.9363252912544766j,
1.553071e-01,45113.8587884102016687+17.5378527665891113j,
1.578331e-01,45113.8630456924438477+17.3521645126361364j,
1.604003e-01,45112.2076855441555381-33.6057377807081821j,
1.630092e-01,45113.2761475183069706-1.0097632341061029j,
1.656606e-01,45113.2595784217119217-1.3645358972306667j,
1.683551e-01,45112.6822538143023849-18.1827163633696927j,
1.710934e-01,45113.2727772900834680-1.0216553002269109j,
1.738762e-01,45113.9682146823033690+18.4680879150794084j,
1.767044e-01,45113.2727595157921314-1.0848056025278368j,
1.795785e-01,45111.6089140716940165-46.2933753318374954j,
1.824993e-01,45112.5540145123377442-20.3080967524380043j,
1.854677e-01,45114.2215840779244900+23.8950347458102499j,
1.884843e-01,45113.2626245543360710-1.3604538231904257j,
1.915501e-01,45113.2602743990719318-1.3592441551256798j,
1.946656e-01,45112.4928324576467276-20.5116468286940119j,
1.978319e-01,45114.2976145353168249+23.8997062791347332j,
2.010496e-01,45114.0469691753387451+17.5781242921716228j,
2.043197e-01,45112.5346728209406137-18.5076791249525456j,
2.076430e-01,45113.2625250108540058-1.3283645677101958j,
2.110203e-01,45113.2533715823665261-1.4765192188911556j,
2.144526e-01,45113.2536624427884817-1.5481724765876663j,
2.179407e-01,45112.3452165368944407-21.5551297835291962j,
2.214855e-01,45113.2490363055840135-1.6210540616987146j,
2.250880e-01,45112.9847647054120898-7.2675898959883796j,
2.287491e-01,45112.2769808406010270-21.8522464258846583j,
2.324697e-01,45113.2553984485566616-1.5273617539548354j,
2.362508e-01,45113.2472562594339252-1.7034666100012998j,
2.400935e-01,45114.2303218971937895+17.7708959118823770j,
2.439986e-01,45113.2420480418950319-1.7364498015579670j,
2.479673e-01,45113.2313641989603639-1.9611840213855771j,
2.520005e-01,45113.2387977456673980-1.8169615474710952j,
2.560993e-01,45112.1852445527911186-21.1636620530248933j,
2.602648e-01,45111.2441933462396264-37.8363844332720305j,
2.644980e-01,45113.2265230780467391-2.1039631174286910j,
2.688001e-01,45114.3500094190239906+17.5171913838978810j,
2.731722e-01,45112.0668167099356651-21.7734475841845949j,
2.776153e-01,45113.2304093055427074-2.0003026693332515j,
2.821308e-01,45116.0871998909860849+45.1291689608493982j,
2.867196e-01,45118.7819700464606285+87.7501084117945709j,
2.913832e-01,45111.9560494814068079-22.1135149107365976j,
2.961225e-01,45112.0570629779249430-20.1586730004130743j,
3.009390e-01,45113.0821477789431810-4.2235351684975626j,
