Frequency,Sum,Quantum Vacuum,HDa_DC Quantum,HDb_DC Quantum,INTERa_I Quantum,INTERa_Q Quantum,INTERb_I Quantum,INTERb_Q Quantum,REFL_I Quantum,REFL_Q Quantum,Op-amp,ADC,mdlSagnacSpeedmeter/Sensing/HDa_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/HDb_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_Q ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_Q ADC Noise{1},Current,mdlSagnacSpeedmeter/Sensing/HDb_DC Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Current Noise{1},Voltage,mdlSagnacSpeedmeter/Sensing/HDb_DC Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Voltage Noise{1},
9.99999999999999912396e-06,1.98364629712499610920e-14,4.55413210769762770078e-17,0.00000000000000000000e+00,4.55389115796741380987e-17,3.31253358371472912788e-19,0.00000000000000000000e+00,3.31253358371252345661e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.98364028561443047858e-14,1.76331107697013137887e-17,0.00000000000000000000e+00,1.76313477230769281469e-17,1.76313477230768617023e-19,0.00000000000000000000e+00,1.76313477230769700359e-19,0.00000000000000000000e+00,1.90255259237282684442e-16,1.87904388993378114215e-16,2.10832192094908329813e-17,2.10832192094906604179e-17,1.98354904453502864963e-14,1.95903951746693922081e-14,2.19807849130471390262e-15,2.19807849130469220895e-15,
1.01392540755881432717e-05,1.95640402138591365879e-14,4.55413209863936780513e-17,0.00000000000000000000e+00,4.55389114890963339374e-17,3.31253357712284967019e-19,0.00000000000000000000e+00,3.31253357712063725816e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.95639792616682678352e-14,1.76331107346117237741e-17,0.00000000000000000000e+00,1.76313476879908479471e-17,1.76313476879907755321e-19,0.00000000000000000000e+00,1.76313476879908886805e-19,0.00000000000000000000e+00,1.88944244434625232636e-16,1.86609573615121565201e-16,2.09379385345589614567e-17,2.09379385345587888934e-17,1.95630668511734423990e-14,1.93213377556188263926e-14,2.16788975236055015420e-15,2.16788975236051820534e-15,
1.02804473209330986846e-05,1.92953590216692357964e-14,4.55413210030282955150e-17,0.00000000000000000000e+00,4.55389115057300700956e-17,3.31253357833446712416e-19,0.00000000000000000000e+00,3.31253357833228023071e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.92952972207374728207e-14,1.76331107410613211127e-17,0.00000000000000000000e+00,1.76313476944398012547e-17,1.76313476944397399138e-19,0.00000000000000000000e+00,1.76313476944398506548e-19,0.00000000000000000000e+00,1.87642264042213445592e-16,1.85323681014316341150e-16,2.07936590117236661014e-17,2.07936590117235798197e-17,1.92943848105438281672e-14,1.90559756579801169823e-14,2.13811563529825935335e-15,2.13811563529824397056e-15,
1.04236067397640114559e-05,1.90303679799539230334e-14,4.55413210633493889604e-17,0.00000000000000000000e+00,4.55389115660479649566e-17,3.31253358272628699141e-19,0.00000000000000000000e+00,3.31253358272408324607e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.90303053184633942562e-14,1.76331107644396084694e-17,0.00000000000000000000e+00,1.76313477178157497620e-17,1.76313477178156857249e-19,0.00000000000000000000e+00,1.76313477178157916510e-19,0.00000000000000000000e+00,1.86349255539370698589e-16,1.84046649442816463661e-16,2.06503737127287543079e-17,2.06503737127285016259e-17,1.90293929085742530675e-14,1.87942581021690312155e-14,2.10875044255478019621e-15,2.10875044255475376937e-15,
1.05687597118480515045e-05,1.87690163572326969514e-14,4.55413210456402874770e-17,0.00000000000000000000e+00,4.55389115483398002454e-17,3.31253358143636218887e-19,0.00000000000000000000e+00,3.31253358143416662873e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.87689528232011668913e-14,1.76331107575731104683e-17,0.00000000000000000000e+00,1.76313477109499389328e-17,1.76313477109498730660e-19,0.00000000000000000000e+00,1.76313477109499862144e-19,0.00000000000000000000e+00,1.85065156604872704135e-16,1.82778417349463594268e-16,2.05080757314207604751e-17,2.05080757314205077931e-17,1.87680404136223509610e-14,1.85361349834037052534e-14,2.07978855228111800166e-15,2.07978855228109236368e-15,
1.07159339982267109629e-05,1.85112541927474081065e-14,4.55413210048642706643e-17,0.00000000000000000000e+00,4.55389115075659528003e-17,3.31253357846629702885e-19,0.00000000000000000000e+00,3.31253357846410917243e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.85111897740257404027e-14,1.76331107417630683547e-17,0.00000000000000000000e+00,1.76313476951414776224e-17,1.76313476951414115630e-19,0.00000000000000000000e+00,1.76313476951415271188e-19,0.00000000000000000000e+00,1.83789906070912370085e-16,1.81518924322264585006e-16,2.03667582894624795282e-17,2.03667582894623162093e-17,1.85102773647620302278e-14,1.82815569580952883997e-14,2.05122442803553224876e-15,2.05122442803551213280e-15,
1.08651577465253726087e-05,1.82570322267958603591e-14,4.55413210353562468193e-17,0.00000000000000000000e+00,4.55389115380563080926e-17,3.31253358068850240623e-19,0.00000000000000000000e+00,3.31253358068631551278e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.82569669110656543441e-14,1.76331107535921300731e-17,0.00000000000000000000e+00,1.76313477069693591310e-17,1.76313477069692936494e-19,0.00000000000000000000e+00,1.76313477069694116126e-19,0.00000000000000000000e+00,1.82523443344723870494e-16,1.80268110517162136024e-16,2.02264146722404188484e-17,2.02264146722403356482e-17,1.82560545021199971091e-14,1.80304753750452178198e-14,2.02305261106377531268e-15,2.02305261106376505749e-15,
1.10164594963365701627e-05,1.80063017872396104415e-14,4.55413210106879007116e-17,0.00000000000000000000e+00,4.55389115133892623728e-17,3.31253357889394640263e-19,0.00000000000000000000e+00,3.31253357889175036101e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.80062355620111343256e-14,1.76331107440393665560e-17,0.00000000000000000000e+00,1.76313476974175477937e-17,1.76313476974174779787e-19,0.00000000000000000000e+00,1.76313476974175935345e-19,0.00000000000000000000e+00,1.81265707363242352504e-16,1.79025915625611138372e-16,2.00870381130243584085e-17,2.00870381130241920081e-17,1.80053231533890709892e-14,1.77828421633608508339e-14,1.99526770772297882811e-15,1.99526770772294885140e-15,
1.11698681846782262494e-05,1.77590149855442900738e-14,4.55413210940975168795e-17,0.00000000000000000000e+00,4.55389115967944720130e-17,3.31253358496048224566e-19,0.00000000000000000000e+00,3.31253358495828475960e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.77589478381537009991e-14,1.76331107763324046023e-17,0.00000000000000000000e+00,1.76313477297073595221e-17,1.76313477297072896108e-19,0.00000000000000000000e+00,1.76313477297074027592e-19,0.00000000000000000000e+00,1.80016638640582407174e-16,1.77792280896757512788e-16,1.99486220198602053413e-17,1.99486220198601252226e-17,1.77580354298575665898e-14,1.75386100260626213017e-14,1.96786441120474717813e-15,1.96786441120473771180e-15,
1.13254131515281267109e-05,1.75151244414615049538e-14,4.55413210671992951859e-17,0.00000000000000000000e+00,4.55389115698976678038e-17,3.31253358300420831204e-19,0.00000000000000000000e+00,3.31253358300203730751e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.75150563590689715052e-14,1.76331107659188336002e-17,0.00000000000000000000e+00,1.76313477192948269815e-17,1.76313477192947589961e-19,0.00000000000000000000e+00,1.76313477192948769593e-19,0.00000000000000000000e+00,1.78776176589094563175e-16,1.76567146491597106555e-16,1.98111596787014762111e-17,1.98111596787013960924e-17,1.75141439511055344496e-14,1.72977321681820281866e-14,1.94083747102729476528e-15,1.94083747102729042655e-15,
