Frequency,Sum,Quantum Vacuum,HDa_DC Quantum,HDb_DC Quantum,INTERa_I Quantum,INTERa_Q Quantum,INTERb_I Quantum,INTERb_Q Quantum,REFL_I Quantum,REFL_Q Quantum,Op-amp,ADC,mdlSagnacSpeedmeter/Sensing/HDa_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/HDb_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_Q ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_Q ADC Noise{1},Current,mdlSagnacSpeedmeter/Sensing/HDb_DC Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Current Noise{1},Voltage,mdlSagnacSpeedmeter/Sensing/HDb_DC Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Voltage Noise{1},
9.99999999999999912396e-06,1.46502819473360811707e-09,3.40536844069271477717e-12,0.00000000000000000000e+00,3.40536844069271477717e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.46502364366358443782e-09,1.31846003824660586961e-12,0.00000000000000000000e+00,1.31846003824660586961e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.40513607802461446986e-11,1.40513607802461446986e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.46495625728331838581e-09,1.46495625728331838581e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.01392540755881432717e-05,1.42506375654915389760e-09,3.35859862761737218548e-12,0.00000000000000000000e+00,3.35859862761737218548e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.42505920548221642922e-09,1.30035212111097684935e-12,0.00000000000000000000e+00,1.30035212111097684935e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.37628818377467400081e-11,1.37628818377467400081e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.42499274461771412081e-09,1.42499274461771412081e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.02804473209330986846e-05,1.38618949457962585292e-09,3.31247109143297738456e-12,0.00000000000000000000e+00,3.31247109143297738456e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.38618494351591211419e-09,1.28249287498861189252e-12,0.00000000000000000000e+00,1.28249287498861189252e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.34803251904836443305e-11,1.34803251904836443305e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.38611939545732175311e-09,1.38611939545732175311e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.04236067397640114559e-05,1.34837568439225402622e-09,3.26697704561145363571e-12,0.00000000000000000000e+00,3.26697704561145363571e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.34837113333185686815e-09,1.26487889798937993020e-12,0.00000000000000000000e+00,1.26487889798937993020e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.32035693953584546241e-11,1.32035693953584546241e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.34830648554320085006e-09,1.34830648554320085006e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.05687597118480515045e-05,1.31159345956174660407e-09,3.22210794158880456881e-12,0.00000000000000000000e+00,3.22210794158880456881e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.31158890850454629228e-09,1.24750688035355333034e-12,0.00000000000000000000e+00,1.24750688035355333034e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.29324959703441571493e-11,1.29324959703441571493e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.31152514861901289272e-09,1.31152514861901289272e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.07159339982267109629e-05,1.27581462424839804039e-09,3.17785506343211979139e-12,0.00000000000000000000e+00,3.17785506343211979139e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.27581007319446116291e-09,1.23037344752584271759e-12,0.00000000000000000000e+00,1.23037344752584271759e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.26669877181946302351e-11,1.26669877181946302351e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.27574718901771594811e-09,1.27574718901771594811e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.08651577465253726087e-05,1.24101179089487722916e-09,3.13420990806394768757e-12,0.00000000000000000000e+00,3.13420990806394768757e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.24100723984432951743e-09,1.21347530736486590301e-12,0.00000000000000000000e+00,1.21347530736486590301e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.24069302275422055729e-11,1.24069302275422055729e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.24094521935030230666e-09,1.24094521935030230666e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.10164594963365701627e-05,1.20715836539558863548e-09,3.09116420619775285342e-12,0.00000000000000000000e+00,3.09116420619775285342e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.20715381434844456519e-09,1.19680925823755163709e-12,0.00000000000000000000e+00,1.19680925823755163709e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.21522118990697775045e-11,1.21522118990697775045e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.20709264567470507750e-09,1.20709264567470507750e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.11698681846782262494e-05,1.17422840412785820819e-09,3.04870961065108615751e-12,0.00000000000000000000e+00,3.04870961065108615751e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.17422385308430306778e-09,1.18037206835822489675e-12,0.00000000000000000000e+00,1.18037206835822489675e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.19027226708620026564e-11,1.19027226708620026564e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.17416352453360071876e-09,1.17416352453360071876e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
1.13254131515281267109e-05,1.14219676579047448112e-09,3.00683813311053202553e-12,0.00000000000000000000e+00,3.00683813311053202553e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.14219221475050082597e-09,1.16416064488355987744e-12,0.00000000000000000000e+00,1.16416064488355987744e-12,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.16583556967667747003e-11,1.16583556967667747003e-11,0.00000000000000000000e+00,0.00000000000000000000e+00,1.14213271478366379576e-09,1.14213271478366379576e-09,0.00000000000000000000e+00,0.00000000000000000000e+00,
