Frequency,Sum,Coating Thermal,Electronic,Quantum Vacuum,HDa_DC Quantum,HDb_DC Quantum,INTERa_I Quantum,INTERa_Q Quantum,INTERb_I Quantum,INTERb_Q Quantum,REFL_I Quantum,REFL_Q Quantum,Seismic,mdlSagnacSpeedmeter/Actuation/M2a Seismic Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Seismic Noise{1},Suspension Thermal,mdlSagnacSpeedmeter/Actuation/M1a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Suspension Thermal Noise{1},Brownian,mdlSagnacSpeedmeter/Actuation/M1a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Coating Brownian Noise{1},Thermooptic,mdlSagnacSpeedmeter/Actuation/M1a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Coating Thermooptic Noise{1},ADC,mdlSagnacSpeedmeter/Sensing/HDa_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/HDb_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_Q ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_Q ADC Noise{1},DAC,mdlSagnacSpeedmeter/Control/M2a Coil DAC Noise{1},mdlSagnacSpeedmeter/Control/M2a ESD DAC Noise{1},mdlSagnacSpeedmeter/Control/M2b Coil DAC Noise{1},mdlSagnacSpeedmeter/Control/M2b ESD DAC Noise{1},Op-amp,Current,mdlSagnacSpeedmeter/Sensing/HDb_DC Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Current Noise{1},Voltage,mdlSagnacSpeedmeter/Sensing/HDb_DC Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Voltage Noise{1},
1.00000000000000000000e+00,2.45669153730632459826e-15,4.65643822175632350823e-25,7.85882669841530126817e-18,5.06805378598577131130e-19,0.00000000000000000000e+00,1.53593102566206363888e-19,3.54717310669984256885e-19,0.00000000000000000000e+00,3.27775045010427560570e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,2.45667891406266532890e-15,1.82687173989853722800e-15,1.64250142549716134927e-15,6.82907644561716043346e-20,2.67879605754013453062e-20,2.40839738940581210133e-20,3.05072308620027629331e-20,2.74284007495217439227e-20,3.05070823297549423366e-20,2.74281881441526363283e-20,4.65643822175625922339e-25,2.07347575765381974118e-25,1.86417834522099661676e-25,1.96100014567096042304e-25,1.76309341574250479237e-25,1.96099059804073026781e-25,1.76307974950181340952e-25,7.73429978216467288967e-32,2.80741219231109976031e-32,2.52403096380426838238e-32,3.54953679149656506161e-32,3.19131284096979308961e-32,3.54951950966981560489e-32,3.19128810419236653479e-32,1.29422809154156902449e-24,0.00000000000000000000e+00,1.29412846668570042318e-24,1.15191468226588998367e-26,0.00000000000000000000e+00,1.11881144759918686709e-26,0.00000000000000000000e+00,7.85882669841519495684e-18,5.84409636028323552427e-18,6.56212599627441784021e-22,5.25430243027068193327e-18,5.89986748403629985520e-22,4.66614855399292846516e-26,4.40702067120725145046e-26,4.36616808741192181990e-26,4.36771496448404008011e-27,4.09436306162456608548e-27,1.53333333997610640052e-26,1.51933205912774886859e-26,1.51554325200587181197e-27,1.40614764878767552641e-27,
1.01159111222382969153e+00,2.31008888480838670878e-15,4.82253278744354714734e-25,7.85883570351231823535e-18,5.18838585164527353360e-19,0.00000000000000000000e+00,1.57977171883920613809e-19,3.62339616790438046258e-19,0.00000000000000000000e+00,3.36075427133917749565e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,2.31007545749029059027e-15,1.71512163707762439845e-15,1.54751620002090584256e-15,7.69687447294935392512e-20,2.81602305378378763880e-20,2.54088529970031423920e-20,3.51609432229066117119e-20,3.17249392843476484174e-20,3.51607684052075135351e-20,3.17259504964280186353e-20,4.82253278744348010743e-25,2.14399431709806264744e-25,1.93451670633011401971e-25,2.02769671729317060815e-25,1.82954577854692405474e-25,2.02768663572987598902e-25,1.82960409414451334819e-25,8.03120829671378010089e-32,2.91126742025205922843e-32,2.62682387549191825776e-32,3.67960222753859733452e-32,3.32002348512544686275e-32,3.67958393281905775851e-32,3.32012930874342655486e-32,1.33197319962086783735e-24,0.00000000000000000000e+00,1.33186948925397950693e-24,1.19128752948691608420e-26,0.00000000000000000000e+00,1.15910096542495382330e-26,0.00000000000000000000e+00,7.85883570351220576104e-18,5.83481330805526925355e-18,6.39252368366725656630e-22,5.26462263924175545641e-18,5.76783232955745346176e-22,4.77294685258632193385e-26,4.51036845721847640473e-26,4.46803767788356729741e-26,4.49122394387655335075e-27,4.22317420601728961271e-27,1.56128089648925667376e-26,1.54684398469596529693e-26,1.55049774395192414934e-27,1.44330496473217383403e-27,
1.02331657833024491921e+00,2.76414096008873719858e-15,4.90495304676264179453e-25,7.73133400755803337918e-18,5.05906049530108350995e-19,0.00000000000000000000e+00,1.55155192886641496247e-19,3.52784963840558276957e-19,0.00000000000000000000e+00,3.27735512814045655033e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,2.76413010009984670981e-15,2.05052016849322085217e-15,1.85358632086032665734e-15,8.65784613518937565209e-20,2.91139135565945247242e-20,2.63172895418195414300e-20,4.04813669808864750098e-20,3.65934994728938592800e-20,4.04811409940996539728e-20,3.65931991790069401330e-20,4.90495304676257291791e-25,2.17883397502579295249e-25,1.96953956302859293580e-25,2.06065555470815961367e-25,1.86274831061491929251e-25,2.06064405112114451683e-25,1.86273302451387353279e-25,8.18995271560380027577e-32,2.96711145563539848481e-32,2.68209669335640653632e-32,3.74894171607870750950e-32,3.38888992498720768409e-32,3.74892078765272841857e-32,3.38886211504985323307e-32,1.32676724697019914838e-24,0.00000000000000000000e+00,1.32666328445457173876e-24,1.18996492205798402283e-26,0.00000000000000000000e+00,1.15868745361540186247e-26,0.00000000000000000000e+00,7.73133400755791936412e-18,5.73535094746189796030e-18,6.12242705036078184426e-22,5.18452257828336017771e-18,5.53442355760120038870e-22,4.72486070928260773033e-26,4.46723686044926649644e-26,4.42503649141210573619e-26,4.46063227594876021634e-27,4.19862851435438236280e-27,1.53886437179042029933e-26,1.52454126473043934219e-26,1.53214332444014489457e-27,1.42838563538605592416e-27,
1.03517795563017633853e+00,2.43889833299889077728e-15,4.90865850459144793479e-25,7.49640663301294215369e-18,4.71597832347818632697e-19,0.00000000000000000000e+00,1.46140861926857775662e-19,3.28841790043412195303e-19,0.00000000000000000000e+00,3.04812140623500642244e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,2.43888676461181877198e-15,1.80742973494725312586e-15,1.63748783318448130098e-15,9.79241562549314675055e-20,2.96321582374460964095e-20,2.68446204763299040253e-20,4.68421396962432626403e-20,4.24378509020184285353e-20,4.68418358386355860149e-20,4.24396878249003651064e-20,4.90865850459137905816e-25,2.17828001536670695318e-25,1.97336622716189636692e-25,2.06014493764234108627e-25,1.86644171822973882812e-25,2.06013157380549961084e-25,1.86652250718175086713e-25,8.21774140715828085475e-32,2.97491581140415929387e-32,2.69506140140876237523e-32,3.75757834457440622107e-32,3.40427552143803619673e-32,3.75755396975348966106e-32,3.40442287554454305116e-32,1.28267918673774121063e-24,0.00000000000000000000e+00,1.28257864576680412730e-24,1.15168193897901888899e-26,0.00000000000000000000e+00,1.11926933455196005103e-26,0.00000000000000000000e+00,7.49640663301283276087e-18,5.55549703955884386243e-18,5.76966192499270471187e-22,5.03314657493780417308e-18,5.22717482414361691960e-22,4.53938221694395636525e-26,4.29405389126709266275e-26,4.25348770540225923939e-26,4.29248976887287323168e-27,4.03096113773255151192e-27,1.47210464655233342162e-26,1.45840779619663164736e-26,1.46694244559554786906e-27,1.36453614854851674819e-27,
1.04717681948552021609e+00,2.10695594402224256898e-15,4.84711179232379544241e-25,7.18439275309090970727e-18,4.24659308679509772167e-19,0.00000000000000000000e+00,1.33013146036043008838e-19,2.95902469805257941937e-19,0.00000000000000000000e+00,2.74015984557291548988e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,2.10694364934777454602e-15,1.56029176243594729092e-15,1.41587469699880019408e-15,1.12645380568005894867e-19,2.97890925531618677770e-20,2.70323058839729492986e-20,5.50978014246439559074e-20,4.99980735162385731144e-20,5.50954979195169637978e-20,4.99975719270562610952e-20,4.84711179232372748414e-25,2.14934711294501118772e-25,1.95043902409161065908e-25,2.03286692719626021193e-25,1.84470936129273007281e-25,2.03278193797222217390e-25,1.84469085485448044549e-25,8.13607162914569116914e-32,2.94387104831732383431e-32,2.67143493945200088937e-32,3.71730128984455113227e-32,3.37323628830907308002e-32,3.71714587851490992303e-32,3.37320244742856286411e-32,1.21090674446752635531e-24,0.00000000000000000000e+00,1.21081186744457000235e-24,1.08732585324005270669e-26,0.00000000000000000000e+00,1.05611410947657462282e-26,0.00000000000000000000e+00,7.18439275309080801817e-18,5.32038377131841481563e-18,5.36683100960672695083e-22,4.82794109650779826670e-18,4.87008927916106737756e-22,4.25784876555334456012e-26,4.02974069659503552936e-26,3.99168972345163427569e-26,4.02950230707025491871e-27,3.77960771850749328841e-27,1.37494219097746087145e-26,1.36216382174030248985e-26,1.37012560507655245787e-27,1.27292221030547348877e-27,
1.05931476351836995065e+00,1.72436806401980069176e-15,4.73995117231327827748e-25,6.83010321139188996979e-18,3.72566366301708180153e-19,0.00000000000000000000e+00,1.18022741690151174317e-19,2.59337792970804941445e-19,0.00000000000000000000e+00,2.40042160630649138529e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.72435449171228282966e-15,1.27601062174576189172e-15,1.15982554993426458276e-15,1.34192004914726513359e-19,2.96810676073499000525e-20,2.69780319894920197432e-20,6.70069360758753326433e-20,6.09057284588852245636e-20,6.70063503231156698938e-20,6.09050570452720911773e-20,4.73995117231321123757e-25,2.10028984662107777890e-25,1.90901780956550381966e-25,1.98641744043111090199e-25,1.80554743013312165060e-25,1.98640007581834520144e-25,1.80552752610841911616e-25,7.97717835693712794840e-32,2.88497934539965425687e-32,2.62224614352963430780e-32,3.64166018328747613866e-32,3.31007473631816575945e-32,3.64162834908303352949e-32,3.31003824665956243798e-32,1.12370011915743240827e-24,0.00000000000000000000e+00,1.12361224834738978945e-24,1.00799425470222798794e-26,0.00000000000000000000e+00,9.79121628808673938976e-27,0.00000000000000000000e+00,6.83010321139179752515e-18,5.05423000179379230595e-18,4.94299809007226490845e-22,4.59402530696516049231e-18,4.49292141778044699809e-22,3.92587955535060465010e-26,3.71742476241017482765e-26,3.68239552151027022913e-26,3.71419372623115671978e-27,3.48220816410655712495e-27,1.26225331013212911842e-26,1.25055262686415886632e-26,1.25655951063636131165e-27,1.16671026158861691577e-27,
1.07159339982267121094e+00,1.94647710329643175784e-15,4.60555355142518012218e-25,6.46304316593799228235e-18,3.21135876083341017433e-19,0.00000000000000000000e+00,1.02963141647990274081e-19,2.23411127551358516040e-19,0.00000000000000000000e+00,2.06432338687574545617e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.94646633941451307823e-15,1.43885378178009856387e-15,1.31088939469767753671e-15,1.70670202251968749139e-19,2.94000130328095648534e-20,2.67848693339610853638e-20,8.67542099665309167341e-20,7.90387285721308144504e-20,8.67533578945612564840e-20,7.90377712107536997953e-20,4.60555355142511491898e-25,2.03857619452674857719e-25,1.85724397253794522856e-25,1.92806631499964183909e-25,1.75659383215081727792e-25,1.92804737815192839204e-25,1.75657255530185257589e-25,7.77146060968522678812e-32,2.80828819938271724267e-32,2.55848976626738179298e-32,3.54374512531682726857e-32,3.22858232697624757183e-32,3.54371031979107657607e-32,3.22854322057766892995e-32,1.03130112690523390160e-24,0.00000000000000000000e+00,1.03122074257520489275e-24,9.24003983828380751643e-27,0.00000000000000000000e+00,8.96750257516532643771e-27,0.00000000000000000000e+00,6.46304316593790985255e-18,4.77756736639831485060e-18,4.52099935985192637405e-22,4.35267465476720964027e-18,4.11892449891119142169e-22,3.58013918508295046879e-26,3.39163479616860441425e-26,3.35980287950761066945e-26,3.38528785852540674912e-27,3.16716691355577309451e-27,1.14638998337597158468e-26,1.13581551579337753406e-26,1.13953588838681245790e-27,1.05582610587961206097e-27,
1.08401435917833111056e+00,1.85947051626725468120e-15,4.45957944844103989673e-25,6.10544222701716274108e-18,2.74396464826773188213e-19,0.00000000000000000000e+00,8.90900348106306213928e-20,1.90920240826361103324e-19,0.00000000000000000000e+00,1.75800589446325429580e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.85946045615258096591e-15,1.37463404145145661229e-15,1.25218786133630880926e-15,2.47293021318187526068e-19,2.90812921356253561288e-20,2.64899420296890090918e-20,1.27626495496930801462e-19,1.16258104982923908434e-19,1.27617943937234919685e-19,1.16256573447903539055e-19,4.45957944844097561188e-25,1.97413899623194847841e-25,1.79822916137451167847e-25,1.86710442142039465251e-25,1.70079121106003959933e-25,1.86697931687328568211e-25,1.70076880555719366385e-25,7.54501242270171564060e-32,2.72736777794685346853e-32,2.48433989777738817409e-32,3.44050540208284058347e-32,3.13404075440810523608e-32,3.44027487246424247781e-32,3.13399946788299576186e-32,9.42556114155266741039e-25,0.00000000000000000000e+00,9.42482959018095480391e-25,8.43516408404498495873e-27,0.00000000000000000000e+00,8.16996320961398199710e-27,0.00000000000000000000e+00,6.10544222701709032612e-18,4.51353974811131768311e-18,4.12358369143433136717e-22,4.11149406159455518969e-18,3.75627352007406988605e-22,3.25094868748015850024e-26,3.08123501316117128785e-26,3.05245321383979527796e-26,3.07277652550777158414e-27,2.86564177615264496679e-27,1.03665720578146786361e-26,1.02715278408648396786e-26,1.02915736905434586203e-27,9.49930078439307636877e-28,
1.09657929126780984141e+00,2.04055394496117667946e-15,4.31214241910463944322e-25,5.76992037430095395547e-18,2.33750112966506446503e-19,0.00000000000000000000e+00,7.68290759850472083676e-20,1.62512392489342431876e-19,0.00000000000000000000e+00,1.49419311611746770800e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,2.04054571136663759996e-15,1.50746861900870404614e-15,1.37526912380114433818e-15,5.05469685108809575506e-19,2.87308250596630680872e-20,2.62091244171626329839e-20,2.63270396453010009738e-19,2.40182543110541175081e-19,2.63267263164772790033e-19,2.40163728599541255770e-19,4.31214241910457699508e-25,1.90754529618424294963e-25,1.74012030267997054124e-25,1.80416690603638647109e-25,1.64594805008788437684e-25,1.80414543391107012648e-25,1.64581911603925341304e-25,7.31490767078797689047e-32,2.64296911736639553715e-32,2.41099607421391342805e-32,3.33307410981128586343e-32,3.04077566963843507300e-32,3.33303444153850289312e-32,3.04053747286299979514e-32,8.60556196422382195212e-25,0.00000000000000000000e+00,8.60489635773818270690e-25,7.68860191510000148910e-27,0.00000000000000000000e+00,7.44575902044180093131e-27,0.00000000000000000000e+00,5.76992037430088924423e-18,4.26257242673512996155e-18,3.75048568270114037626e-22,3.88876036480473503701e-18,3.42158176721491581696e-22,2.94897724980465361879e-26,2.79632680587449514903e-26,2.77031374442923730220e-26,2.78484161298856388981e-27,2.59329779594223083489e-27,9.36495175968975545249e-27,9.27949536345534658390e-27,9.28056315708034925831e-28,8.55569246643062746254e-28,
1.10928986489522274361e+00,1.98388043768113718012e-15,4.17053366733795355584e-25,5.46405538042885224779e-18,1.99360785123497068178e-19,0.00000000000000000000e+00,6.63182521084225157753e-20,1.38545561643623551237e-19,0.00000000000000000000e+00,1.27089493787621142486e-19,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.98387071069764442588e-15,1.46466579701576617544e-15,1.33809457805348964084e-15,2.94933958712737369896e-18,2.84215702319122118641e-20,2.59650621406563187716e-20,1.53957536084556311029e-18,1.40653072338606578737e-18,1.53955559668657568331e-18,1.40650973236932088665e-18,4.17053366733789294441e-25,1.84368295948808931977e-25,1.68433138001033629099e-25,1.74377727328777264590e-25,1.59308623143629535223e-25,1.74375488770526471370e-25,1.59306245627148424382e-25,7.09341522735545085211e-32,2.56185604292210967902e-32,2.34043196090552817785e-32,3.22979809042561119394e-32,2.95069040467254210429e-32,3.22975662818571095904e-32,2.95064636866915866891e-32,7.87211341800565258975e-25,0.00000000000000000000e+00,7.87150655350851504151e-25,7.02625176206458193787e-27,0.00000000000000000000e+00,6.79516198096337900692e-27,0.00000000000000000000e+00,5.46405538042879524026e-18,4.03404059429849718264e-18,3.40889850724744004699e-22,3.68543314560843865577e-18,3.11431358708538058762e-22,2.68060384700560085586e-26,2.54300460896928714846e-26,2.51944479644430426836e-26,2.53042336934224142165e-27,2.35031773655439525367e-27,8.47799825042557010316e-27,8.40103587071650250035e-27,8.39063241660363533954e-28,7.71377669917943930291e-28,
