All measurements 3.8Vpp sine wave injections,,,,,,
TIME,700mHz 1,700mHz 2,900mHz 1,900mHz 2,1080mHz 1,1080mHz 2
-50,0.038,0.12,-0.063,-0.56,0.013,1.64
-49.99,0.001,0.16,-0.041,-0.72,-0.021,2
-49.98,-0.002,0.08,-0.04,-1.04,-0.031,2.2
-49.97,0.022,0.12,-0.069,-1.12,-0.004,2.36
-49.96,-0.021,0.08,-0.027,-1.36,-0.043,2.6
-49.95,0.029,0.12,-0.057,-1.52,0.012,2.8
-49.94,0.023,0.16,-0.072,-1.72,-0.025,2.92
-49.93,0.005,0.16,-0.076,-2,-0.032,3
-49.92,0.02,0.12,-0.067,-2.12,-0.017,3.32
-49.91,0.031,0.12,-0.086,-2.28,-0.027,3.48
-49.9,0.007,0.04,-0.045,-2.48,-0.084,3.6
-49.89,0.045,-0.04,-0.086,-2.48,-0.017,3.6
-49.88,0.004,-0.08,-0.078,-2.68,-0.061,3.8
-49.87,0.024,0.08,-0.081,-2.84,-0.055,3.8
-49.86,0.023,-0.04,-0.112,-2.92,-0.009,3.8
-49.85,0.013,-0.12,-0.109,-3,-0.071,3.92
-49.84,0.009,-0.16,-0.093,-3.28,-0.055,3.88
-49.83,0.034,-0.12,-0.133,-3.36,-0.048,4.08
-49.82,-0.006,-0.24,-0.113,-3.36,-0.133,3.88
-49.81,0.008,-0.28,-0.091,-3.48,-0.058,3.92
-49.8,0.028,-0.24,-0.124,-3.56,-0.095,3.88
-49.79,0.01,-0.36,-0.125,-3.64,-0.109,3.64
-49.78,0.01,-0.4,-0.127,-3.72,-0.035,3.64
-49.77,0.024,-0.48,-0.14,-3.68,-0.075,3.52
-49.76,-0.004,-0.48,-0.125,-3.72,-0.073,3.52
-49.75,0.049,-0.52,-0.11,-3.64,-0.047,3.36
-49.74,0.016,-0.6,-0.156,-3.68,-0.093,3.24
-49.73,0.013,-0.64,-0.088,-3.64,-0.087,3.04
-49.72,0.028,-0.8,-0.135,-3.68,-0.06,2.84
-49.71,0.001,-0.8,-0.115,-3.56,-0.115,2.68
-49.7,-0.003,-1,-0.119,-3.56,-0.048,2.48
-49.69,0.012,-0.92,-0.135,-3.44,-0.052,2.32
-49.68,-0.022,-1.04,-0.091,-3.28,-0.074,2.04
-49.67,0.006,-1.12,-0.1,-3.16,-0.044,1.84
-49.66,0.006,-1.12,-0.125,-3.12,-0.059,1.64
-49.65,-0.011,-1.28,-0.086,-3.04,-0.087,1.36
-49.64,0.007,-1.28,-0.075,-2.92,-0.051,0.96
-49.63,-0.003,-1.56,-0.096,-2.76,-0.075,0.8
-49.62,-0.028,-1.56,-0.083,-2.6,-0.055,0.6
-49.61,0.016,-1.64,-0.069,-2.48,-0.03,0.36
-49.6,0.016,-1.68,-0.106,-2.32,-0.03,0.08
-49.59,-0.018,-1.8,-0.037,-2.16,-0.055,-0.16
-49.58,0.025,-1.84,-0.071,-2,-0.011,-0.48
-49.57,-0.011,-1.92,-0.049,-1.88,-0.052,-0.68
-49.56,-0.016,-1.92,-0.031,-1.68,-0.061,-0.88
-49.55,0.014,-2.08,-0.03,-1.44,-0.024,-1.16
-49.54,-0.021,-2.16,-0.033,-1.28,-0.047,-1.4
-49.53,-0.004,-2.16,-0.012,-1.04,-0.029,-1.68
-49.52,-0.018,-2.2,-0.022,-0.92,0.005,-1.96
-49.51,0.012,-2.36,-0.001,-0.64,-0.03,-2.08
-49.5,0.006,-2.44,0.007,-0.48,0.012,-2.32
-49.49,0.007,-2.48,0.012,-0.24,0.004,-2.4
-49.48,-0.01,-2.56,0.024,0.04,-0.025,-2.64
-49.47,-0.003,-2.72,0.029,0.24,-0.015,-2.84
-49.46,0,-2.64,-0.002,0.36,-0.026,-3
-49.45,-0.039,-2.8,0.025,0.6,-0.039,-3.12
-49.44,0.025,-2.8,0.022,0.8,0.018,-3.24
-49.43,0.006,-2.84,0.008,1.04,-0.05,-3.32
-49.42,0,-2.92,0.02,1.32,-0.017,-3.48
-49.41,0.021,-2.92,0.018,1.44,0.025,-3.52
-49.4,0.024,-3.04,0.024,1.68,-0.026,-3.64
-49.39,0.015,-3.12,0.025,1.84,-0.035,-3.68
-49.38,0.043,-3.16,-0.01,2.04,0.004,-3.56
-49.37,0.005,-3.32,0.036,2.24,-0.066,-3.72
-49.36,0.029,-3.28,0.008,2.4,-0.017,-3.64
-49.35,0.06,-3.32,-0.003,2.52,0.003,-3.56
-49.34,0.039,-3.36,0.014,2.68,-0.042,-3.56
-49.33,0.046,-3.32,0.033,2.92,0.002,-3.52
-49.32,0.071,-3.32,-0.01,3.04,0.003,-3.4
-49.31,0.048,-3.4,0.038,3.08,-0.043,-3.24
-49.3,0.076,-3.44,0.002,3.36,-0.011,-3.2
-49.29,0.053,-3.44,-0.027,3.4,-0.05,-3.12
-49.28,0.038,-3.4,0.009,3.44,-0.042,-2.92
-49.27,0.078,-3.48,-0.027,3.56,-0.027,-2.76
-49.26,0.058,-3.48,-0.009,3.72,-0.039,-2.56
-49.25,0.059,-3.52,-0.026,3.64,-0.01,-2.44
-49.24,0.116,-3.44,-0.028,3.84,0.003,-2.24
-49.23,0.062,-3.52,0.009,3.76,-0.041,-2
-49.22,0.086,-3.52,-0.034,3.88,-0.024,-1.8
-49.21,0.108,-3.52,-0.054,3.84,0.004,-1.52
-49.2,0.097,-3.44,-0.027,3.96,-0.068,-1.36
-49.19,0.105,-3.32,-0.035,3.8,-0.042,-1.12
-49.18,0.112,-3.4,-0.028,3.92,-0.045,-0.92
