Frequency,Sum,Coating Thermal,Electronic,Quantum Vacuum,HDa_DC Quantum,HDb_DC Quantum,INTERa_I Quantum,INTERa_Q Quantum,INTERb_I Quantum,INTERb_Q Quantum,REFL_I Quantum,REFL_Q Quantum,Seismic,mdlSagnacSpeedmeter/Actuation/M2a Seismic Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Seismic Noise{1},Suspension Thermal,mdlSagnacSpeedmeter/Actuation/M1a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Suspension Thermal Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Suspension Thermal Noise{1},Brownian,mdlSagnacSpeedmeter/Actuation/M1a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Coating Brownian Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Coating Brownian Noise{1},Thermooptic,mdlSagnacSpeedmeter/Actuation/M1a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M1b Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M2a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M2b Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M3a Coating Thermooptic Noise{1},mdlSagnacSpeedmeter/Actuation/M3b Coating Thermooptic Noise{1},ADC,mdlSagnacSpeedmeter/Sensing/HDa_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/HDb_DC ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_Q ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I ADC Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_Q ADC Noise{1},DAC,mdlSagnacSpeedmeter/Control/M2a Coil DAC Noise{1},mdlSagnacSpeedmeter/Control/M2a ESD DAC Noise{1},mdlSagnacSpeedmeter/Control/M2b Coil DAC Noise{1},mdlSagnacSpeedmeter/Control/M2b ESD DAC Noise{1},Op-amp,Current,mdlSagnacSpeedmeter/Sensing/HDb_DC Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Current Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Current Noise{1},Voltage,mdlSagnacSpeedmeter/Sensing/HDb_DC Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERa_I Voltage Noise{1},mdlSagnacSpeedmeter/Sensing/INTERb_I Voltage Noise{1},
2.99999999999999933387e-01,1.00095311611684434361e+00,1.06752522877109297274e-11,2.71485915495813781486e-04,8.66426809485223381719e-07,0.00000000000000000000e+00,6.14462276965420421566e-08,5.98596187321287549906e-07,0.00000000000000000000e+00,6.23379805432471777376e-07,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.00095307929925847468e+00,6.91802422024383023569e-01,7.23406162428732235625e-01,1.78229049832127331043e-08,1.23031784047592630750e-08,1.28652297030397681375e-08,4.29847440558346127820e-10,4.49484252361289776894e-10,4.29846347653183699265e-10,4.49483115869542344474e-10,1.06752522877108521793e-11,4.41809274398893844825e-12,4.61992634186004557410e-12,4.17836048735433811709e-12,4.36924141577967709926e-12,4.17834986369739299407e-12,4.36923036843644883220e-12,1.28232628991699196706e-18,4.42713088351824800237e-19,4.62937737453691078562e-19,5.42901539736470949092e-19,5.67703025932330608076e-19,5.42900159386515376164e-19,5.67701590532090009524e-19,9.24003325622126094692e-12,0.00000000000000000000e+00,9.23915296701086665995e-12,8.95415986743264102313e-14,0.00000000000000000000e+00,9.08258242793900436637e-14,0.00000000000000000000e+00,2.71485915495813618856e-04,1.80989319373834884989e-04,7.16175151100342192306e-05,1.89257492708175495497e-04,3.96039767259427920861e-08,6.89317476580231616566e-13,5.90268838339915178759e-13,5.83306995001112238374e-13,6.18614080835048016049e-14,6.59046074857546321342e-14,3.56007418467347718650e-13,3.51776647754121561748e-13,3.77481134938683030242e-14,3.96175721910361681761e-14,
3.41120570008740020551e-01,7.91815221644613709273e-01,1.17698726268327415446e-11,3.39203784953322174615e-04,1.03402624461647871435e-06,0.00000000000000000000e+00,8.34947426693806886267e-08,7.13210669743441939562e-07,0.00000000000000000000e+00,7.44022474839532459623e-07,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,7.91815148988595285395e-01,5.46327987435467621324e-01,5.73146543488262549815e-01,1.98754674856542821693e-08,1.36963294029451217822e-08,1.43686691332200232784e-08,4.84483879725606698161e-10,5.08266605503305402338e-10,4.84482329530569009744e-10,5.08264989705624368707e-10,1.17698726268326510717e-11,4.86282268106437772831e-12,5.10153400243917373124e-12,4.59898147691244793954e-12,4.82473989715972455257e-12,4.59896676162766200126e-12,4.82472455913937668430e-12,1.45995356458950839465e-18,5.03179142251100060779e-19,5.27879725803676947259e-19,6.17054453679795984782e-19,6.47344908070323501133e-19,6.17052479300890597464e-19,6.47342850137754326876e-19,1.07294235426205147242e-11,0.00000000000000000000e+00,1.07284080892431381729e-11,1.03709135015603459018e-13,0.00000000000000000000e+00,1.05042100683874096087e-13,0.00000000000000000000e+00,3.39203784953322011984e-04,2.28780309924630489635e-04,7.15091883133046023191e-05,2.40010856097186333485e-04,4.95955401760079425291e-08,7.39978107441072793574e-13,6.43915764362323765307e-13,6.36355094539964979020e-13,6.71992193134127861376e-14,7.18607693461166883217e-14,3.64609500558825543811e-13,3.60296481137758020821e-13,3.85311323646797553848e-14,4.05201852932699202461e-14,
3.87877477610292398236e-01,5.01866937718820627090e-01,1.25571496879911815907e-11,4.24226126853022701777e-04,1.20167935732790386566e-06,0.00000000000000000000e+00,1.10593083088423754322e-07,8.26972228954573555528e-07,0.00000000000000000000e+00,8.64823323193185843108e-07,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,5.01866758419020397852e-01,3.45396007020198514414e-01,3.64104163036511274676e-01,2.15236580283682532794e-08,1.47939366466341148830e-08,1.55952468707684952558e-08,5.32110672894345414974e-10,5.60932116783699658908e-10,5.32108550317845379613e-10,5.60929888786448567352e-10,1.25571496879910781932e-11,5.17494106151727910731e-12,5.45524057076454003139e-12,4.89419480830945507547e-12,5.15928582834856558995e-12,4.89417528548569621927e-12,5.15926533589627149960e-12,1.60844152991840861171e-18,5.52950516605787504939e-19,5.82900955963483061710e-19,6.78093757456558587194e-19,7.14822284392412968006e-19,6.78091052557093543289e-19,7.14819445150306795368e-19,1.20264111936442468257e-11,0.00000000000000000000e+00,1.20252844600004273834e-11,1.15795228775511381638e-13,0.00000000000000000000e+00,1.17009912728343448620e-13,0.00000000000000000000e+00,4.24226126853022539147e-04,2.87800425783474994861e-04,7.13712761986330613759e-05,3.03388956218550713984e-04,6.16600682986547308651e-08,7.68559028796499761719e-13,6.78665806487069617739e-13,6.70751805218050662337e-13,7.03715605272261527415e-14,7.56778445810516894992e-14,3.60687820490066258480e-13,3.56450973469225806908e-13,3.79271618356003669732e-14,3.99992219650795522919e-14,
4.41043287519917504014e-01,6.22965518842754639728e-01,1.27454393625090714196e-11,5.29450903000728222668e-04,1.34135607957929325010e-06,0.00000000000000000000e+00,1.40938525822197027781e-07,9.20092662553263336468e-07,0.00000000000000000000e+00,9.65816730274975110076e-07,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,6.22965293854291779496e-01,4.27018022411496001034e-01,4.53587219708337097135e-01,2.22794768018389716933e-08,1.52510463543869154190e-08,1.62000047637615327015e-08,5.61182887177961020282e-10,5.96099858240528558094e-10,5.61180090645753028644e-10,5.96098101098472437437e-10,1.27454393625089599441e-11,5.23143037792297059764e-12,5.55694311552997684898e-12,4.94765543886416758086e-12,5.25550007513795661619e-12,4.94763078330515955382e-12,5.25548458333724543575e-12,1.68583856368380006036e-18,5.77228776300003030846e-19,6.13145400554793529387e-19,7.07871789406650121384e-19,7.51915788878932134003e-19,7.07868261882373385706e-19,7.51913572433420532905e-19,1.27960949571632466631e-11,0.00000000000000000000e+00,1.27949158015044664140e-11,1.22441673344624326431e-13,0.00000000000000000000e+00,1.23222651239882415594e-13,0.00000000000000000000e+00,5.29450903000728114248e-04,3.59621380244070948818e-04,7.11962051081140061748e-05,3.81997141572663282804e-04,7.59483620766353083378e-08,7.59744919067342575179e-13,6.79917604727087918395e-13,6.72074921698530726732e-13,6.97914624776074419001e-14,7.57126185452003212744e-14,3.39005004138320059803e-13,3.35067262782252402321e-13,3.53685021922604003917e-14,3.74618645439263004145e-14,
5.01496458791076293871e-01,3.76997148487193844968e-01,1.19213868673594160554e-11,6.57730481895657417661e-04,1.39998894068970467475e-06,0.00000000000000000000e+00,1.68582548357563149566e-07,9.55276013001051066569e-07,0.00000000000000000000e+00,1.00945366284320718962e-06,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,3.76996574727315070241e-01,2.56515928513628477248e-01,2.76271597843352534341e-01,2.13873341677383899527e-08,1.45314127699806416012e-08,1.56505685831285732082e-08,5.51899017983771663541e-10,5.94403740684680706965e-10,5.51895665543707729815e-10,5.94400182625515942685e-10,1.19213868673593045799e-11,4.85718894268726781548e-12,5.23127171955229750720e-12,4.59375387947219086195e-12,4.94754366427106945607e-12,4.59372597530123283973e-12,4.94751404862117888146e-12,1.62830218262140300090e-18,5.53425523867174032734e-19,5.96048316432800902161e-19,6.78687021530998802103e-19,7.30956372826944082357e-19,6.78682898933408043335e-19,7.30951997373286293847e-19,1.25298870132687108278e-11,0.00000000000000000000e+00,1.25287662166467945165e-11,1.18575405564643536757e-13,0.00000000000000000000e+00,1.18429418157195287703e-13,0.00000000000000000000e+00,6.57730481895657309241e-04,4.44919612754658428538e-04,7.09746184255093581685e-05,4.79185266865618769271e-04,9.25160383748754063847e-08,6.94087558490006842532e-13,6.28857415081573367716e-13,6.21740982190462144497e-13,6.33935890487958804363e-14,6.98645291648782308965e-14,2.93761621638260171147e-13,2.90416690372058626069e-13,3.02206162583456662573e-14,3.22606672876734387323e-14,
5.70235859600588534946e-01,3.25583277992202324569e-01,9.54168902986317753445e-12,8.11710694899748521312e-04,1.27857944354918397174e-06,0.00000000000000000000e+00,1.78282461876305280227e-07,8.63922788231207779060e-07,0.00000000000000000000e+00,9.25536694695936973101e-07,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,3.25582266151368260321e-01,2.17936451014396959103e-01,2.41883268027182379845e-01,1.77212469178042003851e-08,1.18434557509201104804e-08,1.31448321933122553629e-08,4.70599780082456010935e-10,5.22309199701051324512e-10,4.70596261395405195030e-10,5.22305382988405158306e-10,9.54168902986307413687e-12,3.82448414314669618977e-12,4.24472411979428469219e-12,3.61709721579790772259e-12,4.01454321056691305141e-12,3.61707017066598612565e-12,4.01451387476764125151e-12,1.40045155768060282476e-18,4.49980522040339008774e-19,4.99425047627655245699e-19,5.81502629394861214951e-19,6.45398034249123685194e-19,5.81498281484261517376e-19,6.45393318079390294795e-19,1.05299392647725428630e-11,0.00000000000000000000e+00,1.05290573830797767012e-11,9.73041058435091106021e-14,0.00000000000000000000e+00,9.54120254357200781818e-14,0.00000000000000000000e+00,8.11710694899748412892e-04,5.41273790414181039596e-04,7.06948545351351962523e-05,6.00748833656402823032e-04,1.11481053721995675200e-07,5.48703600835067739945e-13,5.02990339085308257616e-13,4.97518499287812060101e-13,4.87944816136565270154e-14,5.56212427370272321566e-14,2.19263221622359465738e-13,2.16869675323253644023e-13,2.18919994520646825454e-14,2.37622524478062041272e-14,
6.48397271554588705555e-01,2.34565506914463289823e-01,4.97078304968769054154e-12,9.96789404388398947096e-04,7.80471562025362550347e-07,0.00000000000000000000e+00,1.32169468862330680715e-07,5.12573165771350271861e-07,0.00000000000000000000e+00,5.73529284659549534445e-07,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,2.34563388968340919005e-01,1.47490950407968668401e-01,1.82390797443476637696e-01,9.67295364217321797967e-09,6.07128292829659499924e-09,7.50792581815072290274e-09,2.57960324081465981084e-10,3.18999831513821638650e-10,2.57957801630259692779e-10,3.18996910054415840828e-10,4.97078304968763399599e-12,1.87155950025318458524e-12,2.31442514837610298420e-12,1.77010247157190051922e-12,2.18895053804983820683e-12,1.77008516271973299481e-12,2.18893049123630891357e-12,7.49898787646821292313e-19,2.27389890591984398836e-19,2.81196981021113466831e-19,2.92090857630694088350e-19,3.61206455693136152712e-19,2.92088001435894406804e-19,3.61203147697666620412e-19,5.88512633760905686964e-12,0.00000000000000000000e+00,5.88473574933964349637e-12,5.01957663741462342090e-14,0.00000000000000000000e+00,4.55802051541059035176e-14,0.00000000000000000000e+00,9.96789404388398947096e-04,6.25207932714276384649e-04,7.03418147632776615723e-05,7.73146925366079173537e-04,1.35885639893717635373e-07,2.98267874077788568564e-13,2.77070893677115372141e-13,2.74403313590814005035e-13,2.36106583343062809101e-14,3.02264524289140831494e-14,1.10432986846540453266e-13,1.09378595938215767430e-13,9.97540363621354780128e-15,1.15003763732897629547e-14,
7.37272156216043805799e-01,2.05550826941182734897e-01,2.74891392951681861477e-12,1.31375302556576258398e-03,7.13264448357329647502e-07,0.00000000000000000000e+00,5.89239495120882727553e-08,5.77326483559638793581e-07,0.00000000000000000000e+00,4.14690574820606241217e-07,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,2.05546628551000781782e-01,1.82605143350620918730e-01,9.43651319639954022644e-02,5.70221299762627580317e-09,5.05448220317860443916e-09,2.61211848763170453034e-09,2.38609292702603175480e-10,1.23306471897897598539e-10,2.38608654292610982142e-10,1.23315709227101989712e-10,2.74891392951678549523e-12,1.46233977368130858508e-12,7.55726225651750057803e-13,1.38299230741285747777e-12,7.14690950035876838790e-13,1.38298860715417015533e-12,7.14744490093290391534e-13,4.26479011772840741440e-19,1.83468905375814249222e-19,9.48153540507741259321e-20,2.34399480529272288711e-19,1.21130961126432202409e-19,2.34398853382823622662e-19,1.21140035480337122532e-19,2.34652482955166990853e-12,0.00000000000000000000e+00,2.34537360181555904645e-12,4.58113219325137174341e-14,0.00000000000000000000e+00,5.74696997730229045895e-14,0.00000000000000000000e+00,1.31375302556576258398e-03,1.16546788944522396181e-03,6.99264342167004994367e-05,6.02280578329479859660e-04,9.80822885878304663059e-08,6.62607925700373864605e-14,5.93138569018400637674e-14,5.48162284219096058448e-14,2.02131821507032028663e-14,1.02343533997748872196e-14,2.95357243255952951976e-14,2.75704577008979626878e-14,8.04746106765694330674e-15,6.88964759368021586798e-15,
8.38328993933299071450e-01,1.40830365477859542622e-01,1.31151406781976146649e-11,1.42445363438835586982e-03,4.78813118821966698637e-06,0.00000000000000000000e+00,8.34646547232603711562e-07,3.38177336640495429006e-06,0.00000000000000000000e+00,3.28529668600397190890e-06,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.40823161268109176003e-01,1.05000126049654682325e-01,9.38410159743622712680e-02,2.97510072441057319919e-08,2.21118490440498834865e-08,1.97619574691082947168e-08,1.25361672778504355461e-09,1.12038596313013941853e-09,1.25360791301668692628e-09,1.12037871945031955869e-09,1.31151406781974482594e-11,5.85555241479257529870e-12,5.23326554684506511839e-12,5.53800884426488891812e-12,4.94944526128632224548e-12,5.53796990392209022527e-12,4.94941326142382981997e-12,2.09351136579891524394e-18,7.58627730654036293138e-19,6.78006118719656532280e-19,9.64645595396873374192e-19,8.62125847975516556498e-19,9.64638812520352146536e-19,8.62120274035987958978e-19,1.74704911995378723015e-11,0.00000000000000000000e+00,1.74681606292544864668e-11,1.91965985117315454360e-13,0.00000000000000000000e+00,2.11130396323543118277e-13,0.00000000000000000000e+00,1.42445363438835586982e-03,1.06083711672506453109e-03,6.93521110192156671741e-05,9.48094422461237236813e-04,1.38187260849223462494e-07,6.64370734745908054504e-13,6.19355533527662459411e-13,6.10040253604439152264e-13,7.94559549782837060543e-14,7.16862407443435061518e-14,2.40389675892044530366e-13,2.36714412076024730637e-13,2.98332031758020529430e-14,2.93847473913846170938e-14,
9.53237547551268438184e-01,1.34903582815775330284e-01,2.62440567461961248281e-11,1.66031589361838598402e-03,2.30623549199236039782e-05,0.00000000000000000000e+00,4.80710319098697213695e-06,1.59618697137738570799e-05,0.00000000000000000000e+00,1.59368343344666895973e-05,0.00000000000000000000e+00,0.00000000000000000000e+00,0.00000000000000000000e+00,1.34893363349681993935e-01,9.80031574099809732470e-02,9.26908874348704447943e-02,6.78782224188595050381e-08,4.89731633702357588700e-08,4.63189499049961923649e-08,4.09817529257523194823e-09,3.87603332649106060279e-09,4.09816552595356134500e-09,3.87602788947079322586e-09,2.62440567461957693989e-11,1.14174300148280644502e-11,1.07986360795723954018e-11,1.07978935764881582950e-11,1.02125927688349447337e-11,1.07978678433425801058e-11,1.02125784433456647866e-11,4.31198237027205594620e-18,1.52748116063845147608e-18,1.44469579850416918750e-18,1.93403112115361080573e-18,1.82919678756631696038e-18,1.93402651204128344294e-18,1.82919422170086377451e-18,5.39432185713359041416e-11,0.00000000000000000000e+00,5.39370884391300141751e-11,5.58935586893876859703e-13,0.00000000000000000000e+00,5.90687357312963810350e-13,0.00000000000000000000e+00,1.66031589361838511666e-03,1.20522628903538980318e-03,6.86550838977899053478e-05,1.13989688949261091210e-03,1.39999490320341520314e-07,1.97521323374313132170e-12,1.85918079553688058189e-12,1.83445442823950489494e-12,2.17033892207723551487e-13,2.10300905463540529395e-13,6.67018806527110288118e-13,6.58027443959857107547e-13,7.69234748558968483686e-14,7.74386871828407281719e-14,
