Frequency [Hz],Both dewhiteners magnitude,Both dewhiteners phase [deg],First dewhitener magnitude,First dewhitener phase [deg],Second dewhitener magnitude,Second dewhitener phase [deg],No dewhiteners magnitude,No dewhiteners phase [deg]
1,0.35003805,-8.9612789,0.35418719,175.74803,0.34844571,175.6411,0.35165343,-0.06306798
2,0.34506395,-14.280458,0.35117498,172.89195,0.34586918,172.79593,0.35165992,-0.13139996
3,0.33278301,-21.325022,0.345258,169.49844,0.34002984,169.48441,0.35183185,-0.14503334
4,0.31485692,-27.35054,0.33470586,166.0407,0.33186406,166.04768,0.35200354,-0.18876129
5,0.30147561,-33.025257,0.32606608,163.08347,0.32171676,163.10155,0.35193929,-0.26806858
6,0.27931479,-38.470879,0.31590626,160.66785,0.31193134,160.61205,0.35200834,-0.38039154
7,0.26011437,-43.119991,0.30434567,158.2661,0.30029163,158.31403,0.35214016,-0.43063003
8,0.24192166,-46.940674,0.29332387,156.24651,0.28982121,156.1749,0.35211229,-0.48757136
9,0.22436436,-50.390442,0.28323638,154.65833,0.27891579,154.39632,0.35205901,-0.55308795
10,0.20826124,-53.450077,0.27214625,152.70905,0.26790792,152.96884,0.35210466,-0.64458579
11,0.19347483,-55.715782,0.26205736,151.62936,0.25957206,151.78278,0.35211667,-0.72412723
12,0.17755088,-58.02166,0.25284848,150.77715,0.24876499,150.44438,0.35209447,-0.78050768
13,0.16555823,-59.508472,0.24328089,149.79591,0.24032804,149.70161,0.35217369,-0.84628892
14,0.15462065,-60.410969,0.23515683,149.05489,0.23142485,149.12529,0.35211024,-0.90185517
15,0.14443733,-61.694611,0.22687756,148.62228,0.22339918,148.61906,0.35205281,-0.97634536
16,0.13554783,-62.589386,0.21982424,148.1709,0.21692207,148.20161,0.35215539,-1.0457654
17,0.12754212,-62.921211,0.21317406,147.91757,0.21031138,147.90944,0.35215521,-1.0952262
18,0.12012673,-63.308414,0.20702022,147.85553,0.20480368,147.72054,0.35208547,-1.1687797
19,0.11389817,-63.409634,0.20156984,147.71281,0.19860765,147.57628,0.35199493,-1.2344069
20,0.1079231,-63.450642,0.19611876,147.57768,0.19329083,147.55441,0.35206366,-1.2905188
21,0.10242149,-63.322662,0.19122107,147.65851,0.18872982,147.58369,0.35207617,-1.3562104
22,0.097906455,-63.159962,0.18627025,147.77441,0.18437836,147.75386,0.35208136,-1.4163492
23,0.093492419,-62.829853,0.18273905,147.94542,0.18001379,147.80435,0.3521454,-1.4880729
24,0.089723207,-62.470848,0.17889994,148.06381,0.17623796,147.96193,0.35206527,-1.5480101
25,0.085823871,-62.136986,0.17526583,148.23792,0.17287779,148.15224,0.35210565,-1.6138517
26,0.082803033,-61.56749,0.17196812,148.45915,0.16968282,148.40639,0.35213947,-1.6782329
27,0.080033436,-61.045658,0.16872518,148.69989,0.16671991,148.60054,0.35219499,-1.7412032
28,0.077029385,-60.326862,0.16594197,148.88728,0.16359547,148.90686,0.35218179,-1.8099049
29,0.074592687,-59.796761,0.16338737,149.17032,0.16104315,149.02708,0.35209614,-1.8729713
30,0.072575629,-59.185379,0.16061614,149.48434,0.158839,149.41556,0.3520759,-1.9433972
31,0.070419572,-58.472145,0.1586078,149.75465,0.15623549,149.82458,0.35204577,-1.9850551
32,0.068513043,-57.978127,0.15649268,150.01811,0.15400407,149.99365,0.35215044,-2.0464916
33,0.066867352,-57.300613,0.15437825,150.31711,0.15219721,150.22414,0.35211858,-2.1193209
34,0.065225415,-56.707615,0.15257914,150.64838,0.15046231,150.45441,0.35201716,-2.1867623
35,0.063702799,-55.971981,0.15080252,150.95346,0.14855528,150.77435,0.35198614,-2.2720275
36,0.062329967,-55.396194,0.14906755,151.21341,0.14694902,151.08578,0.35192987,-2.3126485
37,0.061025467,-54.745613,0.14768098,151.55064,0.14564458,151.4046,0.35203195,-2.3856251
38,0.059862379,-54.024658,0.14605571,151.81265,0.14402969,151.73166,0.35197866,-2.458123
39,0.058747187,-53.419338,0.14485478,152.0775,0.14259626,152.11015,0.35212868,-2.5336578
40,0.057748135,-52.787285,0.14354384,152.36159,0.14157993,152.34288,0.35227188,-2.5905697
41,0.05666114,-52.181145,0.1423241,152.65036,0.14041996,152.54465,0.35219309,-2.6381674
42,0.055793494,-51.585716,0.14106643,152.95729,0.13916352,152.76846,0.35207641,-2.7198226
43,0.054980602,-50.925808,0.14006016,153.20114,0.1382145,153.1546,0.35207129,-2.785147
44,0.054141171,-50.281559,0.13912368,153.46576,0.13709404,153.47334,0.35208851,-2.8351243
