# Filename:      /home/cds/Sean/2016-05-20-HV-Amp-TFs/10000-count-coherence-two-whiteners-channel-three
# Plot type:     Coherence
# Output Format: XY  
# Channels:             A                         B                Conversion
# Column 1   G2:SSM-GENERAL_THREE_EXC    G2:SSM-GENERAL_ONE_IN1    Magnitude
# Column 2   G2:SSM-GENERAL_THREE_EXC    G2:SSM-GENERAL_TWO_IN1    Magnitude
# Column 3   G2:SSM-GENERAL_THREE_EXC    G2:SSM-GENERAL_THREE_IN1  Magnitude
# Column 4   G2:SSM-GENERAL_THREE_EXC    G2:SSM-GENERAL_FOUR_IN1   Magnitude
# Data:
0.1          0.065418199  0.15264954   0.93319309   0.13716783  
1.1          0.10930766   0.020264771  0.99676549   0.097606942 
2.0999999    0.026797855  0.048469197  0.9931041    0.12634644  
3.0999999    0.33622727   0.016899033  0.99793828   0.18376185  
4.0999999    0.1817662    0.09430512   0.991382     0.12063468  
5.0999999    0.017027337  0.0099311508 0.99564445   0.28315705  
6.0999999    0.22664472   0.17470554   0.99669671   0.18793045  
7.0999999    0.29583645   0.046272304  0.99804115   0.031086097 
8.1000004    0.20578556   0.077112451  0.9960829    0.26897967  
9.1000004    0.01145757   0.025336122  0.99648833   0.10351994  
10.1         0.094204776  0.10456302   0.99470693   0.003495272 
11.1         0.12363484   0.021322383  0.9972946    0.011886267 
12.1         0.39765093   0.0048053861 0.99788374   0.019384069 
13.1         0.25385728   0.021784084  0.99875158   0.085331529 
14.1         0.0035049031 0.079889245  0.99922365   0.021849906 
15.1         0.056972079  0.16080244   0.99880701   0.065560669 
16.1         0.0096072704 0.28656098   0.99889135   0.085077733 
17.1         0.30086455   0.085272662  0.99748373   0.13025147  
18.1         0.022429725  0.13640183   0.99893343   0.02480248  
19.1         0.14369576   0.34741282   0.99862695   0.025407489 
20.1         0.18198307   0.0024347312 0.99929583   0.0063284189
21.1         0.017555788  0.1329629    0.99938363   0.093537658 
22.1         0.026833333  0.32301524   0.99953765   0.22705333  
23.1         0.12314767   0.011787427  0.99950254   0.0914094   
24.1         0.016611988  0.092319958  0.99965739   0.18347161  
25.1         0.11650266   0.0077592074 0.99895203   0.1753168   
26.1         0.010749859  0.099093735  0.99944597   0.169623    
27.1         0.17340681   0.10677069   0.99954206   0.22058855  
