Low frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),Mid frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),High frequency,SR785 noise (V/sqrt(Hz)),0V output noise (V/sqrt(Hz)),HV output noise (V/sqrt(Hz)),
2.500000e-01,6.290360e-06,2.302048e-05,2.335547e-04,4.000000e+00,4.556895e-06,4.018372e-06,5.498502e-06,1.280000e+02,3.649689e-07,6.949656e-07,9.874680e-06,
5.000000e-01,1.824247e-06,6.673141e-06,6.779360e-05,8.000000e+00,1.318230e-06,1.176548e-06,1.593799e-06,2.560000e+02,1.060670e-07,2.580252e-07,2.870013e-06,
7.500000e-01,2.247861e-07,6.716156e-07,6.058044e-06,1.200000e+01,1.100294e-07,1.418115e-07,3.000409e-07,3.840000e+02,1.223215e-08,9.748084e-08,3.090372e-07,
1.000000e+00,1.306136e-07,2.563141e-07,8.402628e-07,1.600000e+01,3.175269e-08,8.661136e-08,2.763010e-07,5.120000e+02,8.248485e-09,8.178174e-08,1.823770e-07,
1.250000e+00,9.788625e-08,2.074476e-07,7.206434e-07,2.000000e+01,2.851174e-08,8.505837e-08,2.778494e-07,6.400000e+02,8.250406e-09,8.013292e-08,1.768074e-07,
1.500000e+00,8.615317e-08,1.807523e-07,6.100094e-07,2.400000e+01,2.427800e-08,8.240592e-08,2.747159e-07,7.680000e+02,8.182457e-09,7.979516e-08,1.746079e-07,
1.750000e+00,8.987207e-08,1.797718e-07,5.291240e-07,2.800000e+01,2.177314e-08,7.643919e-08,2.699839e-07,8.960000e+02,8.210320e-09,7.785361e-08,1.714312e-07,
2.000000e+00,8.203309e-08,1.958678e-07,4.148766e-07,3.200000e+01,2.087002e-08,7.012839e-08,3.064917e-07,1.024000e+03,8.334460e-09,7.743962e-08,1.621417e-07,
2.250000e+00,7.204479e-08,1.916831e-07,3.401295e-07,3.600000e+01,1.921810e-08,7.407641e-08,3.672319e-07,1.152000e+03,8.451286e-09,7.550114e-08,1.531528e-07,
2.500000e+00,7.065751e-08,1.639764e-07,3.100701e-07,4.000000e+01,1.765948e-08,8.271793e-08,3.988075e-07,1.280000e+03,8.333673e-09,7.537997e-08,1.463584e-07,
2.750000e+00,7.116232e-08,1.673592e-07,3.045836e-07,4.400000e+01,1.699964e-08,2.011395e-07,3.974428e-07,1.408000e+03,8.197384e-09,7.737766e-08,1.426307e-07,
3.000000e+00,5.721051e-08,1.606195e-07,3.913347e-07,4.800000e+01,1.722998e-08,4.080366e-07,3.508436e-07,1.536000e+03,8.275754e-09,7.508169e-08,1.411484e-07,
3.250000e+00,4.967539e-08,1.475785e-07,3.779323e-07,5.200000e+01,1.738204e-08,4.052226e-07,3.098390e-07,1.664000e+03,8.359920e-09,7.236881e-08,1.383991e-07,
3.500000e+00,5.403511e-08,1.426204e-07,3.471299e-07,5.600000e+01,2.167664e-08,1.971687e-07,2.436203e-07,1.792000e+03,8.486639e-09,7.297033e-08,1.350381e-07,
3.750000e+00,5.505352e-08,1.309187e-07,3.681209e-07,6.000000e+01,2.818512e-08,8.601829e-08,2.316704e-07,1.920000e+03,8.418871e-09,7.208697e-08,1.339106e-07,
4.000000e+00,5.362093e-08,1.119392e-07,3.479652e-07,6.400000e+01,2.171332e-08,7.666890e-08,2.290763e-07,2.048000e+03,8.137768e-09,7.210866e-08,1.313633e-07,
4.250000e+00,4.751923e-08,1.274993e-07,3.195870e-07,6.800000e+01,1.382697e-08,7.157740e-08,2.244864e-07,2.176000e+03,7.959339e-09,7.065805e-08,1.314291e-07,
4.500000e+00,4.608291e-08,1.476563e-07,3.175339e-07,7.200000e+01,1.225230e-08,6.664808e-08,2.861511e-07,2.304000e+03,8.100043e-09,6.912040e-08,1.319099e-07,
4.750000e+00,4.246636e-08,1.411732e-07,3.129241e-07,7.600000e+01,1.112367e-08,6.707283e-08,4.783856e-07,2.432000e+03,8.295459e-09,6.870147e-08,1.317795e-07,
5.000000e+00,3.870777e-08,1.252015e-07,2.690774e-07,8.000000e+01,1.126601e-08,6.682335e-08,5.046553e-07,2.560000e+03,8.213330e-09,6.979241e-08,1.368548e-07,
5.250000e+00,5.107042e-08,1.186433e-07,2.994817e-07,8.400000e+01,1.185119e-08,6.234104e-08,3.123759e-07,2.688000e+03,8.097856e-09,6.969363e-08,1.378553e-07,
5.500000e+00,4.924675e-08,1.011171e-07,3.123903e-07,8.800000e+01,1.142355e-08,6.665804e-08,2.209716e-07,2.816000e+03,8.088472e-09,6.951922e-08,1.337237e-07,
5.750000e+00,4.472795e-08,1.169598e-07,2.530319e-07,9.200000e+01,1.112595e-08,2.201202e-07,4.204284e-07,2.944000e+03,8.120863e-09,7.019618e-08,1.297464e-07,
6.000000e+00,4.369909e-08,1.310090e-07,2.798868e-07,9.600000e+01,1.106220e-08,7.120609e-07,1.268406e-06,3.072000e+03,8.128945e-09,6.937435e-08,1.287394e-07,
6.250000e+00,3.974376e-08,1.244041e-07,3.410356e-07,1.000000e+02,1.103024e-08,1.028746e-06,1.827565e-06,3.200000e+03,8.159526e-09,6.793815e-08,1.311163e-07,
6.500000e+00,3.806688e-08,1.066471e-07,3.055677e-07,1.040000e+02,1.078312e-08,6.935485e-07,1.239905e-06,3.328000e+03,8.145956e-09,6.800845e-08,1.323018e-07,
6.750000e+00,4.803699e-08,1.089862e-07,2.634586e-07,1.080000e+02,1.061537e-08,2.093416e-07,4.038497e-07,3.456000e+03,8.124983e-09,6.917545e-08,1.376118e-07,
7.000000e+00,5.749413e-08,1.255678e-07,2.799154e-07,1.120000e+02,1.094793e-08,6.475973e-08,1.941502e-07,3.584000e+03,8.307381e-09,6.938455e-08,1.470105e-07,
7.250000e+00,5.579887e-08,1.126769e-07,2.827603e-07,1.160000e+02,1.184613e-08,5.777116e-08,2.097728e-07,3.712000e+03,8.445980e-09,7.023812e-08,1.527147e-07,
7.500000e+00,4.340005e-08,8.959492e-08,2.536289e-07,1.200000e+02,1.281860e-08,5.479572e-08,2.288804e-07,3.840000e+03,8.465532e-09,6.983947e-08,1.490754e-07,
7.750000e+00,4.470590e-08,8.225821e-08,2.263218e-07,1.240000e+02,1.088050e-08,5.604742e-08,2.104649e-07,3.968000e+03,8.340245e-09,6.883565e-08,1.410975e-07,
