# Filename:      /home/cds/Sean/2016-05-20-HV-Amp-TFs/10000-count-coherence-two-whiteners-channel-one
# Plot type:     Coherence
# Output Format: XY  
# Channels:            A                        B                Conversion
# Column 1   G2:SSM-GENERAL_ONE_EXC    G2:SSM-GENERAL_ONE_IN1    Magnitude
# Column 2   G2:SSM-GENERAL_ONE_EXC    G2:SSM-GENERAL_TWO_IN1    Magnitude
# Column 3   G2:SSM-GENERAL_ONE_EXC    G2:SSM-GENERAL_THREE_IN1  Magnitude
# Column 4   G2:SSM-GENERAL_ONE_EXC    G2:SSM-GENERAL_FOUR_IN1   Magnitude
# Data:
0.1          0.96911871   0.014939441  0.027589582  0.055516552 
1.1          0.98598427   0.0062483479 0.10530445   0.0022597739
2.0999999    0.99598652   0.018120557  0.12026528   0.044811662 
3.0999999    0.99600929   0.06885311   0.086829431  0.090458281 
4.0999999    0.9965362    0.088369101  0.01616695   0.00072403013
5.0999999    0.99436891   0.031530485  0.11789566   0.094682112 
6.0999999    0.99850988   0.072674453  0.072579652  0.24321082  
7.0999999    0.99629378   0.11920519   0.063250303  0.032876574 
8.1000004    0.99864167   0.22437608   0.074396342  0.17051463  
9.1000004    0.99849319   0.0014697068 0.089007467  0.08400283  
10.1         0.99700755   0.06513413   0.027072242  0.31646121  
11.1         0.99781746   0.04015192   0.00017839784 0.091772027 
12.1         0.99764538   0.04259574   0.08666233   0.43051639  
13.1         0.99890161   0.41702664   0.14618368   0.12308151  
14.1         0.99723226   0.13638411   0.17656457   0.36385915  
15.1         0.99859273   0.085603945  0.010861134  0.39160389  
16.1         0.99836886   0.049714025  0.023303816  0.032119088 
17.1         0.99871045   0.077578537  0.15885931   0.14280581  
18.1         0.99921638   0.10407297   0.021078413  0.026359936 
19.1         0.99932218   0.27454558   0.063708797  0.057101194 
20.1         0.99931788   0.058625396  0.3001371    0.10456117  
21.1         0.99896455   0.11543411   0.42328721   0.040313855 
22.1         0.9994033    0.0076260753 0.070816025  0.26506689  
23.1         0.99877959   0.051907264  0.038595591  0.16447213  
24.1         0.99931902   0.13309112   0.10756203   0.27733949  
25.1         0.99939263   0.17775095   0.091073155  0.10267343  
26.1         0.99962634   0.090267837  0.18269469   0.36276728  
27.1         0.99948204   0.03978451   0.1180954    0.24776226  
28.1         0.9993726    0.0034032532 0.078015707  0.31337267  
29.1         0.99953759   0.17961815   0.016525732  0.025532875 
30.1         0.9992004    0.35842806   0.084338836  0.010302817 
31.1         0.99969125   0.025647631  0.18252894   0.0090923673
32.099998    0.9997347    0.14006311   0.047816753  0.076856025 
33.099998    0.99959916   0.00019421305 0.060835149  0.05916515  
34.099998    0.99945253   0.074156947  0.054047566  0.010290515 
35.099998    0.99967539   0.072566375  0.065369874  0.15482789  
36.099998    0.99977708   0.22430933   0.020802122  0.23824279  
37.099998    0.9994204    0.10434352   0.017730117  0.11484957  
38.099998    0.99962199   0.15027699   0.16989884   0.052654862 
39.099998    0.99964023   0.079854213  0.12450353   0.024174828 
40.099998    0.99975693   0.45651644   0.0081893802 0.12415624  
41.099998    0.99986607   0.27148736   0.016231105  0.029562853 
42.099998    0.99986446   0.097871579  0.021201024  0.016368667 
43.099998    0.99969471   0.0067971325 0.19433603   0.22514901  
44.099998    0.99988073   0.0087800315 0.14549975   0.031513654 
45.099998    0.9998799    0.0037664869 0.094627179  0.12118724  
46.099998    0.99990439   0.036396906  0.1555586    0.16431002  
47.099998    0.99979681   0.10935642   0.10321428   0.02432175  
48.099998    0.99959165   0.038192097  0.081584826  0.0070089074
49.099998    0.99986881   0.1162148    0.044891976  0.0038198023
50.099998    0.99992049   0.1481373    0.078842297  0.057338327 
51.099998    0.99990273   0.075481601  0.0045026708 0.040052865 
52.099998    0.99986875   0.28616288   0.0079219388 0.011735939 
53.099998    0.9999097    0.50208324   0.075110242  0.046433493 
54.099998    0.99984998   0.16791952   0.0062463935 0.058816455 
55.099998    0.99979204   0.32861701   0.27560049   0.23337248  
56.099998    0.99995196   0.15239215   0.22934502   0.10332423  
57.099998    0.99982113   0.057878532  0.24750525   0.19082431  
58.099998    0.99984968   0.1152503    0.016503587  0.1805433   
59.099998    0.99976575   0.061041933  0.0013171243 0.025885476 
60.099998    0.99965721   0.27397969   0.082585037  0.18376584  
61.099998    0.9998076    0.24743724   0.34369645   0.055385265 
62.099998    0.9998976    0.16302951   0.063356332  0.16079244  
63.099998    0.99992025   0.18547776   0.27774799   0.35570985  
64.099998    0.99974513   0.19260399   0.23531482   0.47190019  
65.099998    0.9997589    0.27054331   0.043417919  0.096562535 
66.099998    0.99977285   0.11357611   0.041966181  0.00011253639
67.099998    0.99985826   0.19414754   0.0014836952 0.10834818  
68.099998    0.99991333   0.11278588   0.06138128   0.073275723 
69.099998    0.99992973   0.0031651224 0.09435872   0.037937932 
70.099998    0.99987501   0.17586148   0.093942098  0.094512925 
71.099998    0.99960935   0.021670369  0.013374978  0.10875747  
72.099998    0.99971372   0.11078078   0.19629753   0.14664397  
73.099998    0.99989766   0.039751027  0.20235857   0.02358117  
74.099998    0.99991471   0.05667793   0.0098544136 0.019751919 
75.099998    0.99989772   0.0041900198 0.29742664   0.010515869 
76.099998    0.99974614   0.37825066   0.19411908   0.092269428 
77.099998    0.9997921    0.10250881   0.18526079   0.11731962  
78.099998    0.99984062   0.041913301  0.34270656   0.061336257 
79.099998    0.99987751   0.027850769  0.30445611   0.14711039  
80.099998    0.99992174   0.17375462   0.21576627   0.09126655  
81.099998    0.99986762   0.13959254   0.038589738  0.041295726 
82.099998    0.9998123    0.16765325   0.093253531  0.1742648   
83.099998    0.99983674   0.098672785  0.050571904  0.097565278 
84.099998    0.99978769   0.16793613   0.15562853   0.27376619  
85.099998    0.9998709    0.24288335   0.1160325    0.12073776  
86.099998    0.99989468   0.080574267  0.34834799   0.10332448  
87.099998    0.99986768   0.17092428   0.055952109  0.010117344 
88.099998    0.99987763   0.027891122  0.29161748   0.037235435 
89.099998    0.99991006   0.0057071289 0.096776873  0.017544217 
90.099998    0.99996185   0.15897366   0.25905421   0.0038651044
91.099998    0.99991238   0.0027887078 0.072907239  0.0098442398
92.099998    0.99986053   0.019141527  0.035816699  0.060610477 
93.099998    0.99980611   0.13411736   0.18299696   0.0058226869
94.099998    0.99989134   0.093853481  0.25915888   0.018513845 
95.099998    0.99989998   0.042039998  0.084255666  0.054143343 
96.099998    0.99976248   0.049098853  0.063803196  0.16181627  
97.099998    0.99985307   0.068070993  0.051417559  0.10207713  
98.099998    0.99992436   0.20431586   0.032798689  0.31233284  
99.099998    0.9998008    0.14884137   0.057912752  0.12063199  
100.1        0.99988675   0.091941267  0.15614374   0.35860032  
101.1        0.99986297   0.024522195  0.14373058   0.11455215  
102.1        0.99992144   0.0039193304 0.096801937  0.018604409 
103.1        0.9998818    0.040536523  0.035379946  0.047846369 
104.1        0.99989015   0.056544784  0.012531004  0.28439492  
105.1        0.99992907   0.22946569   0.37718919   0.0045269318
106.1        0.99986458   0.10521907   0.15957041   0.094098911 
107.1        0.99975842   0.054960981  0.018902354  0.18519117  
108.1        0.99988323   0.14230511   0.31409365   0.090266362 
109.1        0.99989605   0.03125903   0.013126194  0.12104987  
110.1        0.99994487   0.055833336  0.23669177   0.19643871  
111.1        0.9999603    0.067331396  0.05141212   0.012460288 
112.1        0.99994862   0.056228913  0.062476665  0.032097179 
113.1        0.99988878   0.017168809  0.050436873  0.098876826 
114.1        0.99991876   0.048347361  0.056014761  0.17189823  
115.1        0.99988472   0.0986875    0.063447505  0.019962247 
116.1        0.99972391   0.039657347  0.22353576   0.14640141  
117.1        0.99982005   0.11364981   0.055967141  0.029621191 
118.1        0.99991411   0.035435006  0.067974888  0.057998274 
119.1        0.99985629   0.0068140696 0.0022742816 0.089725718 
120.1        0.99985719   0.087506257  0.092159741  0.02704324  
121.1        0.99982935   0.13905609   0.0084854811 0.1622231   
122.1        0.99981308   0.15716115   0.067325659  0.1517965   
123.1        0.99969095   0.043300919  0.26194522   0.37455586  
124.1        0.99986273   0.14878023   0.05350478   0.11859695  
125.1        0.99991167   0.23300958   0.10704847   0.12599702  
126.1        0.99983561   0.021265298  0.0098472377 0.12574781  
127.1        0.99983156   0.023933342  0.12411176   0.050422553 
128.10001    0.99983013   0.071800359  0.11603831   0.0061509851
129.10001    0.99985886   0.028643882  0.009099626  0.010310663 
130.10001    0.99991155   0.035713088  0.031011548  0.085973457 
131.10001    0.99983066   0.058452796  0.04944133   0.025076682 
132.10001    0.99982101   0.05879654   0.23304343   0.016607096 
133.10001    0.99977773   0.017956728  0.10163721   0.0085933069
134.10001    0.99983215   0.13444701   0.24645582   0.082342207 
135.10001    0.99989134   0.063600801  0.010329652  0.28042063  
136.10001    0.99989718   0.084554672  0.059639953  0.26041803  
137.10001    0.99980646   0.0054875934 0.18838575   0.09645661  
138.10001    0.99977624   0.060214657  0.25742593   0.0024972076
139.10001    0.99979955   0.27707946   0.086625814  0.087937266 
140.10001    0.99981236   0.13006656   0.11433863   0.059604451 
141.10001    0.99982131   0.11873106   0.28069776   0.12574008  
142.10001    0.99985045   0.10259623   0.07603211   0.0403983   
143.10001    0.99983644   0.081394114  0.082485363  0.039030775 
144.10001    0.99985552   0.091641851  0.064446241  0.024049371 
145.10001    0.99990809   0.095392391  0.00065698451 0.07759884  
146.10001    0.9999035    0.017652193  0.057710458  0.07410232  
147.10001    0.99964005   0.13792475   0.046715006  0.12256182  
148.10001    0.99978077   0.017610127  0.25529438   0.22943614  
149.10001    0.99968439   0.017020486  0.088539973  0.038805176 
150.10001    0.99978209   0.14464004   0.21771005   0.052507531 
151.10001    0.999933     0.1750659    0.086749233  0.0084757162
152.10001    0.99990958   0.24753299   0.00726014   0.056082644 
153.10001    0.99979508   0.21363634   0.11900171   0.01295136  
154.10001    0.9996593    0.049757555  0.05494763   0.11744829  
155.10001    0.99984819   0.080549069  0.34257269   0.0087976307
156.10001    0.99988252   0.13413207   0.077450894  0.11116366  
157.10001    0.99990696   0.0069467993 0.0013317629 0.035415161 
158.10001    0.99994683   0.15663657   0.1309901    0.034761749 
159.10001    0.99990946   0.16546272   0.033441681  0.28965634  
160.10001    0.99984992   0.098568335  0.027530966  0.087391563 
161.10001    0.99985188   0.42745686   0.23150955   0.014252555 
162.10001    0.9999122    0.045418374  0.02484075   0.07732477  
163.10001    0.99982315   0.11526992   0.098190278  0.057263758 
