"Frequency [Hz]" "ET-D-LF" "ET-D-HF" "Combined"
1 5.6360987E-017 4.4569531E-017 3.4959517E-017
1.0030759 5.4061732E-017 4.6943421E-017 3.5445436E-017
1.0061612 5.1776256E-017 4.9548476E-017 3.5797734E-017
1.009256 4.9907753E-017 5.2403302E-017 3.614015E-017
1.0123603 4.8332547E-017 5.5698024E-017 3.6504608E-017
1.0154742 4.6755467E-017 5.9302997E-017 3.6716429E-017
1.0185976 4.548012E-017 6.2979292E-017 3.6871157E-017
1.0217307 4.4306417E-017 6.6568086E-017 3.6883647E-017
1.0248734 4.3131328E-017 7.0801848E-017 3.6834732E-017
1.0280258 4.2228498E-017 7.5034353E-017 3.6800783E-017
1.0311878 4.141856E-017 7.8060969E-017 3.6587344E-017
1.0343596 4.0607662E-017 7.8679313E-017 3.6084997E-017
1.0375412 4.0066134E-017 7.7965967E-017 3.563602E-017
1.0407325 3.961775E-017 7.6590629E-017 3.5188827E-017
1.0439336 3.9168811E-017 7.4767337E-017 3.469602E-017
1.0471446 3.9022934E-017 7.2595468E-017 3.4371785E-017
1.0503655 3.8983283E-017 6.8565689E-017 3.3888855E-017
1.0535963 3.894351E-017 6.3219044E-017 3.3157318E-017
1.056837 3.925118E-017 5.7790893E-017 3.2470018E-017
1.0600877 3.9504647E-017 5.3181857E-017 3.1712648E-017
1.0633483 3.9750809E-017 4.9037609E-017 3.087957E-017
1.0666191 4.0633174E-017 4.5146815E-017 3.0202054E-017
1.0698998 4.1729144E-017 4.1723823E-017 2.9505079E-017
1.0731907 4.2806871E-017 3.9721273E-017 2.9116973E-017
1.0764917 4.5200572E-017 5.8345025E-017 3.57322E-017
1.0798028 4.803811E-017 3.371155E-017 2.7594654E-017
1.0831241 5.083363E-017 3.0927718E-017 2.6421757E-017
1.0864557 5.7757812E-017 2.8777943E-017 2.575776E-017
1.0897974 6.6097468E-017 2.6906015E-017 2.4920429E-017
1.0931495 7.4318007E-017 2.5230991E-017 2.3891651E-017
1.0965119 1.2766587E-016 2.3718775E-017 2.3319724E-017
1.0998846 1.9685049E-016 2.2346525E-017 2.2203914E-017
1.1032677 2.6505303E-016 2.1098061E-017 2.1031537E-017
1.1066612 2.3750538E-016 1.9956696E-017 1.9886615E-017
1.1100651 1.7458823E-016 1.8909166E-017 1.8799226E-017
1.1134795 1.1346622E-016 1.7945958E-017 1.7725624E-017
1.1169044 8.1050789E-017 1.7057553E-017 1.6691904E-017
1.1203398 5.9568509E-017 1.6237155E-017 1.5665607E-017
1.1237859 3.8739048E-017 1.547716E-017 1.4372542E-017
1.1272425 2.914254E-017 1.4770826E-017 1.3175144E-017
1.1307097 2.3801184E-017 1.4113064E-017 1.2139412E-017
1.1341876 1.8626766E-017 1.3500259E-017 1.0931107E-017
1.1376762 1.5512542E-017 1.2927875E-017 9.9312304E-018
1.1411755 1.3211957E-017 1.2391809E-017 9.0383744E-018
1.1446856 1.0985778E-017 1.1888865E-017 8.0685165E-018
1.1482065 9.4717534E-018 1.1416923E-017 7.2896834E-018
1.1517382 8.2504357E-018 1.0973164E-017 6.5944124E-018
1.1552808 7.070178E-018 1.0554991E-017 5.8741204E-018
1.1588343 6.2179967E-018 1.0160305E-017 5.3036304E-018
1.1623987 5.5295528E-018 9.7877696E-018 4.8143846E-018
1.1659741 4.8586889E-018 9.4355698E-018 4.3196346E-018
1.1695605 4.3482061E-018 9.1019992E-018 3.9234913E-018
1.1731579 3.9066459E-018 8.7856298E-018 3.5696483E-018
1.1767663 3.4767867E-018 8.4855685E-018 3.2172091E-018
1.1803859 3.1389503E-018 8.2006079E-018 2.9315338E-018
1.1840166 2.841812E-018 7.9295899E-018 2.6752029E-018
1.1876585 2.5528539E-018 7.6715148E-018 2.4222586E-018
1.1913115 2.3201934E-018 7.425754E-018 2.2146083E-018
1.1949758 2.1131399E-018 7.1914819E-018 2.0274262E-018
1.1986514 1.9120109E-018 6.9678906E-018 1.8438523E-018
1.2023383 1.7469792E-018 6.7542637E-018 1.6913211E-018
1.2060365 1.5988232E-018 6.5501385E-018 1.5532222E-018
1.2097461 1.4550715E-018 6.3549367E-018 1.4183668E-018
1.2134671 1.3394463E-018 6.1680822E-018 1.3089387E-018
1.2171996 1.2459678E-018 5.9890523E-018 1.2198492E-018
1.2209435 1.1539682E-018 5.8174914E-018 1.1319141E-018
1.2246989 1.0770532E-018 5.6529866E-018 1.0580208E-018
1.2284659 1.0069661E-018 5.4951216E-018 9.9047361E-019
1.2322445 9.3801573E-019 5.3435106E-018 9.2388876E-019
1.2360347 8.7991158E-019 5.1978668E-018 8.6756851E-019
1.2398366 8.26789E-019 5.0578918E-018 8.159593E-019
1.2436502 7.7454587E-019 4.9232853E-018 7.65135E-019
1.2474755 7.3032238E-019 4.793764E-018 7.2199171E-019
1.2513125 6.8982517E-019 4.6690818E-018 6.8241746E-019
1.2551614 6.5000729E-019 4.5490209E-018 6.4347148E-019
1.2590221 6.1631392E-019 4.4333728E-018 6.1044352E-019
1.2628946 5.8548471E-019 4.321938E-018 5.8018524E-019
1.2667791 5.5517222E-019 4.2145003E-018 5.5041719E-019
1.2706756 5.3122678E-019 4.1108873E-018 5.2684611E-019
