Frequency [Hz],AA transfer function,AI transfer function,
1.000000e+00,0.9999979751268429-0.0002201378762272j,0.9999979751268429-0.0002201378762272j,
1.011591e+00,0.9999979745467926-0.0002226895190152j,0.9999979745467926-0.0002226895190152j,
1.023317e+00,0.9999979739532177-0.0002252707381797j,0.9999979739532177-0.0002252707381797j,
1.035178e+00,0.9999979733458028-0.0002278818765437j,0.9999979733458028-0.0002278818765437j,
1.047177e+00,0.9999979727242244-0.0002305232809040j,0.9999979727242244-0.0002305232809040j,
1.059315e+00,0.9999979720881537-0.0002331953020771j,0.9999979720881537-0.0002331953020771j,
1.071593e+00,0.9999979714372518-0.0002358982949459j,0.9999979714372518-0.0002358982949459j,
1.084014e+00,0.9999979707711729-0.0002386326185067j,0.9999979707711729-0.0002386326185067j,
1.096579e+00,0.9999979700895635-0.0002413986359171j,0.9999979700895635-0.0002413986359171j,
1.109290e+00,0.9999979693920608-0.0002441967145438j,0.9999979693920608-0.0002441967145438j,
1.122148e+00,0.9999979686782952-0.0002470272260120j,0.9999979686782952-0.0002470272260120j,
1.135155e+00,0.9999979679478870-0.0002498905462544j,0.9999979679478870-0.0002498905462544j,
1.148312e+00,0.9999979672004483-0.0002527870555611j,0.9999979672004483-0.0002527870555611j,
1.161623e+00,0.9999979664355816-0.0002557171386302j,0.9999979664355816-0.0002557171386302j,
1.175087e+00,0.9999979656528806-0.0002586811846187j,0.9999979656528806-0.0002586811846187j,
1.188708e+00,0.9999979648519309-0.0002616795871948j,0.9999979648519309-0.0002616795871948j,
1.202486e+00,0.9999979640323043-0.0002647127445893j,0.9999979640323043-0.0002647127445893j,
1.216424e+00,0.9999979631935676-0.0002677810596492j,0.9999979631935676-0.0002677810596492j,
1.230524e+00,0.9999979623352745-0.0002708849398909j,0.9999979623352745-0.0002708849398909j,
1.244787e+00,0.9999979614569683-0.0002740247975542j,0.9999979614569683-0.0002740247975542j,
1.259216e+00,0.9999979605581834-0.0002772010496575j,0.9999979605581834-0.0002772010496575j,
1.273811e+00,0.9999979596384421-0.0002804141180526j,0.9999979596384421-0.0002804141180526j,
1.288576e+00,0.9999979586972556-0.0002836644294812j,0.9999979586972556-0.0002836644294812j,
1.303512e+00,0.9999979577341233-0.0002869524156315j,0.9999979577341233-0.0002869524156315j,
1.318621e+00,0.9999979567485348-0.0002902785131952j,0.9999979567485348-0.0002902785131952j,
1.333906e+00,0.9999979557399653-0.0002936431639259j,0.9999979557399653-0.0002936431639259j,
1.349367e+00,0.9999979547078793-0.0002970468146975j,0.9999979547078793-0.0002970468146975j,
1.365008e+00,0.9999979536517288-0.0003004899175639j,0.9999979536517288-0.0003004899175639j,
1.380830e+00,0.9999979525709525-0.0003039729298186j,0.9999979525709525-0.0003039729298186j,
1.396835e+00,0.9999979514649763-0.0003074963140556j,0.9999979514649763-0.0003074963140556j,
1.413026e+00,0.9999979503332120-0.0003110605382310j,0.9999979503332120-0.0003110605382310j,
1.429405e+00,0.9999979491750592-0.0003146660757249j,0.9999979491750592-0.0003146660757249j,
1.445973e+00,0.9999979479899026-0.0003183134054046j,0.9999979479899026-0.0003183134054046j,
1.462733e+00,0.9999979467771115-0.0003220030116878j,0.9999979467771115-0.0003220030116878j,
1.479688e+00,0.9999979455360427-0.0003257353846072j,0.9999979455360427-0.0003257353846072j,
1.496839e+00,0.9999979442660359-0.0003295110198756j,0.9999979442660359-0.0003295110198756j,
1.514189e+00,0.9999979429664178-0.0003333304189515j,0.9999979429664178-0.0003333304189515j,
1.531740e+00,0.9999979416364962-0.0003371940891060j,0.9999979416364962-0.0003371940891060j,
1.549495e+00,0.9999979402755658-0.0003411025434900j,0.9999979402755658-0.0003411025434900j,
1.567455e+00,0.9999979388829031-0.0003450563012023j,0.9999979388829031-0.0003450563012023j,
1.585624e+00,0.9999979374577688-0.0003490558873587j,0.9999979374577688-0.0003490558873587j,
1.604003e+00,0.9999979359994043-0.0003531018331616j,0.9999979359994043-0.0003531018331616j,
1.622595e+00,0.9999979345070363-0.0003571946759708j,0.9999979345070363-0.0003571946759708j,
1.641403e+00,0.9999979329798709-0.0003613349593745j,0.9999979329798709-0.0003613349593745j,
1.660429e+00,0.9999979314170977-0.0003655232332617j,0.9999979314170977-0.0003655232332617j,
1.679675e+00,0.9999979298178858-0.0003697600538954j,0.9999979298178858-0.0003697600538954j,
1.699144e+00,0.9999979281813859-0.0003740459839860j,0.9999979281813859-0.0003740459839860j,
1.718839e+00,0.9999979265067283-0.0003783815927666j,0.9999979265067283-0.0003783815927666j,
