Frequency,Horizontal seismic motion,Requirement,
1.000000e+01,2.933231e-14,NaN,
1.004620e+01,3.028916e-14,NaN,
1.009262e+01,2.773712e-14,NaN,
1.013925e+01,2.429236e-14,NaN,
1.018610e+01,2.955993e-14,NaN,
1.023317e+01,2.714427e-14,NaN,
1.028045e+01,2.912156e-14,NaN,
1.032795e+01,2.557284e-14,NaN,
1.037567e+01,3.179924e-14,NaN,
1.042361e+01,2.741600e-14,NaN,
1.047177e+01,2.729917e-14,NaN,
1.052015e+01,2.999663e-14,NaN,
1.056876e+01,2.547839e-14,NaN,
1.061759e+01,2.887976e-14,NaN,
1.066665e+01,3.136895e-14,NaN,
1.071593e+01,3.745799e-14,NaN,
1.076545e+01,3.092874e-14,NaN,
1.081519e+01,3.513791e-14,NaN,
1.086516e+01,3.604969e-14,NaN,
1.091536e+01,3.337218e-14,NaN,
1.096579e+01,3.540472e-14,NaN,
1.101646e+01,4.159535e-14,NaN,
1.106736e+01,3.929302e-14,NaN,
1.111850e+01,3.890087e-14,NaN,
1.116987e+01,4.156839e-14,NaN,
1.122148e+01,4.087450e-14,NaN,
1.127333e+01,4.049345e-14,NaN,
1.132541e+01,3.882366e-14,NaN,
1.137774e+01,4.233421e-14,NaN,
1.143031e+01,3.974108e-14,NaN,
1.148312e+01,4.158019e-14,NaN,
1.153618e+01,3.545749e-14,NaN,
1.158948e+01,4.812770e-14,NaN,
1.164303e+01,4.743596e-14,NaN,
1.169683e+01,4.703620e-14,NaN,
1.175087e+01,5.204949e-14,NaN,
1.180517e+01,5.194789e-14,NaN,
1.185971e+01,5.371882e-14,NaN,
1.191451e+01,6.321956e-14,NaN,
1.196956e+01,7.392551e-14,NaN,
1.202486e+01,8.377029e-14,NaN,
1.208042e+01,1.004274e-13,NaN,
1.213624e+01,8.131357e-14,NaN,
1.219231e+01,9.317432e-14,NaN,
1.224865e+01,1.029680e-13,NaN,
1.230524e+01,1.118346e-13,NaN,
1.236210e+01,1.256894e-13,NaN,
1.241921e+01,1.276754e-13,NaN,
1.247660e+01,1.042549e-13,NaN,
1.253424e+01,1.206526e-13,NaN,
1.259216e+01,1.289379e-13,NaN,
1.265034e+01,1.357816e-13,NaN,
1.270879e+01,1.285460e-13,NaN,
1.276751e+01,1.181856e-13,NaN,
1.282650e+01,1.145380e-13,NaN,
1.288576e+01,1.085472e-13,NaN,
1.294530e+01,1.265029e-13,NaN,
1.300511e+01,1.121233e-13,NaN,
1.306520e+01,1.085653e-13,NaN,
1.312557e+01,7.700883e-14,NaN,
1.318621e+01,7.725019e-14,NaN,
1.324714e+01,1.017832e-13,NaN,
1.330835e+01,7.781834e-14,NaN,
1.336984e+01,6.957115e-14,NaN,
1.343161e+01,6.585892e-14,NaN,
1.349367e+01,6.387031e-14,NaN,
1.355602e+01,4.539155e-14,NaN,
1.361865e+01,4.315953e-14,NaN,
1.368158e+01,3.221837e-14,NaN,
1.374479e+01,2.857425e-14,NaN,
1.380830e+01,2.167358e-14,NaN,
1.387210e+01,2.253451e-14,NaN,
1.393619e+01,2.352105e-14,NaN,
1.400058e+01,2.375817e-14,NaN,
1.406527e+01,2.218440e-14,NaN,
1.413026e+01,1.626399e-14,NaN,
1.419555e+01,1.662089e-14,NaN,
1.426114e+01,1.335759e-14,NaN,
1.432703e+01,1.717627e-14,NaN,
1.439323e+01,1.732787e-14,NaN,
1.445973e+01,2.067199e-14,NaN,
1.452654e+01,2.527650e-14,NaN,
1.459366e+01,2.271807e-14,NaN,
1.466109e+01,2.661969e-14,NaN,
1.472883e+01,3.050914e-14,NaN,
1.479688e+01,3.502966e-14,NaN,
1.486525e+01,4.481272e-14,NaN,
1.493393e+01,4.202731e-14,NaN,
1.500293e+01,4.854635e-14,NaN,
1.507225e+01,4.293214e-14,NaN,
