Frequency,M2a to BHD,M2b to BHD,DARM to BHD,M6 to BHD,M7 to BHD,M9 to BHD,M2a to PDH_A,M2b to PDH_B,DARM to PDH,M6 to PDH_A,M6 to PDH_B,M7 to PDH_A,M7 to PDH_B,M9 to PDH_A,M9 to PDH_B,
1.000000e+01,470179.3546614728402346+143706982.1997273266315460j,-470181.0050430001574568-143707466.4634636640548706j,-470180.1798522365279496-143707224.3315954804420471j,161.3961614383544827+48433.2610826209856896j,148.5939951821650027+44591.4570688321909984j,-0.0003068502235074-0.0938832755774503j,-90634271.8516043871641159+148265.0174448524485342j,-91536550.8211098015308380+149740.7537635572371073j,451139.4847527071833611-737.8681593523942865j,-0.0000001836958759-0.0000073926544649j,-0.0856082157396909-52.3304542720757127j,0.0780406627872916+47.7049085212181794j,0.0000001856053610+0.0000043108096318j,0.0000002043005108+0.0000083367451512j,0.0000002738948917+0.0000102151251792j,
1.009262e+01,478929.4605938338208944+145038001.0442244708538055j,-478931.0484945510397665-145038489.7928439378738403j,-478930.2545441924594343-145038245.4185342192649841j,164.3997505916941009+48881.8517137628441560j,151.3593340153110205+45004.4647709600467351j,-0.0003093607144299-0.0947529950928365j,-90634266.7534422725439072+149638.3042067729402333j,-91536545.6717788726091385+151127.6777009634824935j,451139.4591683000326157-744.6867470952711301j,-0.0000002192259450-0.0000071626249508j,-0.0872014455643467-52.8151464447712513j,0.0794930121297526+48.1467603946345903j,0.0000001312684324+0.0000081213028032j,0.0000001353434506+0.0000115184259495j,0.0000001127297445+0.0000175634369800j,
1.018610e+01,487842.2398045714362524+146381347.3362691700458527j,-487844.1122183696134016-146381840.7164390385150909j,-487843.1760114704957232-146381594.0263541042804718j,167.4592596015452273+49334.5970670011665788j,154.1761576465796111+45421.2976362862827955j,-0.0003257372863634-0.0956306205183402j,-90634261.5834285020828247+151024.2949316667800304j,-91536540.4489327818155289+152527.4755986852396745j,451139.4327521398663521-751.5903335092298221j,-0.0000001617514093-0.0000092921704338j,-0.0888242170779809-53.3043309703463493j,0.0809723757921313+48.5927046826077671j,0.0000002481997510+0.0000079660727694j,0.0000002203642547+0.0000076991778705j,0.0000001663366104+0.0000131604004742j,
1.028045e+01,496910.0888125394703820+147737135.4468659460544586j,-496902.3428988790838048-147737633.2049770057201385j,-496906.2158557092770934-147737384.3259214758872986j,170.5687513729121463+49791.5355545153288404j,157.0420456131232356+45841.9910568861596403j,-0.0003165673055427-0.0965162234499609j,-90634256.4287455230951309+152429.4844339597329963j,-91536535.3537331372499466+153954.1407427217927761j,451139.4624938070774078-762.3281543810298899j,0.0000840951128251-0.0068432620996157j,-0.0904391086655876-53.8006551982934482j,0.0824792978480317+49.0427792436634249j,-0.0000228195635936+0.0020743519709532j,-0.0000455021049737+0.0031381903714759j,-0.0000459052952339+0.0031692868851405j,
1.037567e+01,506173.0466567956609651+149105480.5567710697650909j,-506159.6598112726933323-149105982.9544131755828857j,-506166.3532340341480449-149105731.7555921077728271j,173.7464991203246143+50252.7061676480880124j,159.9646884609328765+46266.5808492681608186j,-0.0003204188757492-0.0974102408956901j,-90634250.9908378422260284+153831.8447277662635315j,-91536529.8650832921266556+155372.3627604598586913j,451139.4371227249503136-770.2590163467975799j,0.0000235223903011-0.0021917047074142j,-0.0921610769853091-54.2963284668116231j,0.0840142804772505+49.4970171230763114j,-0.0000217908458014+0.0020369482267383j,-0.0000439149954678+0.0030801236128764j,-0.0000443407552616+0.0031120375988159j,
1.047177e+01,515577.9473074840498157+150486498.7741870880126953j,-515579.6786476076231338-150487005.8826986849308014j,-515578.8129775458364747-150486752.3284428715705872j,176.9800324132442597+50718.1479727969490341j,162.9417417567793223+46695.1030632287584012j,-0.0003300099900888-0.0983125386804004j,-90634245.6979833394289017+155265.8907415973371826j,-91536524.4068753570318222+156811.2957840093295090j,451139.3544460088014603-772.7025212059961632j,0.0000225161734027-0.0021520283721428j,-0.0938762210325081-54.7992282302023881j,0.0855778323256212+49.9554653697297368j,-0.0000208849540990+0.0019978892059406j,-0.0000424240515421+0.0030257643649512j,-0.0000428896776953+0.0030568843092294j,
1.056876e+01,525184.0036419898970053+151880307.7294235229492188j,-525185.8310578220989555-151880819.5352961719036102j,-525184.9173499059397727-151880563.6323598623275757j,180.2772767302846830+51187.9005846984800883j,165.9774279039088469+47127.5941439597154385j,-0.0003350701872433-0.0992229724178086j,-90634240.1297759860754013+156697.8254816597909667j,-91536518.7832865118980408+158257.4728025323129259j,451139.3267552629113197-779.8236604362609796j,-0.0000002377043621-0.0000052762045301j,-0.0956233081294792-55.3067826684940727j,0.0871704302636089+50.4181590037889720j,0.0000002021647518+0.0000062596205845j,0.0000001901130900+0.0000122753271128j,0.0000002308242937+0.0000092281419837j,
1.066665e+01,534957.7703969308640808+153287025.6207271516323090j,-534946.8008654225850478-153287542.1064913868904114j,-534952.2856311767827719-153287283.8636092543601990j,183.6353234868249444+51662.0038664150415570j,169.0662754824973604+47564.0907883663821849j,-0.0003401522182276-0.1001420840345381j,-90634234.5659198611974716+158149.2014532328175846j,-91536513.2168997228145599+159725.9421837569389027j,451139.3254899308085442-788.3703652620606590j,-0.0000433395156367+0.0042225109179344j,-0.0974406515551558-55.8166138407237398j,0.0887927104822907+50.8851388031605865j,0.0000001812727311+0.0000052064453848j,0.0000001467545172+0.0000131726809794j,0.0000001332680934+0.0000125504532364j,
1.076545e+01,544941.7844050695421174+154706772.3178552985191345j,-544934.8943109685787931-154707293.5807838141918182j,-544938.3393580190604553-154707032.9493195414543152j,187.0562500200633451+52140.4981789439116255j,172.2215071033100457+48004.6301895417127525j,-0.0003393288816307-0.1010694792441599j,-90634228.6602371633052826+159594.8726251132611651j,-91536507.2889679372310638+161189.9940754760755226j,451139.3143653869628906-797.5607251814071788j,-0.0000692371533900+0.0062250183046763j,-0.0992476124922571-56.3336602859312734j,0.0905029186495950+51.3521491299360093j,0.0001089221762784-0.0095966892198121j,0.0000384992765763-0.0028362881886534j,0.0000389417667919-0.0028752479231437j,
1.086516e+01,555064.7455635097576305+156139667.8847686946392059j,-555066.6904246396152303-156140194.0437557399272919j,-555065.7179940746864304-156139930.9642622172832489j,190.5340734337010815+52623.4240690732913208j,175.4206371840219560+48449.2496013354611932j,-0.0003547975642136-0.1020057174430493j,-90634223.1085680425167084+161086.6947886817797553j,-91536501.5925451517105103+162690.0239166380197275j,451139.2419885545969009-801.6645639781199861j,-0.0000192016928587+0.0019819570418308j,-0.1010619108356113-56.8578375681233652j,0.0921282584207741+51.8321134311230480j,0.0000178315232284-0.0018417575296936j,0.0000371524977242-0.0027852807564488j,0.0000375076699622-0.0028138520503937j,
