Frequency [Hz],Input whitening transfer function,Output whitening transfer function,
1.000000e-01,1.0000005277777646+0.0031666665787037j,1.0000111099998321+0.3332999996296667j,
1.011591e-01,1.0000005400837324+0.0032033717643181j,1.0000113690475700+0.3371633173208415j,
1.023317e-01,1.0000005526766387+0.0032405024037852j,1.0000116341343528+0.3410714151606239j,
1.035178e-01,1.0000005655631661+0.0032780634285858j,1.0000119054038805+0.3450248122007307j,
1.047177e-01,1.0000005787501642+0.0033160598273619j,1.0000121829980344+0.3490240335092655j,
1.059315e-01,1.0000005922446356+0.0033544966465793j,1.0000124670605146+0.3530696102404547j,
1.071593e-01,1.0000006060537530+0.0033933789911979j,1.0000127577513922+0.3571620797051923j,
1.084014e-01,1.0000006201848528+0.0034327120253498j,1.0000130552180053+0.3613019854424029j,
1.096579e-01,1.0000006346454420+0.0034725009730249j,1.0000133596204250+0.3654898772912316j,
1.109290e-01,1.0000006494432014+0.0035127511187647j,1.0000136711205414+0.3697263114640699j,
1.122148e-01,1.0000006645859933+0.0035534678083647j,1.0000139898857014+0.3740118506204292j,
1.135155e-01,1.0000006800818646+0.0035946564495835j,1.0000143160814332+0.3783470639416700j,
1.148312e-01,1.0000006959390468+0.0036363225128619j,1.0000146498841787+0.3827325272065975j,
1.161623e-01,1.0000007121659635+0.0036784715320489j,1.0000149914703798+0.3871688228679326j,
1.175087e-01,1.0000007287712336+0.0037211091051369j,1.0000153410182975+0.3916565401296713j,
1.188708e-01,1.0000007457636855+0.0037642408950052j,1.0000156987189257+0.3961962750253378j,
1.202486e-01,1.0000007631523431+0.0038078726301718j,1.0000160647578014+0.4007886304971479j,
1.216424e-01,1.0000007809464471+0.0038520101055546j,1.0000164393331943+0.4054342164760873j,
1.230524e-01,1.0000007991554440+0.0038966591832410j,1.0000168226433743+0.4101336499629197j,
1.244787e-01,1.0000008177890116+0.0039418257932662j,1.0000172148920683+0.4148875551101334j,
1.259216e-01,1.0000008368570548+0.0039875159344009j,1.0000176162830030+0.4196965633048372j,
