Schnupp length,Tuned PRC carrier,Tuned SRC carrier,Tuned X carrier,Tuned Y carrier,Tuned PRC f_1,Tuned SRC f_1,Tuned X f_1,Tuned Y f_1,Tuned PRC f_2,Tuned SRC f_2,Tuned X f_2,Tuned Y f_2,Detuned PRC carrier,Detuned SRC carrier,Detuned X carrier,Detuned Y carrier,Detuned PRC f_1,Detuned SRC f_1,Detuned X f_1,Detuned Y f_1,Detuned PRC f_2,Detuned SRC f_2,Detuned X f_2,Detuned Y f_2,
0.000000e+00,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.073574e-01,9.076612e-33,8.833253e-03,8.831486e-03,6.118067e-01,3.072645e-33,7.463562e-04,7.462069e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073574e-01,1.247540e-33,8.833253e-03,8.831486e-03,6.118067e-01,8.724433e-31,7.463562e-04,7.462069e-04,
5.050505e-03,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.073227e-01,9.896040e-07,8.805698e-03,8.857593e-03,6.117797e-01,5.456373e-06,7.477912e-04,7.447227e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073590e-01,1.317744e-07,8.833873e-03,8.830945e-03,5.954204e-01,1.541600e-03,7.268945e-04,7.303940e-04,
1.010101e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.072150e-01,3.957377e-06,8.776626e-03,8.882155e-03,6.116925e-01,2.182285e-05,7.491692e-04,7.431819e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073601e-01,5.270994e-07,8.834487e-03,8.830398e-03,5.499870e-01,5.701518e-03,6.762652e-04,6.828703e-04,
1.515152e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.070343e-01,8.900172e-06,8.746052e-03,8.905159e-03,6.115438e-01,4.909121e-05,7.504881e-04,7.415834e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073606e-01,1.185977e-06,8.835096e-03,8.829846e-03,4.849452e-01,1.133002e-02,6.044078e-04,6.132168e-04,
2.020202e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.067806e-01,1.581273e-05,8.713992e-03,8.926592e-03,6.113312e-01,8.724728e-05,7.517448e-04,7.399246e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073605e-01,2.108407e-06,8.835700e-03,8.829289e-03,4.114974e-01,1.713120e-02,5.230553e-04,5.330776e-04,
2.525253e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.064541e-01,2.468769e-05,8.680464e-03,8.946442e-03,6.110518e-01,1.362703e-04,7.529350e-04,7.382021e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073598e-01,3.294389e-06,8.836298e-03,8.828726e-03,3.390549e-01,2.212102e-02,4.421229e-04,4.524964e-04,
3.030303e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.060549e-01,3.551559e-05,8.645484e-03,8.964700e-03,6.107014e-01,1.961321e-04,7.540535e-04,7.364113e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073586e-01,4.743920e-06,8.836891e-03,8.828158e-03,2.736052e-01,2.579922e-02,3.680353e-04,3.781302e-04,
3.535354e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.055834e-01,4.828488e-05,8.609073e-03,8.981356e-03,6.102751e-01,2.667959e-04,7.550936e-04,7.345468e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073568e-01,6.456997e-06,8.837479e-03,8.827584e-03,2.178466e-01,2.808038e-02,3.038335e-04,3.132600e-04,
4.040404e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.050396e-01,6.298195e-05,8.571247e-03,8.996399e-03,6.097674e-01,3.482155e-04,7.560479e-04,7.326020e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073543e-01,8.433614e-06,8.838060e-03,8.827005e-03,1.721628e-01,2.913036e-02,2.501414e-04,2.587040e-04,
4.545455e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.044240e-01,7.959115e-05,8.532029e-03,9.009824e-03,6.091715e-01,4.403330e-04,7.569078e-04,7.305696e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073514e-01,1.067377e-05,8.838637e-03,8.826420e-03,1.356624e-01,2.921713e-02,2.062128e-04,2.138508e-04,
5.050505e-02,6.213515e+01,1.201314e-24,1.810952e+04,1.810590e+04,4.037369e-01,9.809477e-05,8.491437e-03,9.021621e-03,6.084804e-01,5.430778e-04,7.576633e-04,7.284411e-04,6.213515e+01,6.010188e-27,1.810952e+04,1.810590e+04,4.073478e-01,1.317744e-05,8.839208e-03,8.825830e-03,1.069401e-01,2.861537e-02,1.707111e-04,1.774466e-04,
