PRM transmissivity,Reflected power,
0.000000e+00,2.970020e+00,
1.001001e-03,2.725812e+00,
2.002002e-03,2.501270e+00,
3.003003e-03,2.294662e+00,
4.004004e-03,2.104432e+00,
5.005005e-03,1.929181e+00,
6.006006e-03,1.767646e+00,
7.007007e-03,1.618690e+00,
8.008008e-03,1.481283e+00,
9.009009e-03,1.354492e+00,
1.001001e-02,1.237471e+00,
1.101101e-02,1.129452e+00,
1.201201e-02,1.029734e+00,
1.301301e-02,9.376815e-01,
1.401401e-02,8.527115e-01,
1.501502e-02,7.742927e-01,
1.601602e-02,7.019390e-01,
1.701702e-02,6.352051e-01,
1.801802e-02,5.736825e-01,
1.901902e-02,5.169962e-01,
2.002002e-02,4.648017e-01,
2.102102e-02,4.167817e-01,
2.202202e-02,3.726442e-01,
2.302302e-02,3.321199e-01,
2.402402e-02,2.949602e-01,
2.502503e-02,2.609356e-01,
2.602603e-02,2.298339e-01,
2.702703e-02,2.014584e-01,
2.802803e-02,1.756274e-01,
2.902903e-02,1.521721e-01,
3.003003e-02,1.309361e-01,
3.103103e-02,1.117741e-01,
3.203203e-02,9.455114e-02,
3.303303e-02,7.914169e-02,
3.403403e-02,6.542899e-02,
3.503504e-02,5.330428e-02,
3.603604e-02,4.266626e-02,
3.703704e-02,3.342047e-02,
3.803804e-02,2.547877e-02,
3.903904e-02,1.875890e-02,
4.004004e-02,1.318402e-02,
4.104104e-02,8.682312e-03,
4.204204e-02,5.186614e-03,
4.304304e-02,2.634096e-03,
4.404404e-02,9.659402e-04,
4.504505e-02,1.270570e-04,
4.604605e-02,6.582681e-05,
4.704705e-02,7.338562e-04,
4.804805e-02,2.085756e-03,
4.904905e-02,4.078936e-03,
5.005005e-02,6.673414e-03,
5.105105e-02,9.831643e-03,
5.205205e-02,1.351835e-02,
5.305305e-02,1.770036e-02,
5.405405e-02,2.234653e-02,
5.505506e-02,2.742751e-02,
5.605606e-02,3.291572e-02,
5.705706e-02,3.878519e-02,
5.805806e-02,4.501147e-02,
5.905906e-02,5.157154e-02,
6.006006e-02,5.844369e-02,
6.106106e-02,6.560749e-02,
6.206206e-02,7.304366e-02,
6.306306e-02,8.073402e-02,
6.406406e-02,8.866145e-02,
6.506507e-02,9.680977e-02,
6.606607e-02,1.051637e-01,
6.706707e-02,1.137089e-01,
6.806807e-02,1.224318e-01,
6.906907e-02,1.313194e-01,
7.007007e-02,1.403598e-01,
7.107107e-02,1.495414e-01,
7.207207e-02,1.588534e-01,
7.307307e-02,1.682857e-01,
7.407407e-02,1.778285e-01,
7.507508e-02,1.874728e-01,
7.607608e-02,1.972099e-01,
7.707708e-02,2.070318e-01,
7.807808e-02,2.169305e-01,
7.907908e-02,2.268990e-01,
8.008008e-02,2.369303e-01,
8.108108e-02,2.470180e-01,
8.208208e-02,2.571557e-01,
8.308308e-02,2.673378e-01,
8.408408e-02,2.775588e-01,
8.508509e-02,2.878134e-01,
8.608609e-02,2.980967e-01,
8.708709e-02,3.084040e-01,
8.808809e-02,3.187311e-01,
8.908909e-02,3.290737e-01,
9.009009e-02,3.394279e-01,
9.109109e-02,3.497899e-01,
9.209209e-02,3.601564e-01,
9.309309e-02,3.705240e-01,
9.409409e-02,3.808894e-01,
9.509510e-02,3.912499e-01,
9.609610e-02,4.016026e-01,
9.709710e-02,4.119449e-01,
9.809810e-02,4.222743e-01,
9.909910e-02,4.325884e-01,
1.001001e-01,4.428850e-01,
1.011011e-01,4.531621e-01,
1.021021e-01,4.634178e-01,
1.031031e-01,4.736500e-01,
1.041041e-01,4.838572e-01,
1.051051e-01,4.940376e-01,
1.061061e-01,5.041898e-01,
1.071071e-01,5.143122e-01,
1.081081e-01,5.244036e-01,
1.091091e-01,5.344626e-01,
1.101101e-01,5.444881e-01,
1.111111e-01,5.544789e-01,
1.121121e-01,5.644340e-01,
1.131131e-01,5.743524e-01,
1.141141e-01,5.842332e-01,
1.151151e-01,5.940756e-01,
1.161161e-01,6.038787e-01,
1.171171e-01,6.136418e-01,
1.181181e-01,6.233642e-01,
1.191191e-01,6.330453e-01,
1.201201e-01,6.426844e-01,
1.211211e-01,6.522811e-01,
1.221221e-01,6.618349e-01,
1.231231e-01,6.713453e-01,
1.241241e-01,6.808118e-01,
1.251251e-01,6.902341e-01,
1.261261e-01,6.996118e-01,
1.271271e-01,7.089446e-01,
1.281281e-01,7.182323e-01,
1.291291e-01,7.274745e-01,
1.301301e-01,7.366711e-01,
1.311311e-01,7.458219e-01,
1.321321e-01,7.549266e-01,
1.331331e-01,7.639851e-01,
1.341341e-01,7.729974e-01,
1.351351e-01,7.819632e-01,
1.361361e-01,7.908826e-01,
1.371371e-01,7.997555e-01,
1.381381e-01,8.085817e-01,
1.391391e-01,8.173614e-01,
1.401401e-01,8.260944e-01,
1.411411e-01,8.347808e-01,
1.421421e-01,8.434207e-01,
1.431431e-01,8.520139e-01,
1.441441e-01,8.605607e-01,
1.451451e-01,8.690611e-01,
1.461461e-01,8.775151e-01,
1.471471e-01,8.859228e-01,
1.481481e-01,8.942843e-01,
1.491491e-01,9.025998e-01,
1.501502e-01,9.108693e-01,
1.511512e-01,9.190931e-01,
1.521522e-01,9.272711e-01,
1.531532e-01,9.354036e-01,
1.541542e-01,9.434908e-01,
1.551552e-01,9.515327e-01,
1.561562e-01,9.595295e-01,
1.571572e-01,9.674815e-01,
1.581582e-01,9.753888e-01,
1.591592e-01,9.832515e-01,
1.601602e-01,9.910700e-01,
1.611612e-01,9.988443e-01,
1.621622e-01,1.006575e+00,
1.631632e-01,1.014261e+00,
1.641642e-01,1.021904e+00,
1.651652e-01,1.029504e+00,
1.661662e-01,1.037061e+00,
1.671672e-01,1.044575e+00,
1.681682e-01,1.052046e+00,
1.691692e-01,1.059475e+00,
1.701702e-01,1.066862e+00,
1.711712e-01,1.074206e+00,
1.721722e-01,1.081509e+00,
1.731732e-01,1.088770e+00,
1.741742e-01,1.095991e+00,
1.751752e-01,1.103170e+00,
1.761762e-01,1.110308e+00,
1.771772e-01,1.117406e+00,
1.781782e-01,1.124463e+00,
1.791792e-01,1.131481e+00,
1.801802e-01,1.138458e+00,
1.811812e-01,1.145396e+00,
1.821822e-01,1.152295e+00,
1.831832e-01,1.159155e+00,
1.841842e-01,1.165976e+00,
1.851852e-01,1.172758e+00,
1.861862e-01,1.179502e+00,
1.871872e-01,1.186207e+00,
1.881882e-01,1.192875e+00,
1.891892e-01,1.199505e+00,
1.901902e-01,1.206098e+00,
1.911912e-01,1.212654e+00,
1.921922e-01,1.219173e+00,
1.931932e-01,1.225655e+00,
1.941942e-01,1.232101e+00,
1.951952e-01,1.238511e+00,
1.961962e-01,1.244884e+00,
1.971972e-01,1.251223e+00,
1.981982e-01,1.257525e+00,
1.991992e-01,1.263793e+00,
2.002002e-01,1.270025e+00,
2.012012e-01,1.276223e+00,
2.022022e-01,1.282387e+00,
2.032032e-01,1.288516e+00,
2.042042e-01,1.294611e+00,
2.052052e-01,1.300673e+00,
2.062062e-01,1.306701e+00,
2.072072e-01,1.312695e+00,
2.082082e-01,1.318657e+00,
2.092092e-01,1.324586e+00,
2.102102e-01,1.330482e+00,
2.112112e-01,1.336345e+00,
2.122122e-01,1.342177e+00,
2.132132e-01,1.347977e+00,
2.142142e-01,1.353745e+00,
2.152152e-01,1.359482e+00,
2.162162e-01,1.365187e+00,
2.172172e-01,1.370861e+00,
2.182182e-01,1.376505e+00,
2.192192e-01,1.382118e+00,
2.202202e-01,1.387700e+00,
2.212212e-01,1.393253e+00,
2.222222e-01,1.398775e+00,
2.232232e-01,1.404268e+00,
2.242242e-01,1.409731e+00,
2.252252e-01,1.415165e+00,
2.262262e-01,1.420570e+00,
2.272272e-01,1.425946e+00,
2.282282e-01,1.431293e+00,
2.292292e-01,1.436612e+00,
2.302302e-01,1.441902e+00,
2.312312e-01,1.447165e+00,
2.322322e-01,1.452399e+00,
2.332332e-01,1.457606e+00,
2.342342e-01,1.462785e+00,
2.352352e-01,1.467937e+00,
2.362362e-01,1.473062e+00,
2.372372e-01,1.478161e+00,
2.382382e-01,1.483232e+00,
2.392392e-01,1.488277e+00,
2.402402e-01,1.493296e+00,
2.412412e-01,1.498288e+00,
2.422422e-01,1.503254e+00,
2.432432e-01,1.508195e+00,
2.442442e-01,1.513110e+00,
2.452452e-01,1.518000e+00,
2.462462e-01,1.522865e+00,
2.472472e-01,1.527704e+00,
2.482482e-01,1.532519e+00,
2.492492e-01,1.537309e+00,
2.502503e-01,1.542074e+00,
2.512513e-01,1.546815e+00,
2.522523e-01,1.551532e+00,
2.532533e-01,1.556225e+00,
2.542543e-01,1.560894e+00,
2.552553e-01,1.565540e+00,
2.562563e-01,1.570162e+00,
2.572573e-01,1.574760e+00,
2.582583e-01,1.579336e+00,
2.592593e-01,1.583888e+00,
2.602603e-01,1.588418e+00,
2.612613e-01,1.592925e+00,
2.622623e-01,1.597409e+00,
2.632633e-01,1.601872e+00,
2.642643e-01,1.606311e+00,
2.652653e-01,1.610729e+00,
2.662663e-01,1.615125e+00,
2.672673e-01,1.619500e+00,
2.682683e-01,1.623852e+00,
2.692693e-01,1.628184e+00,
2.702703e-01,1.632494e+00,
2.712713e-01,1.636782e+00,
2.722723e-01,1.641050e+00,
2.732733e-01,1.645297e+00,
2.742743e-01,1.649524e+00,
2.752753e-01,1.653729e+00,
2.762763e-01,1.657915e+00,
2.772773e-01,1.662080e+00,
2.782783e-01,1.666225e+00,
2.792793e-01,1.670350e+00,
2.802803e-01,1.674455e+00,
2.812813e-01,1.678540e+00,
2.822823e-01,1.682606e+00,
2.832833e-01,1.686652e+00,
2.842843e-01,1.690680e+00,
2.852853e-01,1.694687e+00,
2.862863e-01,1.698676e+00,
2.872873e-01,1.702646e+00,
2.882883e-01,1.706597e+00,
2.892893e-01,1.710530e+00,
2.902903e-01,1.714444e+00,
2.912913e-01,1.718339e+00,
2.922923e-01,1.722217e+00,
2.932933e-01,1.726076e+00,
2.942943e-01,1.729917e+00,
2.952953e-01,1.733740e+00,
2.962963e-01,1.737545e+00,
2.972973e-01,1.741333e+00,
2.982983e-01,1.745103e+00,
2.992993e-01,1.748856e+00,
3.003003e-01,1.752591e+00,
3.013013e-01,1.756309e+00,
3.023023e-01,1.760010e+00,
3.033033e-01,1.763694e+00,
3.043043e-01,1.767362e+00,
3.053053e-01,1.771012e+00,
3.063063e-01,1.774646e+00,
3.073073e-01,1.778263e+00,
3.083083e-01,1.781864e+00,
3.093093e-01,1.785449e+00,
3.103103e-01,1.789017e+00,
3.113113e-01,1.792570e+00,
3.123123e-01,1.796106e+00,
3.133133e-01,1.799627e+00,
3.143143e-01,1.803131e+00,
3.153153e-01,1.806620e+00,
3.163163e-01,1.810094e+00,
