Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
0.000000e+00,2.196082e-07,6.118067e-01,2.195629e-07,4.073574e-01,6.213515e+01,4.073574e-01,2.195629e-07,6.118067e-01,2.196082e-07,1.104594e-39,7.965861e-33,4.139532e-40,2.156700e-33,6.010188e-27,1.247540e-33,8.967413e-40,8.724433e-31,7.236516e-46,
5.005005e-04,2.196082e-07,6.118044e-01,2.195629e-07,4.073576e-01,6.213515e+01,4.073576e-01,2.195629e-07,6.116428e-01,2.196082e-07,8.715136e-14,1.389031e-07,1.185945e-14,2.140253e-09,6.010188e-27,1.294103e-09,1.286228e-14,1.554688e-05,2.900287e-14,
1.001001e-03,2.196082e-07,6.117968e-01,2.195629e-07,4.073581e-01,6.213515e+01,4.073577e-01,2.195629e-07,6.111509e-01,2.196082e-07,3.486055e-13,5.556059e-07,4.743782e-14,8.561020e-09,6.010188e-27,5.176413e-09,5.144913e-14,6.213811e-05,1.160115e-13,
1.501502e-03,2.196081e-07,6.117841e-01,2.195629e-07,4.073586e-01,6.213515e+01,4.073579e-01,2.195629e-07,6.103321e-01,2.196082e-07,7.843626e-13,1.250088e-06,1.067351e-13,1.926232e-08,6.010188e-27,1.164694e-08,1.157606e-13,1.396257e-04,2.610260e-13,
2.002002e-03,2.196080e-07,6.117662e-01,2.195629e-07,4.073594e-01,6.213515e+01,4.073581e-01,2.195629e-07,6.091885e-01,2.196081e-07,1.394423e-12,2.222315e-06,1.897513e-13,3.424419e-08,6.010188e-27,2.070567e-08,2.057966e-13,2.477640e-04,4.640465e-13,
2.502503e-03,2.196079e-07,6.117430e-01,2.195629e-07,4.073603e-01,6.213515e+01,4.073583e-01,2.195629e-07,6.077228e-01,2.196081e-07,2.178787e-12,3.472239e-06,2.964866e-13,5.350667e-08,6.010188e-27,3.235263e-08,3.215573e-13,3.862111e-04,7.250733e-13,
3.003003e-03,2.196078e-07,6.117146e-01,2.195629e-07,4.073613e-01,6.213515e+01,4.073584e-01,2.195629e-07,6.059384e-01,2.196081e-07,3.137456e-12,4.999797e-06,4.269408e-13,7.704980e-08,6.010188e-27,4.658780e-08,4.630427e-13,5.545308e-04,1.044106e-12,
3.503504e-03,2.196077e-07,6.116810e-01,2.195629e-07,4.073625e-01,6.213515e+01,4.073586e-01,2.195628e-07,6.038395e-01,2.196080e-07,4.270431e-12,6.804914e-06,5.811142e-13,1.048737e-07,6.010188e-27,6.341120e-08,6.302529e-13,7.521953e-04,1.421146e-12,
4.004004e-03,2.196075e-07,6.116422e-01,2.195628e-07,4.073639e-01,6.213515e+01,4.073587e-01,2.195628e-07,6.014310e-01,2.196080e-07,5.577712e-12,8.887499e-06,7.590067e-13,1.369783e-07,6.010188e-27,8.282283e-08,8.231880e-13,9.785881e-04,1.856194e-12,
4.504505e-03,2.196073e-07,6.115981e-01,2.195628e-07,4.073654e-01,6.213515e+01,4.073589e-01,2.195628e-07,5.987186e-01,2.196079e-07,7.059301e-12,1.124745e-05,9.606185e-13,1.733638e-07,6.010188e-27,1.048227e-07,1.041848e-12,1.233008e-03,2.349248e-12,
