Schnupp length,PRC -68178606,PRC -56815505,PRC -45452404,PRC -11363101,PRC 0,PRC 11363101,PRC 45452404,PRC 56815505,PRC 68178606,SRC -68178606,SRC -56815505,SRC -45452404,SRC -11363101,SRC 0,SRC 11363101,SRC 45452404,SRC 56815505,SRC 68178606,
0.000000e+00,2.196082e-07,6.118067e-01,2.195629e-07,4.073574e-01,6.213515e+01,4.073574e-01,2.195629e-07,6.118067e-01,2.196082e-07,7.734430e-40,3.208898e-33,5.538180e-38,9.639953e-33,1.201314e-24,9.076612e-33,1.106190e-37,3.072645e-33,1.522608e-45,
5.005005e-04,2.196082e-07,6.118067e-01,2.195627e-07,4.073572e-01,6.213515e+01,4.073572e-01,2.195627e-07,6.118067e-01,2.196082e-07,6.102388e-14,5.358703e-08,1.586647e-12,9.719350e-09,1.201314e-24,9.719350e-09,1.586647e-12,5.358703e-08,6.102388e-14,
1.001001e-03,2.196082e-07,6.118061e-01,2.195621e-07,4.073563e-01,6.213515e+01,4.073563e-01,2.195621e-07,6.118061e-01,2.196082e-07,2.440956e-13,2.143479e-07,6.346586e-12,3.887732e-08,1.201314e-24,3.887732e-08,6.346586e-12,2.143479e-07,2.440956e-13,
1.501502e-03,2.196081e-07,6.118049e-01,2.195611e-07,4.073547e-01,6.213515e+01,4.073547e-01,2.195611e-07,6.118049e-01,2.196081e-07,5.492154e-13,4.822821e-07,1.427981e-11,8.747362e-08,1.201314e-24,8.747362e-08,1.427981e-11,4.822821e-07,5.492154e-13,
2.002002e-03,2.196081e-07,6.118031e-01,2.195597e-07,4.073524e-01,6.213515e+01,4.073524e-01,2.195597e-07,6.118031e-01,2.196081e-07,9.763836e-13,8.573883e-07,2.538633e-11,1.555078e-07,1.201314e-24,1.555078e-07,2.538633e-11,8.573883e-07,9.763836e-13,
2.502503e-03,2.196080e-07,6.118008e-01,2.195579e-07,4.073493e-01,6.213515e+01,4.073493e-01,2.195579e-07,6.118008e-01,2.196080e-07,1.525601e-12,1.339665e-06,3.966613e-11,2.429791e-07,1.201314e-24,2.429791e-07,3.966613e-11,1.339665e-06,1.525601e-12,
3.003003e-03,2.196079e-07,6.117978e-01,2.195557e-07,4.073456e-01,6.213515e+01,4.073456e-01,2.195557e-07,6.117978e-01,2.196079e-07,2.196867e-12,1.929110e-06,5.711922e-11,3.498868e-07,1.201314e-24,3.498868e-07,5.711922e-11,1.929110e-06,2.196867e-12,
3.503504e-03,2.196078e-07,6.117943e-01,2.195531e-07,4.073411e-01,6.213515e+01,4.073411e-01,2.195531e-07,6.117943e-01,2.196078e-07,2.990184e-12,2.625720e-06,7.774560e-11,4.762296e-07,1.201314e-24,4.762296e-07,7.774560e-11,2.625720e-06,2.990184e-12,
4.004004e-03,2.196077e-07,6.117902e-01,2.195500e-07,4.073359e-01,6.213515e+01,4.073359e-01,2.195500e-07,6.117902e-01,2.196077e-07,3.905552e-12,3.429492e-06,1.015453e-10,6.220063e-07,1.201314e-24,6.220063e-07,1.015453e-10,3.429492e-06,3.905552e-12,
4.504505e-03,2.196076e-07,6.117855e-01,2.195466e-07,4.073300e-01,6.213515e+01,4.073300e-01,2.195466e-07,6.117855e-01,2.196076e-07,4.942971e-12,4.340423e-06,1.285182e-10,7.872153e-07,1.201314e-24,7.872153e-07,1.285182e-10,4.340423e-06,4.942971e-12,
5.005005e-03,2.196074e-07,6.117802e-01,2.195428e-07,4.073234e-01,6.213515e+01,4.073234e-01,2.195428e-07,6.117802e-01,2.196074e-07,6.102444e-12,5.358507e-06,1.586645e-10,9.718551e-07,1.201314e-24,9.718551e-07,1.586645e-10,5.358507e-06,6.102444e-12,
5.505506e-03,2.196073e-07,6.117743e-01,2.195386e-07,4.073160e-01,6.213515e+01,4.073160e-01,2.195386e-07,6.117743e-01,2.196073e-07,7.383971e-12,6.483741e-06,1.919841e-10,1.175924e-06,1.201314e-24,1.175924e-06,1.919841e-10,6.483741e-06,7.383971e-12,
6.006006e-03,2.196071e-07,6.117678e-01,2.195339e-07,4.073080e-01,6.213515e+01,4.073080e-01,2.195339e-07,6.117678e-01,2.196071e-07,8.787554e-12,7.716118e-06,2.284769e-10,1.399419e-06,1.201314e-24,1.399419e-06,2.284769e-10,7.716118e-06,8.787554e-12,
6.506507e-03,2.196069e-07,6.117607e-01,2.195289e-07,4.072992e-01,6.213515e+01,4.072992e-01,2.195289e-07,6.117607e-01,2.196069e-07,1.031319e-11,9.055633e-06,2.681431e-10,1.642338e-06,1.201314e-24,1.642338e-06,2.681431e-10,9.055633e-06,1.031319e-11,
7.007007e-03,2.196067e-07,6.117531e-01,2.195235e-07,4.072897e-01,6.213515e+01,4.072897e-01,2.195235e-07,6.117531e-01,2.196067e-07,1.196089e-11,1.050228e-05,3.109826e-10,1.904680e-06,1.201314e-24,1.904680e-06,3.109826e-10,1.050228e-05,1.196089e-11,
7.507508e-03,2.196065e-07,6.117448e-01,2.195176e-07,4.072795e-01,6.213515e+01,4.072795e-01,2.195176e-07,6.117448e-01,2.196065e-07,1.373065e-11,1.205605e-05,3.569955e-10,2.186440e-06,1.201314e-24,2.186440e-06,3.569955e-10,1.205605e-05,1.373065e-11,
8.008008e-03,2.196062e-07,6.117360e-01,2.195114e-07,4.072685e-01,6.213515e+01,4.072685e-01,2.195114e-07,6.117360e-01,2.196062e-07,1.562247e-11,1.371694e-05,4.061817e-10,2.487617e-06,1.201314e-24,2.487617e-06,4.061817e-10,1.371694e-05,1.562247e-11,
8.508509e-03,2.196060e-07,6.117265e-01,2.195048e-07,4.072569e-01,6.213515e+01,4.072569e-01,2.195048e-07,6.117265e-01,2.196060e-07,1.763636e-11,1.548493e-05,4.585412e-10,2.808206e-06,1.201314e-24,2.808206e-06,4.585412e-10,1.548493e-05,1.763636e-11,
9.009009e-03,2.196057e-07,6.117165e-01,2.194977e-07,4.072445e-01,6.213515e+01,4.072445e-01,2.194977e-07,6.117165e-01,2.196057e-07,1.977231e-11,1.736003e-05,5.140741e-10,3.148205e-06,1.201314e-24,3.148205e-06,5.140741e-10,1.736003e-05,1.977231e-11,
9.509510e-03,2.196054e-07,6.117058e-01,2.194903e-07,4.072314e-01,6.213515e+01,4.072314e-01,2.194903e-07,6.117058e-01,2.196054e-07,2.203033e-11,1.934221e-05,5.727804e-10,3.507611e-06,1.201314e-24,3.507611e-06,5.727804e-10,1.934221e-05,2.203033e-11,
1.001001e-02,2.196051e-07,6.116946e-01,2.194824e-07,4.072176e-01,6.213515e+01,4.072176e-01,2.194824e-07,6.116946e-01,2.196051e-07,2.441042e-11,2.143148e-05,6.346601e-10,3.886418e-06,1.201314e-24,3.886418e-06,6.346601e-10,2.143148e-05,2.441042e-11,
1.051051e-02,2.196048e-07,6.116827e-01,2.194742e-07,4.072031e-01,6.213515e+01,4.072031e-01,2.194742e-07,6.116827e-01,2.196048e-07,2.691258e-11,2.362781e-05,6.997132e-10,4.284625e-06,1.201314e-24,4.284625e-06,6.997132e-10,2.362781e-05,2.691258e-11,
1.101101e-02,2.196045e-07,6.116703e-01,2.194655e-07,4.071879e-01,6.213515e+01,4.071879e-01,2.194655e-07,6.116703e-01,2.196045e-07,2.953682e-11,2.593121e-05,7.679397e-10,4.702225e-06,1.201314e-24,4.702225e-06,7.679397e-10,2.593121e-05,2.953682e-11,
1.151151e-02,2.196041e-07,6.116572e-01,2.194565e-07,4.071719e-01,6.213515e+01,4.071719e-01,2.194565e-07,6.116572e-01,2.196041e-07,3.228314e-11,2.834165e-05,8.393397e-10,5.139215e-06,1.201314e-24,5.139215e-06,8.393397e-10,2.834165e-05,3.228314e-11,
1.201201e-02,2.196038e-07,6.116436e-01,2.194470e-07,4.071552e-01,6.213515e+01,4.071552e-01,2.194470e-07,6.116436e-01,2.196038e-07,3.515154e-11,3.085913e-05,9.139131e-10,5.595591e-06,1.201314e-24,5.595591e-06,9.139131e-10,3.085913e-05,3.515154e-11,
1.251251e-02,2.196034e-07,6.116293e-01,2.194371e-07,4.071378e-01,6.213515e+01,4.071378e-01,2.194371e-07,6.116293e-01,2.196034e-07,3.814203e-11,3.348363e-05,9.916600e-10,6.071347e-06,1.201314e-24,6.071347e-06,9.916600e-10,3.348363e-05,3.814203e-11,
1.301301e-02,2.196030e-07,6.116144e-01,2.194269e-07,4.071197e-01,6.213515e+01,4.071197e-01,2.194269e-07,6.116144e-01,2.196030e-07,4.125460e-11,3.621514e-05,1.072580e-09,6.566479e-06,1.201314e-24,6.566479e-06,1.072580e-09,3.621514e-05,4.125460e-11,
1.351351e-02,2.196026e-07,6.115989e-01,2.194162e-07,4.071009e-01,6.213515e+01,4.071009e-01,2.194162e-07,6.115989e-01,2.196026e-07,4.448926e-11,3.905365e-05,1.156674e-09,7.080981e-06,1.201314e-24,7.080981e-06,1.156674e-09,3.905365e-05,4.448926e-11,
1.401401e-02,2.196022e-07,6.115827e-01,2.194052e-07,4.070814e-01,6.213515e+01,4.070814e-01,2.194052e-07,6.115827e-01,2.196022e-07,4.784602e-11,4.199914e-05,1.243942e-09,7.614849e-06,1.201314e-24,7.614849e-06,1.243942e-09,4.199914e-05,4.784602e-11,
1.451451e-02,2.196017e-07,6.115660e-01,2.193937e-07,4.070611e-01,6.213515e+01,4.070611e-01,2.193937e-07,6.115660e-01,2.196017e-07,5.132487e-11,4.505159e-05,1.334383e-09,8.168076e-06,1.201314e-24,8.168076e-06,1.334383e-09,4.505159e-05,5.132487e-11,
1.501502e-02,2.196013e-07,6.115486e-01,2.193818e-07,4.070401e-01,6.213515e+01,4.070401e-01,2.193818e-07,6.115486e-01,2.196013e-07,5.492583e-11,4.821100e-05,1.427997e-09,8.740656e-06,1.201314e-24,8.740656e-06,1.427997e-09,4.821100e-05,5.492583e-11,
1.551552e-02,2.196008e-07,6.115306e-01,2.193696e-07,4.070184e-01,6.213515e+01,4.070184e-01,2.193696e-07,6.115306e-01,2.196008e-07,5.864889e-11,5.147734e-05,1.524786e-09,9.332584e-06,1.201314e-24,9.332584e-06,1.524786e-09,5.147734e-05,5.864889e-11,
1.601602e-02,2.196003e-07,6.115120e-01,2.193569e-07,4.069960e-01,6.213515e+01,4.069960e-01,2.193569e-07,6.115120e-01,2.196003e-07,6.249406e-11,5.485059e-05,1.624747e-09,9.943854e-06,1.201314e-24,9.943854e-06,1.624747e-09,5.485059e-05,6.249406e-11,
1.651652e-02,2.195998e-07,6.114927e-01,2.193438e-07,4.069729e-01,6.213515e+01,4.069729e-01,2.193438e-07,6.114927e-01,2.195998e-07,6.646134e-11,5.833075e-05,1.727883e-09,1.057446e-05,1.201314e-24,1.057446e-05,1.727883e-09,5.833075e-05,6.646134e-11,
1.701702e-02,2.195993e-07,6.114728e-01,2.193303e-07,4.069491e-01,6.213515e+01,4.069491e-01,2.193303e-07,6.114728e-01,2.195993e-07,7.055073e-11,6.191778e-05,1.834192e-09,1.122439e-05,1.201314e-24,1.122439e-05,1.834192e-09,6.191778e-05,7.055073e-11,
1.751752e-02,2.195988e-07,6.114523e-01,2.193165e-07,4.069245e-01,6.213515e+01,4.069245e-01,2.193165e-07,6.114523e-01,2.195988e-07,7.476225e-11,6.561168e-05,1.943675e-09,1.189365e-05,1.201314e-24,1.189365e-05,1.943675e-09,6.561168e-05,7.476225e-11,
1.801802e-02,2.195983e-07,6.114312e-01,2.193022e-07,4.068992e-01,6.213515e+01,4.068992e-01,2.193022e-07,6.114312e-01,2.195983e-07,7.909590e-11,6.941242e-05,2.056332e-09,1.258222e-05,1.201314e-24,1.258222e-05,2.056332e-09,6.941242e-05,7.909590e-11,
1.851852e-02,2.195977e-07,6.114093e-01,2.192875e-07,4.068732e-01,6.213515e+01,4.068732e-01,2.192875e-07,6.114093e-01,2.195977e-07,8.355167e-11,7.331999e-05,2.172162e-09,1.329009e-05,1.201314e-24,1.329009e-05,2.172162e-09,7.331999e-05,8.355167e-11,
1.901902e-02,2.195971e-07,6.113869e-01,2.192724e-07,4.068465e-01,6.213515e+01,4.068465e-01,2.192724e-07,6.113869e-01,2.195971e-07,8.812958e-11,7.733435e-05,2.291166e-09,1.401727e-05,1.201314e-24,1.401727e-05,2.291166e-09,7.733435e-05,8.812958e-11,
