Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
5.670000e+07,3.668638e-07,1.881618e-04,4.091116e-07,3.983170e-01,6.213515e+01,3.983170e-01,4.091116e-07,1.881618e-04,3.668638e-07,1.709990e-07,4.623844e-07,9.938083e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.938083e-10,4.623844e-07,1.709990e-07,
5.670060e+07,3.624288e-07,1.898626e-04,4.059832e-07,3.983170e-01,6.213515e+01,3.983170e-01,4.059832e-07,1.898626e-04,3.624288e-07,1.831180e-07,4.647669e-07,9.939806e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.939806e-10,4.647669e-07,1.831180e-07,
5.670120e+07,3.579629e-07,1.916097e-04,4.028908e-07,3.983170e-01,6.213515e+01,3.983170e-01,4.028908e-07,1.916097e-04,3.579629e-07,1.964023e-07,4.672403e-07,9.942819e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.942819e-10,4.672403e-07,1.964023e-07,
5.670180e+07,3.534446e-07,1.934139e-04,3.998256e-07,3.983170e-01,6.213515e+01,3.983170e-01,3.998256e-07,1.934139e-04,3.534446e-07,2.110532e-07,4.698208e-07,9.947152e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.947152e-10,4.698208e-07,2.110532e-07,
5.670240e+07,3.488223e-07,1.952930e-04,3.967759e-07,3.983170e-01,6.213515e+01,3.983170e-01,3.967759e-07,1.952930e-04,3.488223e-07,2.274382e-07,4.725358e-07,9.952858e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.952858e-10,4.725358e-07,2.274382e-07,
5.670300e+07,3.439592e-07,1.972800e-04,3.937238e-07,3.983170e-01,6.213515e+01,3.983170e-01,3.937238e-07,1.972800e-04,3.439592e-07,2.464002e-07,4.754356e-07,9.960029e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.960029e-10,4.754356e-07,2.464002e-07,
5.670360e+07,3.384321e-07,1.994440e-04,3.906392e-07,3.983170e-01,6.213515e+01,3.983170e-01,3.906392e-07,1.994440e-04,3.384321e-07,2.704815e-07,4.786258e-07,9.968829e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.968829e-10,4.786258e-07,2.704815e-07,
5.670420e+07,3.305646e-07,2.019619e-04,3.874653e-07,3.983170e-01,6.213515e+01,3.983170e-01,3.874653e-07,2.019619e-04,3.305646e-07,3.111206e-07,4.823779e-07,9.979590e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.979590e-10,4.823779e-07,3.111206e-07,
5.670480e+07,7.437230e-07,2.054700e-04,3.840756e-07,3.983170e-01,6.213515e+01,3.983170e-01,3.840756e-07,2.054700e-04,7.437230e-07,2.167106e-08,4.876730e-07,9.993077e-10,2.428416e-04,1.200253e-24,2.428416e-04,9.993077e-10,4.876730e-07,2.167106e-08,
5.670541e+07,3.459044e-07,2.153708e-04,3.801163e-07,3.983170e-01,6.213515e+01,3.983170e-01,3.801163e-07,2.153708e-04,3.459044e-07,2.388145e-07,5.029955e-07,1.001155e-09,2.428416e-04,1.200253e-24,2.428416e-04,1.001155e-09,5.029955e-07,2.388145e-07,
