Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
1.000000e+00,1.970922e-07,5.103056e-01,2.195208e-07,4.143779e-01,6.213515e+01,4.093484e-01,2.194288e-07,4.261544e-02,2.193649e-07,1.831447e-07,3.302838e-03,3.372476e-10,4.626468e-04,6.010188e-27,5.428755e-05,1.083523e-09,2.056638e-02,1.948355e-09,
1.019019e+00,2.047328e-07,5.163327e-01,2.195214e-07,4.144396e-01,6.213515e+01,4.093674e-01,2.194365e-07,3.120879e-02,2.193450e-07,1.210285e-07,3.130913e-03,3.321672e-10,4.777458e-04,6.010188e-27,5.468537e-05,1.021285e-09,2.067382e-02,2.109590e-09,
1.038038e+00,2.104043e-07,5.218950e-01,2.195219e-07,4.145007e-01,6.213515e+01,4.093864e-01,2.194435e-07,2.967490e-02,2.193221e-07,7.490096e-08,2.973881e-03,3.274131e-10,4.936007e-04,6.010188e-27,5.508982e-05,9.648497e-10,2.044439e-02,2.295112e-09,
1.057057e+00,2.136760e-07,5.270379e-01,2.195225e-07,4.145612e-01,6.213515e+01,4.094056e-01,2.194498e-07,3.776990e-02,2.192956e-07,4.828474e-08,2.830206e-03,3.229699e-10,5.102619e-04,6.010188e-27,5.550104e-05,9.135289e-10,1.990034e-02,2.509945e-09,
1.076076e+00,2.155566e-07,5.318016e-01,2.195230e-07,4.146208e-01,6.213515e+01,4.094249e-01,2.194556e-07,5.437343e-02,2.192647e-07,3.298227e-08,2.698535e-03,3.188236e-10,5.277835e-04,6.010188e-27,5.591916e-05,8.667326e-10,1.909152e-02,2.760484e-09,
1.095095e+00,2.166940e-07,5.362220e-01,2.195234e-07,4.146794e-01,6.213515e+01,4.094443e-01,2.194609e-07,7.776066e-02,2.192284e-07,2.372529e-08,2.577676e-03,3.149613e-10,5.462245e-04,6.010188e-27,5.634433e-05,8.239541e-10,1.808467e-02,3.054964e-09,
1.114114e+00,2.174213e-07,5.403309e-01,2.195239e-07,4.147366e-01,6.213515e+01,4.094638e-01,2.194658e-07,1.059497e-01,2.191853e-07,1.780471e-08,2.466577e-03,3.113711e-10,5.656489e-04,6.010188e-27,5.677667e-05,7.847556e-10,1.695119e-02,3.404132e-09,
1.133133e+00,2.179099e-07,5.441566e-01,2.195243e-07,4.147923e-01,6.213515e+01,4.094835e-01,2.194702e-07,1.370138e-01,2.191338e-07,1.382641e-08,2.364306e-03,3.080422e-10,5.861258e-04,6.010188e-27,5.721633e-05,7.487577e-10,1.575694e-02,3.822222e-09,
1.152152e+00,2.182521e-07,5.477244e-01,2.195246e-07,4.148462e-01,6.213515e+01,4.095032e-01,2.194743e-07,1.692917e-01,2.190714e-07,1.103964e-08,2.270039e-03,3.049648e-10,6.077309e-04,6.010188e-27,5.766348e-05,7.156303e-10,1.455608e-02,4.328385e-09,
1.171171e+00,2.185003e-07,5.510567e-01,2.195250e-07,4.148978e-01,6.213515e+01,4.095231e-01,2.194781e-07,2.014857e-01,2.189949e-07,9.018522e-09,2.183042e-03,3.021299e-10,6.305460e-04,6.010188e-27,5.811825e-05,6.850849e-10,1.338878e-02,4.948871e-09,
