Frequency,PRC -68178606 (W),PRC -56815505 (W),PRC -45452404 (W),PRC -11363101 (W),        PRC 0 (W), PRC 11363101 (W), PRC 45452404 (W), PRC 56815505 (W), PRC 68178606 (W),SRC -68178606 (W),SRC -56815505 (W),SRC -45452404 (W),SRC -11363101 (W),        SRC 0 (W), SRC 11363101 (W), SRC 45452404 (W), SRC 56815505 (W), SRC 68178606 (W),
1.000000e+00,2.195201e-07,6.020796e-01,2.194800e-07,4.051400e-01,6.213515e+01,4.051400e-01,2.194800e-07,6.020796e-01,2.195201e-07,6.999622e-10,1.318944e-03,6.500448e-10,4.686739e-05,1.201314e-24,4.686739e-05,6.500448e-10,1.318944e-03,6.999622e-10,
1.019019e+00,2.195214e-07,6.020888e-01,2.194765e-07,4.051607e-01,6.213515e+01,4.051607e-01,2.194765e-07,6.020888e-01,2.195214e-07,6.891036e-10,1.336786e-03,6.777059e-10,4.659434e-05,1.201314e-24,4.659434e-05,6.777059e-10,1.336786e-03,6.891036e-10,
1.038038e+00,2.195225e-07,6.020560e-01,2.194727e-07,4.051813e-01,6.213515e+01,4.051813e-01,2.194727e-07,6.020560e-01,2.195225e-07,6.794877e-10,1.356292e-03,7.076370e-10,4.632555e-05,1.201314e-24,4.632555e-05,7.076370e-10,1.356292e-03,6.794877e-10,
1.057057e+00,2.195235e-07,6.019793e-01,2.194686e-07,4.052018e-01,6.213515e+01,4.052018e-01,2.194686e-07,6.019793e-01,2.195235e-07,6.710522e-10,1.377548e-03,7.400827e-10,4.606095e-05,1.201314e-24,4.606095e-05,7.400827e-10,1.377548e-03,6.710522e-10,
1.076076e+00,2.195244e-07,6.018565e-01,2.194641e-07,4.052221e-01,6.213515e+01,4.052221e-01,2.194641e-07,6.018565e-01,2.195244e-07,6.637433e-10,1.400645e-03,7.753219e-10,4.580047e-05,1.201314e-24,4.580047e-05,7.753219e-10,1.400645e-03,6.637433e-10,
1.095095e+00,2.195252e-07,6.016852e-01,2.194593e-07,4.052422e-01,6.213515e+01,4.052422e-01,2.194593e-07,6.016852e-01,2.195252e-07,6.575156e-10,1.425687e-03,8.136735e-10,4.554404e-05,1.201314e-24,4.554404e-05,8.136735e-10,1.425687e-03,6.575156e-10,
1.114114e+00,2.195258e-07,6.014628e-01,2.194540e-07,4.052623e-01,6.213515e+01,4.052623e-01,2.194540e-07,6.014628e-01,2.195258e-07,6.523306e-10,1.452788e-03,8.555037e-10,4.529160e-05,1.201314e-24,4.529160e-05,8.555037e-10,1.452788e-03,6.523306e-10,
1.133133e+00,2.195263e-07,6.011862e-01,2.194482e-07,4.052822e-01,6.213515e+01,4.052822e-01,2.194482e-07,6.011862e-01,2.195263e-07,6.481569e-10,1.482074e-03,9.012343e-10,4.504308e-05,1.201314e-24,4.504308e-05,9.012343e-10,1.482074e-03,6.481569e-10,
1.152152e+00,2.195266e-07,6.008521e-01,2.194419e-07,4.053020e-01,6.213515e+01,4.053020e-01,2.194419e-07,6.008521e-01,2.195266e-07,6.449693e-10,1.513686e-03,9.513534e-10,4.479842e-05,1.201314e-24,4.479842e-05,9.513534e-10,1.513686e-03,6.449693e-10,
1.171171e+00,2.195269e-07,6.004566e-01,2.194350e-07,4.053217e-01,6.213515e+01,4.053217e-01,2.194350e-07,6.004566e-01,2.195269e-07,6.427489e-10,1.547778e-03,1.006428e-09,4.455756e-05,1.201314e-24,4.455756e-05,1.006428e-09,1.547778e-03,6.427489e-10,
1.190190e+00,2.195270e-07,5.999954e-01,2.194273e-07,4.053412e-01,6.213515e+01,4.053412e-01,2.194273e-07,5.999954e-01,2.195270e-07,6.414826e-10,1.584521e-03,1.067121e-09,4.432044e-05,1.201314e-24,4.432044e-05,1.067121e-09,1.584521e-03,6.414826e-10,
1.209209e+00,2.195270e-07,5.994639e-01,2.194188e-07,4.053606e-01,6.213515e+01,4.053606e-01,2.194188e-07,5.994639e-01,2.195270e-07,6.411627e-10,1.624105e-03,1.134207e-09,4.408701e-05,1.201314e-24,4.408701e-05,1.134207e-09,1.624105e-03,6.411627e-10,
1.228228e+00,2.195269e-07,5.988568e-01,2.194095e-07,4.053799e-01,6.213515e+01,4.053799e-01,2.194095e-07,5.988568e-01,2.195269e-07,6.417875e-10,1.666740e-03,1.208602e-09,4.385719e-05,1.201314e-24,4.385719e-05,1.208602e-09,1.666740e-03,6.417875e-10,
1.247247e+00,2.195267e-07,5.981681e-01,2.193990e-07,4.053991e-01,6.213515e+01,4.053991e-01,2.193990e-07,5.981681e-01,2.195267e-07,6.433606e-10,1.712658e-03,1.291391e-09,4.363094e-05,1.201314e-24,4.363094e-05,1.291391e-09,1.712658e-03,6.433606e-10,
