DARM offset (m),AS  X -68178606 (W),AS  X -56815505 (W),AS  X -45452404 (W),AS  X -11363101 (W),        AS  X 0 (W), AS  X 11363101 (W), AS  X 45452404 (W), AS  X 56815505 (W), AS  X 68178606 (W),Arm X -68178606 (W),Arm X -56815505 (W),Arm X -45452404 (W),Arm X -11363101 (W),        Arm X 0 (W), Arm X 11363101 (W), Arm X 45452404 (W), Arm X 56815505 (W), Arm X 68178606 (W),Arm Y -68178606 (W),Arm Y -56815505 (W),Arm Y -45452404 (W),Arm Y -11363101 (W),        Arm Y 0 (W), Arm Y 11363101 (W), Arm Y 45452404 (W), Arm Y 56815505 (W), Arm Y 68178606 (W),AS total (W),
-1.000000e-10,5.578643e-10,7.559669e-04,7.582261e-11,1.371432e-05,1.883946e-01,8.281065e-06,8.224062e-11,5.139161e-03,1.856608e-10,2.613882e-10,5.567356e-04,3.751302e-10,9.033128e-03,1.517272e+04,8.825015e-03,3.566620e-10,6.527446e-05,2.301904e-10,1.823783e-10,7.213373e-04,3.604085e-10,8.722725e-03,1.761278e+04,8.839689e-03,3.789785e-10,6.836801e-05,2.102111e-10,1.943117e-01,
-9.979980e-11,5.578643e-10,7.559669e-04,7.582261e-11,1.371437e-05,1.877367e-01,8.281034e-06,8.224062e-11,5.139161e-03,1.856608e-10,2.613881e-10,5.567353e-04,3.751299e-10,9.033093e-03,1.518281e+04,8.825050e-03,3.566623e-10,6.527449e-05,2.301905e-10,1.823784e-10,7.213377e-04,3.604088e-10,8.722759e-03,1.761922e+04,8.839654e-03,3.789782e-10,6.836798e-05,2.102111e-10,1.936539e-01,
-9.959960e-11,5.578643e-10,7.559669e-04,7.582262e-11,1.371442e-05,1.870793e-01,8.281003e-06,8.224061e-11,5.139161e-03,1.856608e-10,2.613880e-10,5.567350e-04,3.751296e-10,9.033058e-03,1.519289e+04,8.825084e-03,3.566626e-10,6.527453e-05,2.301906e-10,1.823784e-10,7.213380e-04,3.604091e-10,8.722794e-03,1.762564e+04,8.839619e-03,3.789779e-10,6.836795e-05,2.102110e-10,1.929964e-01,
-9.939940e-11,5.578644e-10,7.559670e-04,7.582263e-11,1.371447e-05,1.864224e-01,8.280973e-06,8.224061e-11,5.139161e-03,1.856608e-10,2.613879e-10,5.567347e-04,3.751293e-10,9.033022e-03,1.520294e+04,8.825119e-03,3.566629e-10,6.527456e-05,2.301906e-10,1.823785e-10,7.213384e-04,3.604093e-10,8.722828e-03,1.763202e+04,8.839584e-03,3.789776e-10,6.836792e-05,2.102110e-10,1.923395e-01,
-9.919920e-11,5.578644e-10,7.559670e-04,7.582263e-11,1.371452e-05,1.857659e-01,8.280942e-06,8.224060e-11,5.139161e-03,1.856608e-10,2.613879e-10,5.567344e-04,3.751290e-10,9.032987e-03,1.521297e+04,8.825154e-03,3.566631e-10,6.527460e-05,2.301907e-10,1.823786e-10,7.213388e-04,3.604096e-10,8.722863e-03,1.763837e+04,8.839549e-03,3.789773e-10,6.836789e-05,2.102109e-10,1.916830e-01,
-9.899900e-11,5.578644e-10,7.559670e-04,7.582264e-11,1.371458e-05,1.851099e-01,8.280912e-06,8.224059e-11,5.139161e-03,1.856608e-10,2.613878e-10,5.567341e-04,3.751287e-10,9.032952e-03,1.522298e+04,8.825189e-03,3.566634e-10,6.527464e-05,2.301908e-10,1.823786e-10,7.213391e-04,3.604099e-10,8.722897e-03,1.764470e+04,8.839515e-03,3.789770e-10,6.836786e-05,2.102108e-10,1.910270e-01,
-9.879880e-11,5.578644e-10,7.559670e-04,7.582264e-11,1.371463e-05,1.844544e-01,8.280881e-06,8.224059e-11,5.139161e-03,1.856607e-10,2.613877e-10,5.567338e-04,3.751284e-10,9.032917e-03,1.523297e+04,8.825224e-03,3.566637e-10,6.527467e-05,2.301908e-10,1.823787e-10,7.213395e-04,3.604102e-10,8.722931e-03,1.765100e+04,8.839480e-03,3.789768e-10,6.836782e-05,2.102108e-10,1.903715e-01,
-9.859860e-11,5.578644e-10,7.559671e-04,7.582265e-11,1.371468e-05,1.837994e-01,8.280851e-06,8.224058e-11,5.139161e-03,1.856607e-10,2.613876e-10,5.567335e-04,3.751281e-10,9.032881e-03,1.524294e+04,8.825259e-03,3.566640e-10,6.527471e-05,2.301909e-10,1.823787e-10,7.213398e-04,3.604105e-10,8.722966e-03,1.765727e+04,8.839445e-03,3.789765e-10,6.836779e-05,2.102107e-10,1.897165e-01,
-9.839840e-11,5.578644e-10,7.559671e-04,7.582265e-11,1.371473e-05,1.831449e-01,8.280820e-06,8.224058e-11,5.139161e-03,1.856607e-10,2.613875e-10,5.567333e-04,3.751279e-10,9.032846e-03,1.525289e+04,8.825293e-03,3.566642e-10,6.527475e-05,2.301910e-10,1.823788e-10,7.213402e-04,3.604107e-10,8.723000e-03,1.766351e+04,8.839410e-03,3.789762e-10,6.836776e-05,2.102106e-10,1.890620e-01,
-9.819820e-11,5.578645e-10,7.559671e-04,7.582266e-11,1.371478e-05,1.824908e-01,8.280790e-06,8.224057e-11,5.139162e-03,1.856607e-10,2.613875e-10,5.567330e-04,3.751276e-10,9.032811e-03,1.526281e+04,8.825328e-03,3.566645e-10,6.527478e-05,2.301910e-10,1.823788e-10,7.213406e-04,3.604110e-10,8.723034e-03,1.766972e+04,8.839375e-03,3.789759e-10,6.836773e-05,2.102106e-10,1.884080e-01,
