DARM offset (m),AS  X -68178606 (W),AS  X -56815505 (W),AS  X -45452404 (W),AS  X -11363101 (W),        AS  X 0 (W), AS  X 11363101 (W), AS  X 45452404 (W), AS  X 56815505 (W), AS  X 68178606 (W),Arm X -68178606 (W),Arm X -56815505 (W),Arm X -45452404 (W),Arm X -11363101 (W),        Arm X 0 (W), Arm X 11363101 (W), Arm X 45452404 (W), Arm X 56815505 (W), Arm X 68178606 (W),Arm Y -68178606 (W),Arm Y -56815505 (W),Arm Y -45452404 (W),Arm Y -11363101 (W),        Arm Y 0 (W), Arm Y 11363101 (W), Arm Y 45452404 (W), Arm Y 56815505 (W), Arm Y 68178606 (W),AS total (W),
-1.000000e-10,3.906385e-10,3.374376e-04,1.014026e-08,6.060377e-05,4.677505e-01,6.082280e-05,1.014098e-08,3.374513e-04,3.906496e-10,1.911003e-10,7.595595e-04,6.924864e-10,8.245085e-03,8.008257e+02,8.211193e-03,6.919670e-10,7.591755e-04,1.910425e-10,2.511444e-10,7.133821e-04,1.946938e-10,9.039896e-03,8.006655e+02,9.075675e-03,1.948405e-10,7.137419e-04,2.512203e-10,4.685468e-01,
-9.979980e-11,3.906385e-10,3.374376e-04,1.014026e-08,6.060399e-05,4.692295e-01,6.082258e-05,1.014098e-08,3.374513e-04,3.906496e-10,1.911002e-10,7.595591e-04,6.924859e-10,8.245051e-03,8.041772e+02,8.211227e-03,6.919676e-10,7.591759e-04,1.910425e-10,2.511445e-10,7.133825e-04,1.946939e-10,9.039931e-03,8.040163e+02,9.075640e-03,1.948403e-10,7.137416e-04,2.512203e-10,4.700259e-01,
-9.959960e-11,3.906385e-10,3.374376e-04,1.014026e-08,6.060421e-05,4.707148e-01,6.082236e-05,1.014098e-08,3.374513e-04,3.906496e-10,1.911002e-10,7.595587e-04,6.924854e-10,8.245017e-03,8.075495e+02,8.211261e-03,6.919681e-10,7.591763e-04,1.910426e-10,2.511445e-10,7.133829e-04,1.946941e-10,9.039967e-03,8.073880e+02,9.075604e-03,1.948402e-10,7.137412e-04,2.512202e-10,4.715111e-01,
-9.939940e-11,3.906385e-10,3.374376e-04,1.014026e-08,6.060443e-05,4.722063e-01,6.082214e-05,1.014098e-08,3.374513e-04,3.906496e-10,1.911001e-10,7.595584e-04,6.924848e-10,8.244983e-03,8.109427e+02,8.211295e-03,6.919686e-10,7.591767e-04,1.910427e-10,2.511446e-10,7.133832e-04,1.946942e-10,9.040003e-03,8.107805e+02,9.075568e-03,1.948401e-10,7.137409e-04,2.512201e-10,4.730026e-01,
-9.919920e-11,3.906385e-10,3.374376e-04,1.014026e-08,6.060465e-05,4.737041e-01,6.082192e-05,1.014098e-08,3.374513e-04,3.906495e-10,1.911001e-10,7.595580e-04,6.924843e-10,8.244949e-03,8.143571e+02,8.211328e-03,6.919691e-10,7.591770e-04,1.910427e-10,2.511447e-10,7.133836e-04,1.946944e-10,9.040039e-03,8.141943e+02,9.075532e-03,1.948399e-10,7.137405e-04,2.512200e-10,4.745004e-01,
-9.899900e-11,3.906386e-10,3.374376e-04,1.014026e-08,6.060487e-05,4.752082e-01,6.082170e-05,1.014098e-08,3.374512e-04,3.906495e-10,1.911000e-10,7.595576e-04,6.924838e-10,8.244915e-03,8.177928e+02,8.211362e-03,6.919696e-10,7.591774e-04,1.910428e-10,2.511448e-10,7.133839e-04,1.946945e-10,9.040074e-03,8.176293e+02,9.075496e-03,1.948398e-10,7.137401e-04,2.512200e-10,4.760045e-01,
-9.879880e-11,3.906386e-10,3.374376e-04,1.014026e-08,6.060509e-05,4.767186e-01,6.082148e-05,1.014098e-08,3.374512e-04,3.906495e-10,1.910999e-10,7.595572e-04,6.924833e-10,8.244881e-03,8.212500e+02,8.211396e-03,6.919702e-10,7.591778e-04,1.910428e-10,2.511448e-10,7.133843e-04,1.946947e-10,9.040110e-03,8.210858e+02,9.075460e-03,1.948396e-10,7.137398e-04,2.512199e-10,4.775150e-01,
-9.859860e-11,3.906386e-10,3.374376e-04,1.014026e-08,6.060531e-05,4.782354e-01,6.082127e-05,1.014097e-08,3.374512e-04,3.906495e-10,1.910999e-10,7.595568e-04,6.924828e-10,8.244847e-03,8.247289e+02,8.211430e-03,6.919707e-10,7.591782e-04,1.910429e-10,2.511449e-10,7.133847e-04,1.946948e-10,9.040146e-03,8.245639e+02,9.075424e-03,1.948395e-10,7.137394e-04,2.512198e-10,4.790317e-01,
-9.839840e-11,3.906386e-10,3.374377e-04,1.014026e-08,6.060552e-05,4.797586e-01,6.082105e-05,1.014097e-08,3.374512e-04,3.906495e-10,1.910998e-10,7.595564e-04,6.924822e-10,8.244813e-03,8.282295e+02,8.211464e-03,6.919712e-10,7.591786e-04,1.910430e-10,2.511450e-10,7.133850e-04,1.946949e-10,9.040182e-03,8.280639e+02,9.075388e-03,1.948393e-10,7.137390e-04,2.512197e-10,4.805549e-01,
-9.819820e-11,3.906386e-10,3.374377e-04,1.014026e-08,6.060574e-05,4.812882e-01,6.082083e-05,1.014097e-08,3.374512e-04,3.906495e-10,1.910998e-10,7.595560e-04,6.924817e-10,8.244779e-03,8.317522e+02,8.211498e-03,6.919717e-10,7.591790e-04,1.910430e-10,2.511451e-10,7.133854e-04,1.946951e-10,9.040217e-03,8.315858e+02,9.075352e-03,1.948392e-10,7.137387e-04,2.512197e-10,4.820845e-01,
